cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
8135,25515,2440,121.95,16.54,11.888,107.469,258.059,19.074,7.138,25.975,322.295,280.132,289.371,10.027,240.598,67.244,31.937,30.447,1.0,101.418,143.902,110.972,1.0,1.0,204.314,228.373,339.532,156.844,18.636,363.349,7.804,60.336,108.036,490.46,22.455,92.755,82.326,247.398,129.262,89.564,234.247,161.927,176.824,261.87,1.0,148.318,23.586,48.379,327.922,105.985,1.0,138.176,-7.218214,-15.47809,-4.7435393,-3.176036
8136,543,11698,59.84,76.48,1.0,40.643,102.815,1.0,47.037,38.962,4.511,148.961,277.012,5.012,40.595,75.791,1.0,24.993,5.247,14.458,82.283,26.694,41.214,3.141,194.274,167.671,90.611,164.836,16.561,56.312,48.625,7.473,166.248,23.59,147.162,13.372,18.068,445.186,210.555,1.0,17.503,232.985,57.943,23.841,71.897,112.639,242.497,2.008,322.712,135.512,29.141,169.488,-36.511147,-44.028526,-0.8125995,-19.45225
8137,24723,15386,78.31,25.42,5.083,93.878,37.291,4.286,62.382,45.955,25.58,42.975,2.03,4.009,3.03,77.928,1.0,28.265,3.123,656.303,33.776,233.278,41.214,2.071,1.0,173.844,306.342,75.925,1.0,50.668,11.205,36.602,115.547,139.053,96.207,55.641,17.064,140.122,58.808,39.968,633.627,278.964,202.798,1.0,20.335,17.113,14.899,2.008,38.772,25.606,4.518,20.384,-0.4593773,-53.354195,13.151881,5.026896
8139,11841,2008,49.75,231.88,29.582,562.796,162.292,17.431,11.742,88.912,15.046,258.096,717.808,184.551,147.195,1.0,60.295,394.711,1.0,75.537,276.315,687.556,159.739,1.0,1.0,318.91,420.292,834.166,189.804,950.332,190.368,170.377,98.647,371.232,464.965,229.873,262.045,294.331,488.758,129.713,233.146,542.299,912.088,1000.0,165.352,203.562,2.737,237.897,622.282,9.202,1.0,39.767,-16.19394,44.186142,-19.227032,-22.190117
8140,5563,16273,159.18,1.0,9.166,213.939,72.573,155.451,125.3,737.263,4.511,823.706,25.718,388.163,44.655,6.342,4.867,296.556,141.136,1.0,206.831,415.194,1.0,5.283,1.0,532.908,148.14,654.346,87.103,434.464,245.931,153.116,166.248,243.22,454.238,64.92,116.462,71.399,17.259,287.947,191.338,249.705,670.33,49.087,1.0,67.753,192.113,153.219,141.668,457.03,462.979,41.258,7.8487196,-22.741413,-14.915471,-22.740025
8142,16148,6006,80.59,200.8,13.249,151.643,46.363,28.933,4.069,106.894,8.023,168.899,4.09,100.298,63.945,72.586,29.359,26.084,2.062,6.176,104.571,256.917,3.117,2.071,26.101,183.104,492.203,134.866,16.561,191.769,16.875,127.224,17.9,541.916,47.933,418.539,164.655,301.035,219.588,120.266,718.344,261.2,233.767,8.213,1.0,302.541,6.212,4.024,310.99,132.232,2.173,48.713,-2.9179344,-35.982388,4.1698403,-9.441488
8143,22584,10370,28.71,533.8,22.777,83.684,238.905,2.643,2.535,395.605,8.023,80.752,299.67,5.012,5.061,25.574,28.07,7.544,1.0,404.741,1.0,321.667,384.091,1.0,144.073,153.268,307.449,330.67,7.224,99.207,3.268,8.552,31.045,21.08,164.595,43.269,80.318,19.438,28.098,122.628,106.621,226.715,47.953,468.643,129.903,1.0,1.0,47.371,297.965,5.921,1.0,20.384,47.61638,38.141968,5.434034,21.521072
8145,10188,3127,243.04,482.74,39.109,105.204,96.767,5.929,11.742,66.934,8.023,115.381,342.926,11.03,60.899,15.958,34.515,1.0,1.0,450.291,3.622,115.083,360.809,1.0,68.771,176.931,360.551,220.78,8.262,145.488,1.0,101.332,314.596,41.161,31.842,56.672,66.261,42.904,40.743,96.649,151.73,201.636,41.959,374.874,423.158,5.604,1.0,8.057,353.971,1.0,1.0,71.079,53.361473,40.34027,4.36371,23.440214
8146,6344,17408,124.65,20.98,1.0,224.133,293.341,112.73,37.829,60.94,9.779,62.913,103.99,10.027,22.32,90.75,2.289,112.242,15.863,1.0,63.929,142.833,1.0,9.566,136.543,295.247,200.136,172.828,3.075,64.214,108.724,159.589,132.447,102.657,261.142,138.118,173.691,71.399,53.389,113.181,224.345,285.234,116.884,2.202,1.0,159.827,232.073,1.0,337.039,289.709,119.426,285.79,-31.054577,-41.406464,-2.2644176,-16.664595
8147,11879,11009,64.1,140.86,21.416,288.694,22.17,117.66,248.065,113.887,15.046,284.33,99.87,856.569,140.088,127.077,53.85,255.112,2.062,2.035,46.886,628.972,1.0,1.0,1.0,707.811,723.422,423.577,30.047,390.441,5.536,348.384,207.56,550.701,45.251,182.449,266.061,123.361,37.13,211.191,546.709,634.257,682.318,79.141,1.0,244.995,54.859,68.541,475.102,30.527,4.518,78.534,-10.213963,29.657167,-14.075813,-27.276415
8148,21152,14544,87.55,240.76,9.166,88.214,209.671,10.859,140.645,61.939,2.756,148.961,267.743,41.12,213.186,147.378,2.289,63.165,4.185,296.041,177.988,186.0,284.614,92.013,1.0,183.104,428.037,216.784,77.766,146.617,35.018,150.958,124.936,81.322,227.619,111.313,106.422,312.768,445.401,134.436,325.565,313.449,114.886,190.942,59.006,34.377,39.223,26.202,321.409,32.167,40.866,23.366,18.5745,17.892088,3.455498,9.413143
8149,10647,1263,52.45,553.78,172.49,27.051,135.074,50.293,30.157,48.952,11.534,110.134,295.551,13.036,32.473,1.0,24.203,4.272,1.0,489.63,3.622,174.694,407.373,1.0,43.671,89.48,107.206,328.672,16.561,191.769,1.0,134.775,273.284,92.617,54.638,81.415,78.31,141.799,29.904,165.138,46.109,257.02,84.916,522.74,490.832,1.0,1.0,8.057,301.872,2.64,1.0,45.731,53.942528,42.476723,5.167235,23.771072
8150,12575,12660,78.31,1.0,49.997,109.735,60.476,104.515,50.106,112.888,69.473,184.64,26.747,7.018,54.808,30.917,2.289,40.262,2.062,8.247,52.13,119.194,5.233,2.071,3.51,106.97,284.216,217.783,10.336,361.092,15.741,108.883,141.836,371.232,57.319,36.053,86.342,71.399,107.584,205.287,300.26,212.086,148.852,23.841,1.0,162.129,178.214,2.008,338.342,178.163,2.173,242.549,-17.582512,-36.61484,-2.9559715,-11.284217
8151,151,1912,167.85,329.56,25.499,234.327,225.8,1.0,7.138,12.988,29.091,188.837,458.274,31.09,2.015,49.08,21.625,30.447,4.185,668.725,6.244,190.111,525.898,2.071,88.852,279.815,134.864,384.616,1.0,242.566,18.009,10.71,49.823,209.334,238.346,178.325,10.036,326.178,22.678,1.0,463.093,490.05,201.799,294.329,300.7,1.0,141.729,13.097,34.864,86.3,12.725,9.946,37.994934,53.18814,12.006364,20.99248
8152,14064,9173,204.52,149.74,9.166,56.5,180.437,219.531,310.982,101.899,8.023,163.652,58.674,74.22,57.854,263.839,35.804,27.175,6.308,1.0,56.063,69.861,1.0,4.212,199.294,151.21,378.252,45.955,14.486,67.6,30.482,203.821,369.053,187.999,108.275,211.316,261.041,81.456,78.68,247.798,248.55,288.369,129.871,3.404,1.0,158.676,160.84,6.04,421.7,340.562,44.384,154.578,-40.987953,-33.030586,-8.352264,-12.823609
8153,2645,12026,98.78,1.0,2.361,485.776,282.252,254.036,22.484,16.984,16.801,207.726,193.591,5.012,162.424,167.678,1.0,53.349,8.431,1.0,63.929,154.139,1.0,5.283,164.153,276.728,239.963,194.806,2.037,90.176,74.706,43.075,94.891,250.75,182.027,260.802,11.04,332.883,103.971,80.117,295.859,129.532,64.936,3.404,1.0,147.167,411.024,1.0,456.867,317.596,78.387,187.381,-29.30495,-47.879032,-4.035701,-19.332537
8154,20113,4731,76.47,169.72,11.888,527.684,177.413,185.026,86.935,105.895,46.649,155.257,12.329,4.009,63.945,161.267,47.405,62.074,1.0,26.881,21.976,554.972,144.924,1.0,8.53,253.065,300.811,250.75,10.336,563.149,1.0,75.44,17.9,456.574,18.432,191.728,43.169,133.418,147.327,197.021,568.714,229.85,128.872,59.906,26.781,70.055,73.97,7.048,359.181,199.488,1.0,400.6,-4.294133,-37.985855,6.556539,-6.3974648
8155,6528,9139,118.68,349.54,9.166,75.755,124.993,208.03,240.392,99.901,6.267,214.022,229.637,10.027,140.088,77.928,44.827,31.537,2.062,204.941,12.799,299.056,102.593,1.0,61.241,273.642,379.359,311.689,13.449,153.39,7.804,168.219,233.85,22.335,62.683,44.3,83.33,252.426,60.615,259.606,159.432,413.767,117.883,295.531,55.784,121.847,75.708,10.073,413.885,112.547,11.553,223.166,12.226803,12.706541,-10.525339,-7.503618
8156,12646,2396,55.29,234.1,9.166,51.969,46.363,2.643,76.194,57.943,4.511,148.961,172.993,6.015,124.86,3.137,22.914,5.362,1.0,32.057,2.311,81.167,100.477,1.0,229.415,78.163,92.824,111.889,7.224,64.214,1.0,86.228,94.891,27.356,7.705,32.96,64.253,260.807,149.134,51.777,43.909,238.21,52.948,541.975,88.01,104.583,7.95,9.065,381.323,28.887,1.0,47.222,2.572853,-1.8508072,-1.093063,3.597656
