cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5865,6169,19357,338.69,97.886,92.711,3.227,10.38,308.876,56.379,46.966,138.118,10.261,110.022,59.463,1.0,68.746,91.453,161.177,49.069,31.167,71.829,240.011,24.9,13.129,2.925,85.283,11.599,131.597,147.849,187.013,89.777,252.289,8.196,1.0,11.528,168.567,411.013,22.127,2.175,10.494,17.439,3.416,5.098,108.374,15.98991,58.144173,-13.396684,10.867153
5866,16387,9825,267.2,390.696,301.246,110.144,91.285,32.937,53.122,378.945,202.037,141.068,183.445,114.849,3.245,250.75,385.927,211.759,52.204,88.021,232.514,231.2,32.069,121.189,330.15,122.467,12.924,41.391,201.443,386.157,116.308,373.317,466.321,176.563,9.189,158.962,366.541,50.799,243.111,149.742,2.265,13.08,149.569,133.639,26.89235,-28.097952,18.040169,-4.8977566
5867,8629,14897,218.31,101.115,259.757,15.478,11.553,232.226,42.263,166.479,346.372,54.249,199.02,52.283,2.122,80.88,249.242,119.025,97.138,41.61,65.486,189.345,51.189,23.053,6.775,160.89,11.599,171.988,59.954,339.106,464.275,243.057,24.986,1.0,8.019,204.856,245.055,41.745,4.526,6.275,12.381,3.416,19.443,112.585,-0.33289146,54.883015,-12.155362,3.4755201
5868,3991,7668,175.96,245.367,272.859,74.505,100.665,13.775,41.177,383.031,87.601,18.364,15.462,103.567,2.122,214.349,93.463,308.709,1.0,35.808,192.343,49.463,30.874,139.934,210.809,364.16,19.549,10.425,158.568,177.165,97.941,269.725,46.573,161.026,16.207,130.144,181.059,2.509,3.351,108.601,16.175,37.239,64.526,55.74,12.125938,-40.446487,9.774519,-11.879887
5870,6692,10575,189.17,211.996,296.879,110.144,74.87,23.995,59.637,231.853,313.381,39.2,37.712,154.85,2.122,287.151,168.84,232.835,13.54,38.129,262.114,200.359,63.139,123.394,178.087,147.256,20.874,131.597,174.646,421.171,245.903,317.931,39.377,69.361,9.189,154.692,247.225,5.527,3.351,149.742,3.529,13.08,30.714,134.691,8.268005,-73.35892,12.347129,2.9583743
5871,1436,4757,71.49,172.165,261.941,127.963,126.461,7.387,68.324,537.273,331.938,14.891,16.575,105.618,2.122,128.403,245.222,97.949,15.63,132.111,228.286,253.228,21.315,51.722,43.347,427.372,117.594,53.508,170.358,683.778,206.106,336.393,34.58,53.824,109.79,341.471,233.124,70.417,4.526,107.546,75.609,14.288,7.148,141.007,-9.087063,-39.28135,2.637853,-15.721617
5872,6511,13019,159.04,119.416,296.879,83.415,32.658,16.33,19.46,361.58,552.563,43.831,61.073,116.9,2.122,248.728,285.424,76.873,29.214,40.449,214.543,184.939,27.289,116.778,249.306,100.156,22.199,23.888,133.914,504.33,217.331,265.622,21.388,123.739,3.34,273.163,362.202,4.018,1.0,120.205,35.143,34.823,9.197,133.639,5.186965,-69.8017,11.783918,0.77187455
5873,16524,17091,108.02,343.33,193.157,130.191,93.63,1.0,18.374,224.702,140.18,87.819,161.196,55.36,2.122,130.425,151.755,34.722,8.315,24.206,87.686,18.623,57.164,242.48,572.682,124.945,16.899,93.899,182.149,254.853,325.496,212.287,74.156,78.683,6.849,94.923,160.45,8.545,2.175,16.824,1.0,15.496,4.074,59.95,45.97001,16.047974,6.6753345,15.291548
5874,17871,14602,260.52,225.99,227.003,78.96,78.387,1.0,21.632,221.638,96.879,55.407,77.761,53.309,2.122,107.169,73.362,169.608,2.045,20.725,53.857,74.796,32.069,132.215,349.399,107.593,11.599,58.894,124.267,229.687,310.19,209.21,53.768,125.292,6.849,56.5,181.059,4.018,4.526,11.549,1.0,8.248,16.369,55.74,45.258476,16.48573,6.084121,13.945734
5875,3833,16220,14.78,47.29,216.085,2.114,15.07,96.812,6.429,92.933,197.913,12.576,98.898,27.667,2.122,52.568,158.79,47.367,33.394,30.007,85.571,17.521,15.34,45.106,22.173,44.381,10.275,42.737,25.653,110.419,49.981,122.029,9.395,25.858,10.358,104.529,153.941,1.0,2.175,4.165,2.265,3.416,20.468,84.162,23.733643,46.975754,-7.1284018,11.73153
5876,11932,20842,280.28,135.564,26.111,86.756,50.246,1.0,25.975,115.405,261.833,1.0,183.445,55.36,2.122,89.98,232.157,72.658,90.868,53.213,87.686,72.593,81.063,47.311,112.642,62.973,22.199,136.982,173.574,485.728,389.783,203.056,30.982,7.215,8.019,156.827,210.345,4.018,4.526,11.549,26.291,13.08,35.837,79.952,23.302847,17.886806,1.8794396,7.0871615
5877,5423,18116,328.18,120.492,199.708,3.227,23.278,214.341,37.92,149.113,291.731,47.304,122.259,51.258,2.122,135.481,157.785,110.595,54.294,43.93,90.857,180.534,28.484,24.156,1.0,196.834,8.95,170.642,143.561,557.945,231.617,451.268,15.391,2.554,13.868,390.567,493.45,37.218,3.351,18.933,11.116,3.416,3.049,392.6,-4.242981,62.35483,-16.349716,4.1304846
5878,6865,15334,148.24,162.476,297.97,17.706,10.38,358.698,23.803,51.052,151.52,88.977,335.854,61.514,1.0,102.113,136.679,140.101,128.487,42.77,77.114,117.752,24.9,19.745,1.0,196.834,44.723,61.586,107.117,428.83,122.431,293.315,38.178,1.0,11.528,221.933,273.257,41.745,62.115,8.384,12.381,3.416,6.123,126.27,11.080933,50.157337,-12.756827,13.845705
5879,3348,8860,154.35,312.111,269.584,100.12,74.87,84.037,58.551,327.871,236.059,104.025,212.37,111.772,2.122,214.349,286.429,119.025,155.657,59.014,215.6,125.462,48.799,115.675,168.462,393.907,18.224,84.474,210.018,207.803,132.635,363.061,60.964,133.061,23.226,172.837,217.938,105.125,6.876,128.644,13.646,11.872,83.994,107.321,2.9040108,-35.06234,6.6748753,-11.787068
5880,7879,21159,150.37,91.427,80.702,163.602,203.849,1.0,12.945,63.31,129.87,79.716,35.487,113.823,2.122,96.047,225.122,55.797,29.214,230.735,133.143,93.52,24.9,59.44,249.306,148.495,576.021,197.569,152.136,282.208,615.298,283.059,14.192,25.858,205.713,178.173,242.886,185.106,1.0,9.439,338.637,21.536,12.271,124.164,-23.926952,-14.326159,-10.25782,-12.990793
5882,19530,8382,297.19,420.838,383.131,99.007,86.595,27.827,81.354,367.709,208.223,102.868,181.22,110.746,3.245,233.561,238.187,334.0,12.495,53.213,212.429,138.679,79.868,156.474,484.139,106.354,19.549,134.29,171.43,324.882,186.718,289.213,56.167,131.507,22.056,109.865,107.3,23.636,5.701,150.797,9.852,22.744,28.665,81.004,23.55435,-59.747578,18.87511,4.642643
