cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2391,244,11299,212.48,7.687,14.225,149.458,200.8,9.342,1.0,184.322,92.002,213.639,124.193,24.207,166.157,57.484,244.11,176.75,366.019,95.543,141.859,93.177,139.385,209.19,157.877,231.626,164.076,70.536,257.309,361.694,641.641,159.317,72.576,9.655,116.431,69.091,121.879,94.906,45.4,21.769,60.82,119.734,214.786,542.079,-0.8827324,12.103388,-5.3703804,-10.328455
2392,14304,10216,194.57,9.024,22.364,64.92,178.487,7.257,7.062,78.242,165.815,204.611,42.409,23.102,211.475,56.377,235.939,207.583,232.55,24.11,185.815,33.387,159.587,136.168,72.902,348.081,11.272,10.271,69.618,312.048,368.368,117.233,2.023,276.714,89.147,207.304,102.898,157.843,54.482,18.654,132.605,124.851,189.811,272.648,-56.1365,-4.404854,-7.1196156,9.917896
2393,18219,13055,97.64,1.0,8.121,12.341,265.71,61.482,163.459,46.315,127.392,259.777,1.0,2.105,120.84,22.043,175.672,147.972,161.77,12.555,53.947,1.0,52.516,182.778,133.909,443.985,1.0,18.384,78.7,340.417,133.132,1.0,10.203,115.984,457.476,3.033,2.998,53.947,67.6,79.923,75.775,24.542,56.944,223.862,13.982927,82.41062,15.412383,-23.915194
2394,8619,5560,111.71,2.337,17.277,35.022,157.189,4.128,91.928,74.123,87.957,251.753,11.352,2.105,117.819,64.13,279.862,136.667,169.859,28.312,172.828,217.741,137.365,33.627,140.446,383.474,3.568,34.609,120.073,288.744,195.194,87.173,99.162,301.442,152.109,251.004,34.966,83.917,37.327,13.462,189.434,30.683,230.77,234.95,-32.624157,-3.1352806,5.3386927,3.1012921
2395,970,14147,59.41,15.711,9.138,96.879,207.899,113.622,14.336,58.674,189.071,154.461,53.797,2.105,43.296,46.409,57.181,210.667,112.225,9.404,45.955,1.0,65.647,425.148,139.357,27.259,17.693,210.767,217.955,103.332,112.111,73.144,25.54,3.473,150.011,2.016,178.822,154.846,39.345,242.962,3.991,135.087,425.575,412.353,35.58271,12.553886,-0.30714068,-24.71513
2396,19256,4709,88.12,15.711,13.208,122.653,225.141,125.093,265.299,123.558,195.138,484.452,76.572,14.261,259.814,49.732,355.451,244.583,212.327,19.909,203.797,75.738,222.214,243.37,444.395,199.658,22.829,101.827,106.955,519.751,251.251,131.261,102.229,473.3,218.22,41.651,270.73,173.827,63.564,17.615,9.973,265.08,388.612,413.462,-3.121666,-72.54225,-0.027063409,23.334917
2397,6291,7928,125.5,1.0,20.329,1.0,174.43,4.128,1.0,19.538,50.546,178.533,1.0,4.315,7.042,28.688,250.239,97.611,177.948,26.211,27.973,108.125,126.254,69.361,167.682,310.405,1.0,31.132,199.791,208.703,242.241,5.008,38.833,57.874,307.416,246.939,1.0,7.993,25.218,33.192,341.976,1.0,157.843,251.582,-24.860067,11.897219,7.5700912,-4.8553853
2398,12504,14002,117.11,1.0,12.19,218.533,328.591,35.412,57.982,193.591,135.481,283.849,150.074,72.831,129.903,143.873,92.933,233.278,854.397,166.975,8.992,1.0,71.708,294.641,276.624,788.783,467.114,10.271,844.6,661.596,18.017,204.407,4.068,57.874,93.345,2.016,7.993,86.914,57.509,164.038,6.982,13.283,46.954,628.563,58.179768,33.98441,-19.82514,-13.034905
2399,19294,8400,97.64,13.036,14.225,71.105,154.146,20.813,93.141,77.212,221.427,275.825,65.184,5.42,292.039,32.011,177.715,145.917,374.108,19.909,168.832,38.369,181.81,389.414,112.121,260.169,67.771,32.291,148.327,373.852,285.285,105.209,78.711,415.189,142.665,155.474,183.817,154.846,89.8,19.692,210.371,196.501,413.587,391.286,-61.100155,-11.164356,-11.484238,13.378947
2400,8632,3680,138.58,6.349,19.312,58.734,166.317,42.712,91.928,73.093,128.403,228.684,34.127,19.787,127.889,46.409,275.776,136.667,495.444,31.464,184.816,167.915,185.85,167.241,132.82,407.45,43.374,85.602,245.2,326.232,339.339,80.158,136.995,402.825,146.862,121.937,103.897,123.877,42.373,29.038,234.299,58.32,346.654,401.265,-37.26579,-16.787363,1.4172337,8.987232
