cell,x,y,area µm²,CD4,CD34,H2A.x,E5,HLA-DR,E9,ApoE,HLA-A,S100B,Gal3,CD45,PSD-95,CD74,CD8,E3,CD40,E7,PCNA,Vimentin,CD44,ATG7,E6,E1,IBA1,GFAP,SMA,a-Beta,CollagenIV,CD14,Synaptophysin,CD31,TMEM119,Neurofilament,AQP4,CD68,E2,CD11c,DAPI_1,Olig2,CD163,E4,Claudin-5,P2Rx7,CD3e,E8,E10,CD11b,NeuN,MAP2,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1161,10822,14716,144.55,185.291,136.194,21.29,162.554,99.609,241.916,8.027,66.949,170.406,23.762,196.736,63.438,136.537,75.925,112.47,213.318,195.976,179.06,8.96,6.465,254.734,114.81,74.818,414.138,73.032,9.383,72.792,30.27,175.665,383.015,39.686,258.013,82.423,35.662,94.622,62.295,183.408,49.534,10.293,17.178,80.205,11.713,58.913,131.443,131.138,137.999,132.605,26.478,48.864,18.6207,26.778265,-2.337073,8.275047
1163,3927,8299,281.27,289.018,18.946,76.194,139.475,187.652,225.855,60.729,88.932,326.111,35.143,363.592,179.846,201.968,221.432,109.648,305.364,187.936,266.02,8.96,93.905,456.985,138.952,89.581,377.959,110.819,10.78,81.309,32.815,196.966,528.545,53.339,402.164,79.292,33.186,147.491,94.555,244.917,50.883,39.334,16.167,115.974,10.374,231.336,119.777,171.328,139.211,157.729,53.297,100.409,5.982769,42.106052,10.659152,6.7470255
1164,23840,17991,193.86,243.701,4.589,28.452,83.426,132.478,174.46,41.991,69.391,17.193,13.646,307.973,102.593,329.326,10.773,68.729,78.318,93.463,228.751,2.327,18.488,242.476,126.306,39.139,289.263,69.489,3.794,48.456,21.362,135.194,458.812,44.237,249.074,130.964,1.0,108.94,51.541,210.981,236.931,54.435,71.779,72.54,5.017,343.213,47.662,108.172,99.203,136.194,165.936,70.955,-39.80389,10.933491,-35.271328,5.438297
1165,22906,11860,145.68,299.089,34.499,36.806,139.475,179.435,238.704,82.981,160.987,368.463,145.159,426.698,86.719,443.832,233.376,104.004,407.227,137.684,328.134,58.048,18.488,396.923,124.007,92.042,489.996,108.457,5.192,87.393,72.266,345.005,99.536,84.06,317.238,149.754,64.134,166.215,97.781,240.675,385.231,52.112,240.639,78.927,46.531,436.664,118.717,203.862,100.415,178.068,17.091,35.364,-15.173702,4.081505,11.272037,-11.11621
1166,8338,19373,129.34,192.341,9.375,65.452,137.827,106.652,190.521,65.414,76.719,22.176,93.313,279.094,239.109,53.579,15.116,105.415,118.818,155.775,170.778,28.861,2.093,235.121,124.007,62.515,319.606,60.043,3.794,32.637,36.633,259.803,442.137,46.513,255.779,160.715,127.268,72.593,75.199,254.462,54.927,57.92,13.134,95.535,14.391,270.822,79.478,129.224,83.442,107.48,18.432,93.045,51.74623,-25.359528,-30.06061,9.505007
1168,5443,13167,121.38,293.046,6.982,21.29,109.802,244.0,132.701,49.018,99.923,292.479,54.111,432.046,124.817,547.821,230.118,92.716,376.545,133.664,388.177,7.633,16.302,308.667,110.212,50.212,548.349,84.84,3.794,65.491,37.906,307.729,355.728,59.028,365.289,91.818,1.0,243.315,55.843,280.975,254.457,38.172,165.815,78.927,9.035,233.968,107.051,131.138,89.504,149.354,19.773,55.0,-8.426205,12.950964,1.1800796,-2.1000612
1169,8982,11001,168.28,188.312,3.393,4.581,142.772,134.826,306.161,77.125,65.727,326.111,25.027,351.827,130.108,241.695,206.229,65.907,307.818,115.573,270.161,3.653,14.116,384.665,103.314,73.587,460.82,76.574,5.192,64.274,28.997,149.039,443.653,46.513,204.376,65.199,3.476,133.172,62.295,217.344,183.004,35.849,36.39,89.147,6.357,266.874,121.898,194.293,117.388,155.337,15.75,95.5,5.139654,35.24306,6.7259946,6.6696396
1171,18653,18937,517.92,302.11,53.642,48.742,93.317,224.043,184.096,56.045,139.004,14.702,119.868,479.108,150.215,329.326,8.601,56.03,148.273,147.734,312.605,80.602,8.651,227.767,79.173,39.139,495.832,51.777,3.794,36.287,208.436,293.884,316.314,55.615,302.711,154.451,184.212,241.112,44.014,163.258,180.308,20.748,53.579,53.377,85.366,135.253,80.538,94.776,96.778,179.265,46.592,30.455,60.750618,-8.505573,-28.491013,1.0276479
1172,11798,13622,110.01,200.397,34.499,29.645,83.426,83.174,184.096,30.279,44.966,257.601,57.905,304.764,115.292,52.411,107.415,53.208,253.818,123.614,205.976,23.554,8.651,312.345,75.724,19.454,316.105,39.968,3.794,24.119,55.722,212.941,492.162,24.894,337.352,24.487,54.23,92.419,26.808,169.621,98.069,35.849,15.156,64.875,5.017,165.526,112.354,106.259,100.415,134.998,23.796,58.682,15.934307,42.9645,8.750806,11.626482
1173,8801,14811,118.25,329.3,3.393,17.71,96.614,201.739,151.974,70.098,123.127,257.601,38.937,405.306,256.041,251.042,219.26,64.496,291.864,69.342,248.421,2.327,17.395,346.666,88.369,34.218,430.477,47.053,3.794,46.022,30.27,340.745,593.73,72.682,409.987,58.936,2.238,155.201,65.521,261.885,118.291,40.495,268.95,49.545,9.035,293.198,102.809,115.828,91.928,130.212,22.455,64.818,1.1789017,41.70318,10.761802,4.9345694
1174,1599,6355,174.39,280.962,20.143,144.226,225.198,251.043,357.556,29.108,132.897,380.919,62.963,404.237,66.612,286.095,202.972,190.076,298.0,230.147,286.724,40.801,56.743,456.985,124.007,126.49,285.762,141.521,7.986,132.415,34.088,177.795,307.219,43.099,405.517,124.701,161.929,186.041,80.576,270.369,53.579,49.788,21.223,135.137,13.052,361.64,164.318,245.966,148.91,143.372,33.183,77.091,-23.840685,30.584778,9.668106,-4.9680004
1176,19688,5566,214.47,298.082,5.786,64.258,101.559,159.478,232.28,23.252,98.702,404.586,55.376,375.358,192.546,374.895,272.467,95.538,377.773,107.533,203.906,34.167,39.255,368.73,73.425,76.048,242.581,91.926,6.589,70.358,23.907,150.104,354.212,53.339,322.826,68.331,237.442,243.315,76.274,152.653,150.648,52.112,103.124,76.372,9.035,299.779,100.688,127.31,96.778,105.087,11.728,62.364,6.0582066,18.10434,14.942394,-1.6734662
1178,10845,19546,195.0,141.988,10.571,49.935,81.777,87.87,161.611,26.766,26.647,12.211,40.201,199.944,220.06,67.6,7.515,60.263,51.318,105.523,115.911,14.267,4.279,236.347,78.023,34.218,297.432,43.511,3.794,22.903,25.18,171.405,431.525,29.445,245.721,154.451,54.23,92.419,68.747,174.924,56.275,3.323,10.1,66.152,5.017,95.767,57.207,79.466,81.017,96.713,15.75,89.364,47.74211,-26.298756,-31.18028,9.870708
1179,22936,14922,123.37,232.623,5.786,2.194,86.723,140.696,177.672,32.621,60.842,343.55,25.027,319.739,74.02,343.347,175.825,34.864,352.0,103.513,436.833,2.327,14.116,271.894,97.566,52.672,419.973,51.777,3.794,53.323,25.18,42.536,249.613,32.859,266.953,93.384,1.0,157.404,53.692,168.561,480.951,93.93,28.301,73.817,6.357,373.486,100.688,127.31,150.123,148.158,46.592,35.364,-8.714703,14.1960945,-1.6457716,-0.10469468
1180,3374,2652,248.44,193.348,5.786,89.323,151.015,128.957,142.338,36.135,106.029,136.774,3.529,332.574,118.467,230.011,184.512,149.157,166.682,202.006,332.275,15.594,38.162,456.985,136.652,104.345,222.741,102.553,6.589,126.331,27.725,174.6,270.836,59.028,449.097,38.58,43.089,177.229,111.761,248.099,99.417,42.819,15.156,108.309,7.696,32.589,110.232,178.983,89.504,114.659,55.979,84.455,23.858837,30.68223,0.27469283,15.952956
1182,12613,7904,162.6,298.082,10.571,146.613,96.614,144.217,277.251,59.558,73.055,333.585,138.837,344.339,221.119,226.505,211.659,78.606,342.182,155.775,229.787,43.454,54.557,461.888,98.716,34.218,456.152,50.596,3.794,30.203,86.265,282.168,392.111,31.721,332.883,49.541,387.23,161.809,49.391,196.134,197.834,47.465,135.481,64.875,11.713,262.925,107.051,171.328,114.964,99.105,11.728,74.636,10.036364,10.821827,16.901745,1.4267831
