cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3485,6262,21507,258.39,68.917,467.127,83.917,7.993,11.0,13.987,34.966,8.992,20.294,357.637,51.659,1.0,63.937,58.676,24.233,129.532,2.998,54.267,20.019,168.0,21.979,85.395,18.581,5.004,116.619,72.214,13.553,74.926,71.929,3.176,3.798,3.997,76.128,82.407,67.848,1.0,12.988,108.261,5.826,4.077,32.377,-58.779552,-24.17472,11.043103,10.844282
3486,16916,19152,46.05,536.928,23.978,29.971,34.966,2.0,8.992,87.913,6.994,18.15,539.084,57.738,1.0,89.911,94.588,2.659,179.691,11.989,30.146,14.013,207.0,110.89,275.774,15.478,8.007,80.244,136.407,29.244,108.892,54.946,81.529,14.992,1.999,56.838,49.241,75.275,58.302,21.979,35.702,34.783,4.077,39.462,-33.598724,39.165833,9.454241,-0.9448821
3487,3606,17032,204.1,134.365,271.266,105.895,174.826,118.0,27.973,26.974,34.966,17.078,274.213,600.805,1.0,232.768,291.559,4.319,223.581,316.684,107.533,107.106,10.0,13.987,1.0,279.189,136.135,97.133,66.196,86.778,213.787,373.627,43.441,1.0,207.793,244.659,214.066,283.245,5.325,31.969,273.359,7.435,104.592,115.374,77.08243,21.212196,-3.5858638,-23.710043
3488,13308,681,21.18,24.462,1.0,21.979,19.981,8.0,67.933,5.995,14.986,61.026,4.128,37.475,2.279,9.991,84.794,27.551,250.75,3.997,50.246,26.025,13.0,61.939,189.417,71.323,9.008,34.776,37.108,11.461,1.999,14.986,54.324,38.777,13.987,45.671,27.131,60.42,5.325,106.894,1.0,2.609,11.257,36.426,24.399231,38.792564,-12.87971,4.2231374
3490,17780,19572,9.38,189.933,104.949,46.954,55.945,171.0,83.917,19.981,17.983,42.804,31.241,55.712,3.558,37.963,302.441,27.551,445.116,3.997,99.493,12.011,35.0,141.859,281.662,45.469,9.008,30.879,87.259,31.336,15.985,43.957,44.529,87.748,9.991,70.037,59.292,104.985,4.244,36.964,1.0,4.217,4.077,39.462,19.470827,13.641411,-20.695505,-4.464882
3491,12821,16374,205.23,562.86,330.353,253.747,35.965,1.0,16.984,48.952,6.994,42.804,572.453,61.791,1.0,109.891,39.088,35.849,82.508,6.994,30.146,16.015,215.0,61.939,171.752,53.742,6.005,141.302,142.425,26.106,94.906,75.925,31.471,143.714,4.996,72.067,67.332,49.279,2.081,7.993,76.714,15.478,4.077,39.462,-45.728302,32.0093,15.601878,-2.3010018
3494,9339,13905,325.33,293.661,626.88,105.895,4.996,171.0,77.923,47.953,16.984,25.653,497.372,63.817,2.279,177.823,40.176,112.184,240.3,12.988,37.181,30.029,103.0,24.976,1.0,47.537,5.004,160.788,126.377,19.829,120.88,89.911,14.059,1.0,4.996,114.707,73.362,130.981,6.406,98.902,73.559,4.217,9.205,61.729,-48.7231,-51.27749,19.182747,19.16537
3495,9537,6769,151.08,497.413,436.49,361.639,103.897,12.0,67.933,70.93,86.914,108.189,437.932,139.806,31.699,189.811,269.794,40.827,174.467,306.694,180.9,71.07,41.0,77.923,44.179,278.155,75.074,321.875,239.717,65.857,332.668,131.869,35.824,2.399,157.843,197.957,149.744,179.26,5.325,141.859,151.376,50.87,168.184,98.167,70.45462,11.47566,3.2674074,-21.251749
3496,20428,4648,55.15,63.978,1.0,135.865,6.994,602.0,419.581,95.905,26.974,839.217,533.87,111.437,2.279,44.956,645.235,1.0,805.634,25.975,175.875,41.04,34.0,42.958,1.0,213.003,3.002,39.973,167.5,78.409,57.943,199.801,40.176,1.0,14.986,140.088,98.488,125.411,39.922,107.893,1.0,2.609,8.18,69.827,40.63728,-35.73913,-39.89352,-5.5516086
3497,13083,2637,105.18,96.084,2.094,62.938,13.987,8.0,149.851,7.993,15.985,82.464,233.544,89.147,2.279,20.98,84.794,2.659,245.525,9.991,150.749,22.021,326.0,22.978,67.731,267.814,6.005,286.8,73.217,19.829,25.975,17.983,38.0,31.782,14.986,101.509,106.528,80.846,5.325,94.906,28.341,13.87,7.154,60.717,24.689774,50.246647,-8.240842,9.398182
