cell,x,y,area µm²,ATG7,P2Rx7(Park7),GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
4814,10573,5295,192.3,315.914,323.605,72.212,62.492,31.077,47.185,467.401,138.236,39.289,54.458,115.757,3.227,157.785,128.255,150.044,40.136,33.826,144.619,38.346,61.06,100.494,277.115,300.356,15.511,115.974,132.659,312.987,196.743,225.8,42.082,266.072,16.322,161.649,168.567,4.032,4.513,106.211,10.965,37.606,15.228,66.22,-30.537636,-9.12294,-9.386425,19.045914
4815,11916,12869,164.16,186.118,185.96,30.502,13.097,25.706,52.205,440.319,288.591,20.725,34.411,116.782,2.114,188.941,193.385,278.948,17.478,39.297,214.317,150.383,81.08,78.159,140.975,139.782,12.162,247.556,116.578,443.338,294.108,343.745,25.048,14.79,4.064,314.85,598.692,4.032,2.171,108.215,8.474,9.266,20.309,124.193,12.057861,35.80621,-1.9772297,-4.8585925
4817,7130,6736,423.83,359.534,220.371,77.298,54.428,59.006,49.193,307.922,207.864,76.418,143.555,105.511,3.227,193.966,93.185,182.27,42.196,34.92,153.068,189.804,29.028,94.402,190.829,299.209,13.278,68.707,163.815,206.142,151.104,266.123,146.291,94.465,12.236,208.46,193.115,34.351,296.132,102.203,3.491,13.989,27.423,139.721,-15.408581,-27.924345,0.26243353,17.500423
4818,20134,6787,108.73,444.645,347.263,87.471,90.718,21.41,110.438,498.494,129.155,122.829,52.231,104.486,4.341,244.217,161.321,347.427,46.315,27.261,223.821,33.159,38.037,154.302,572.405,303.797,13.278,59.765,177.885,274.523,140.961,380.035,48.094,189.462,21.429,161.649,100.26,10.096,9.198,137.273,1.0,90.745,20.309,52.762,-39.21061,-15.009003,-7.1292334,23.470541
4819,10641,13050,118.82,187.182,225.748,26.433,16.121,138.497,28.109,296.889,251.255,16.084,125.736,87.068,2.114,144.719,103.205,234.637,52.495,43.674,242.83,273.832,16.015,34.503,10.587,127.165,11.046,29.105,140.699,285.207,147.047,313.503,35.068,5.597,6.107,203.141,450.337,28.287,2.171,88.175,4.737,5.723,8.114,365.402,16.105076,46.23072,0.2337485,-7.248825
4820,2504,8180,222.57,166.968,237.577,73.229,73.581,21.41,60.237,346.036,398.582,28.847,5.455,130.102,3.227,249.242,180.359,210.468,5.12,41.485,257.614,382.757,43.042,128.921,188.912,429.962,15.511,176.017,186.931,329.014,196.743,296.365,39.076,158.817,20.408,218.035,224.067,8.58,19.739,132.263,3.491,16.351,14.212,133.51,-11.17942,-14.399673,-12.176548,13.013448
4821,1103,20007,351.63,51.003,52.617,2.017,9.065,188.984,65.257,72.214,248.227,13.763,65.595,52.231,2.114,17.08,115.229,113.79,59.704,37.108,78.09,174.243,28.027,7.091,1.0,91.61,6.581,113.419,78.387,373.889,113.578,290.317,6.01,1.0,10.193,245.696,314.788,19.191,3.342,7.012,4.737,2.181,29.456,183.201,36.292847,54.541855,7.5424995,-15.053015
4822,16494,16789,194.29,181.863,27.884,43.727,61.484,1.0,23.088,185.554,332.991,26.526,24.388,69.649,2.114,76.377,204.407,53.367,8.209,21.79,75.978,82.953,44.043,85.265,217.674,108.814,11.046,179.849,130.649,492.487,231.226,216.728,97.193,56.16,5.086,177.607,248.615,7.064,66.585,8.014,4.737,41.149,5.065,131.439,13.10519,-31.18185,10.324229,0.30495337
4823,11391,16282,208.65,297.827,180.583,39.658,85.678,1.0,50.197,158.473,116.036,42.77,15.478,74.772,2.114,203.011,389.778,158.101,5.12,60.087,119.275,113.037,24.023,155.317,472.697,189.101,16.627,130.027,126.629,225.374,184.573,303.422,30.058,180.268,12.236,177.607,279.567,2.516,2.171,39.076,5.983,30.521,162.588,119.017,21.290806,-46.39541,10.591754,7.277844
4825,13435,20684,161.32,170.16,21.432,128.164,36.283,2.074,76.302,202.605,174.564,135.592,151.351,66.575,2.114,100.498,214.427,13.085,55.585,51.333,77.034,79.841,69.068,91.357,144.81,65.23,15.511,150.467,207.031,420.901,353.946,288.301,325.65,59.224,3.043,349.958,293.442,8.58,549.103,39.076,1.0,11.628,30.472,121.087,-4.693409,-36.40158,5.20599,16.451832
4826,5009,18293,116.69,53.131,65.521,3.035,10.073,159.981,101.402,76.226,526.736,18.404,91.211,71.698,2.114,123.614,120.239,13.085,53.525,51.333,92.874,180.467,51.05,12.168,2.917,167.309,7.697,280.771,64.317,257.428,300.193,378.019,34.066,11.725,13.258,311.658,128.01,4.032,3.342,17.032,34.632,3.362,10.146,373.684,35.44624,69.32954,2.2264736,-18.452368
4827,9526,16723,327.47,161.649,150.474,11.173,26.202,34.3,48.189,115.343,241.164,64.815,44.435,63.502,2.114,138.689,126.251,218.524,31.897,34.92,88.65,225.075,31.03,72.067,257.94,116.843,14.394,182.404,116.578,379.231,342.79,278.22,7.012,46.966,13.258,213.78,234.74,4.032,2.171,8.014,5.983,6.904,5.065,130.404,15.437202,-32.883114,9.569703,1.0108374
4828,21155,2150,96.22,164.84,1.0,87.471,2.008,32.152,52.205,1.0,8.064,5.641,1.0,80.92,1.0,26.126,347.694,1.0,1.0,15.225,63.305,83.991,5.004,5.061,1.0,181.072,3.232,103.199,15.07,444.406,26.355,81.646,5.008,1.0,5.086,174.415,131.212,7.064,2.171,134.267,2.246,1.0,815.038,6.176,-51.924606,60.98441,-17.346394,-18.565474
4829,10543,7853,242.19,258.463,352.639,83.402,100.799,13.89,64.253,423.268,248.227,43.93,13.251,103.462,3.227,258.288,103.205,367.569,5.12,43.674,242.83,101.626,56.055,156.332,338.474,325.589,21.092,78.927,166.83,354.657,185.587,295.357,38.074,313.571,23.472,135.051,226.202,2.516,3.342,112.223,3.491,19.894,9.13,137.651,-28.852938,-20.617981,-13.236171,18.834139
4830,998,2123,156.2,364.853,385.975,91.541,83.662,16.039,119.474,434.301,196.764,32.328,42.207,103.462,4.341,112.558,170.339,29.198,22.628,67.746,149.9,121.336,39.038,88.311,146.727,317.56,53.461,160.687,171.855,312.987,190.658,277.212,58.114,140.431,75.567,270.166,147.221,55.574,10.369,124.247,27.158,45.872,31.488,87.96,-21.597847,-5.150936,-13.432946,15.257282
4831,11527,21049,70.21,136.115,53.692,91.541,88.702,1.0,16.06,164.491,368.309,4.481,41.094,90.142,2.114,201.001,359.718,121.847,11.299,52.427,110.827,91.252,16.015,211.155,388.328,51.466,17.743,4.832,215.071,293.755,230.212,313.503,27.052,88.336,5.086,216.971,334.0,2.516,16.225,24.046,1.0,13.989,153.442,208.047,16.557692,-40.300076,10.371101,3.7023914
4833,3917,11942,47.9,141.435,292.42,81.368,56.444,10.668,23.088,200.599,96.864,31.167,27.729,105.511,2.114,194.971,92.183,125.875,1.0,16.319,214.317,31.084,26.025,105.57,240.683,74.405,8.813,50.822,136.679,251.017,106.478,223.784,43.084,82.207,5.086,65.898,151.49,1.0,2.171,124.247,30.895,23.436,15.228,61.044,29.578571,-27.803566,2.3669477,3.8680544
4834,19449,8634,265.5,477.626,388.126,95.61,90.718,23.558,69.273,436.307,196.764,107.746,100.12,100.388,3.227,238.187,138.275,250.75,21.598,30.543,222.765,85.028,30.029,151.256,497.624,95.051,7.697,30.382,178.89,378.163,136.905,336.688,43.084,118.98,10.193,80.792,107.731,8.58,6.856,131.261,2.246,12.809,19.293,82.783,43.238438,-35.291126,0.5045058,10.267579
4835,8080,13467,219.02,192.502,210.693,44.744,4.024,182.539,37.145,273.819,381.427,26.526,139.1,69.649,1.0,292.459,165.329,214.496,182.262,58.992,88.65,83.991,126.125,48.716,10.587,136.341,9.93,230.949,137.684,448.68,687.622,399.189,25.048,8.661,3.043,376.556,396.971,29.803,2.171,124.247,18.439,8.085,10.146,143.862,16.238884,64.0258,-2.2858477,-11.731506
4836,10617,11520,146.25,107.39,55.843,8.121,1.0,108.419,22.084,283.849,279.509,11.443,57.799,107.56,1.0,55.272,90.179,113.79,93.691,11.942,205.869,67.393,48.047,14.198,2.917,64.083,11.046,302.488,83.412,443.338,259.624,209.671,14.026,25.515,3.043,138.243,388.433,13.127,1.0,71.14,12.211,6.904,9.13,122.122,17.230934,41.56184,3.8463414,-10.114844
4837,10144,18038,198.7,623.38,93.48,308.228,213.703,94.455,48.189,25.072,196.764,115.868,46.662,87.068,2.114,286.429,671.342,1.0,31.897,437.584,93.93,272.794,42.041,76.128,158.232,471.253,200.8,310.153,184.921,561.936,721.091,776.208,209.417,28.58,206.316,475.498,639.25,396.659,107.576,48.094,225.214,50.596,272.346,335.38,38.153778,10.999094,-21.051043,-7.773059
4838,10408,13873,176.1,115.901,378.448,37.623,14.105,110.568,112.446,157.47,149.336,23.045,78.96,54.28,2.114,225.122,97.193,214.496,57.644,36.014,77.034,80.879,70.069,63.945,12.505,114.549,8.813,113.419,90.448,198.663,206.885,208.663,11.02,10.193,7.129,157.393,230.471,16.159,4.513,115.229,10.965,231.266,9.13,144.897,27.465796,38.17275,14.13298,-15.593624
4839,21418,17997,173.68,164.84,175.207,60.004,48.379,22.484,52.205,278.834,259.327,75.258,91.211,41.985,2.114,102.508,155.309,37.254,123.558,33.826,109.771,154.533,75.074,135.012,300.125,189.101,60.159,201.566,132.659,393.121,206.885,336.688,61.12,40.837,12.236,114.837,343.606,19.191,6.856,32.062,14.702,5.723,6.081,102.453,14.105518,-36.384365,10.622452,1.0215511
4840,3572,5947,121.24,276.55,282.742,125.112,36.283,23.558,66.261,405.214,219.973,88.021,123.508,98.338,4.341,202.006,165.329,206.44,42.196,54.616,180.524,71.542,25.024,92.372,102.626,413.905,13.278,80.205,224.117,237.127,127.777,348.785,278.556,95.997,14.279,302.083,198.452,96.504,340.637,138.275,8.474,9.266,39.619,74.502,-17.171356,-30.865734,1.2781471,17.884275
4841,7456,18671,42.78,31.853,141.871,16.26,3.016,129.903,13.048,56.166,92.827,43.93,142.441,73.748,1.0,119.594,133.265,101.706,55.585,30.543,65.418,77.766,10.009,3.03,1.0,60.642,6.581,142.802,102.508,407.011,350.904,228.824,7.012,1.0,2.021,182.927,224.067,10.096,1.0,7.012,25.913,3.362,14.212,266.02,35.13221,50.242836,7.1052203,-11.41637
4842,17963,17502,157.62,205.268,192.412,55.935,74.589,2.074,31.121,225.675,31.273,75.258,75.619,41.985,2.114,119.594,74.146,41.282,27.777,11.942,72.81,7.224,26.025,176.637,499.541,103.079,9.93,26.55,115.573,139.898,101.407,182.453,34.066,140.431,8.15,58.45,84.25,8.58,100.549,15.028,1.0,47.053,4.049,42.409,14.16464,-55.071114,14.464152,7.0878444
