cell,x,y,area µm²,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7(Park7),CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5114,13151,6248,33.26,13.436,199.971,54.808,125.099,29.141,47.751,4.872,1.0,251.827,43.832,51.395,232.094,142.616,39.671,45.7,2.068,268.505,181.113,364.166,20.329,53.648,116.355,219.304,79.485,26.558,52.81,98.338,168.983,32.968,16.213,112.948,25.0,13.974,44.327,25.0,198.895,18.49,1.0,3.947,92.0,93.739,-99.09533,-7.6867676,-22.452108,7.4438844
5115,8025,5826,211.35,139.865,175.1,311.665,156.124,45.556,335.64,26.814,38.99,223.837,176.108,110.682,126.176,26.249,110.568,262.965,5.274,61.366,43.934,16.279,200.393,149.731,291.068,7.237,133.303,22.113,75.394,144.446,7.675,110.89,13.171,66.036,128.0,224.153,52.993,32.5,108.943,386.814,6.258,361.996,235.0,5.696,41.018814,-24.244957,12.273027,3.880758
5116,6623,14713,157.62,36.234,266.295,361.412,349.512,24.451,330.719,6.163,521.606,486.505,120.678,12.858,151.452,171.159,92.521,458.399,7.411,261.403,172.736,158.489,182.081,12.846,209.312,81.045,263.364,26.558,124.547,290.454,122.259,169.831,37.512,108.683,39.0,407.087,57.944,188.5,401.023,189.277,162.943,354.628,168.0,238.13,-0.023406982,2.5091896,3.2492585,-7.971048
5117,2004,9795,193.86,54.888,182.354,182.729,114.758,22.106,450.058,56.5,334.469,170.012,27.455,152.184,97.289,8.685,586.221,71.689,4.205,43.611,59.642,16.279,151.562,103.664,364.985,137.18,136.667,1.0,42.182,122.673,8.787,51.949,28.384,84.161,26.0,13.974,41.851,148.0,275.09,81.249,4.155,145.398,231.0,86.696,89.09753,8.812599,11.994825,19.151876
5118,7171,6810,48.89,1.0,183.39,29.427,204.73,36.176,108.036,3.581,1.0,517.724,31.235,92.896,520.961,657.486,6.156,51.938,2.068,174.996,146.557,414.704,13.208,3.632,148.834,136.14,35.758,1.0,6.314,271.242,403.715,43.957,212.971,27.654,19.0,4.892,124.792,5.5,461.344,2.029,1.0,14.261,65.0,586.783,-100.26718,-25.526009,-29.080727,6.327321
5119,8450,19348,291.65,152.301,99.449,353.29,257.472,36.176,251.98,10.035,41.804,230.296,41.313,119.576,134.601,25.152,83.498,391.868,6.342,53.081,12.519,17.454,87.471,86.553,216.031,1.0,115.364,217.691,7.642,482.569,25.474,141.859,12.156,4.199,21.0,106.09,5.952,31.0,246.517,79.192,1.0,96.774,60.0,2.174,33.97384,-21.92798,12.938192,-10.891934
5121,1134,13123,69.22,77.687,265.258,138.058,327.795,31.486,207.69,1.0,154.368,213.072,77.846,1.0,121.361,179.942,86.076,91.44,2.068,688.7,90.009,266.616,98.662,11.53,62.598,182.92,238.697,68.785,88.678,184.15,184.558,173.827,27.37,133.205,33.0,25.651,103.747,355.0,702.628,64.788,11.516,87.934,258.0,99.609,-79.38611,-12.35413,-22.146448,1.8063419
5122,7206,11578,190.03,5.145,238.314,253.796,248.165,52.592,116.648,15.198,33.362,504.806,110.6,1.0,134.601,328.145,59.006,519.732,2.068,382.135,252.321,145.561,368.249,8.897,203.712,93.519,127.697,61.007,47.496,166.219,187.895,325.675,39.54,50.044,164.0,182.636,51.755,44.5,501.558,24.663,5.206,64.358,34.0,179.435,19.421352,22.850857,-13.9953165,3.407644
5125,7327,1497,121.38,38.307,101.522,43.64,121.997,1.0,45.291,99.093,9.442,358.401,270.591,84.003,88.864,17.467,69.319,81.045,4.205,229.444,12.519,13.928,88.489,74.708,16.679,1.0,242.061,124.347,28.898,52.231,8.787,78.922,25.341,22.323,23.0,488.823,36.9,134.5,61.321,119.316,8.361,1.0,1.0,4.522,65.20175,12.558735,3.1524668,14.577164
5126,5178,5725,46.05,9.29,188.572,30.442,102.348,101.838,176.932,3.581,34.769,290.581,48.871,21.751,299.496,352.297,200.8,23.87,3.137,681.598,247.085,415.879,71.195,15.478,144.354,161.089,40.242,79.898,16.941,95.777,363.666,44.956,134.876,36.184,14.0,4.892,46.803,46.0,516.374,9.231,29.393,104.142,39.0,296.826,-89.658615,-17.402523,-24.599487,3.0974188
