cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5051,9204,16395,41.5,15.027,1.0,316.827,182.502,71.838,149.985,16.319,9.597,94.15,101.594,278.382,2.489,2.97,572.019,11.111,13.557,5.569,23.744,55.073,19.235,34.374,194.605,24.481,198.255,62.391,64.45,55.7,204.324,1.0,13.606,47.007,1.0,26.739,100.9,1.0,1.0,13.911,1.0,131.654,312.215,1.0,3.8495579,-20.949533,-0.92164683,-4.099505
5053,15631,7063,89.68,41.521,2.516,151.074,331.541,142.676,424.012,134.492,78.375,160.3,129.344,702.426,5.466,48.29,301.835,110.202,26.115,69.529,69.233,102.387,120.828,138.947,455.694,21.279,177.575,161.454,153.55,81.611,253.122,4.653,101.845,191.599,9.348,75.0,129.903,6.477,19.081,21.981,2.059,71.352,525.916,46.23,-25.917847,9.657808,-7.079199,9.182917
5054,6623,11742,102.9,145.941,2.516,110.756,467.298,44.593,382.775,182.636,13.036,261.55,70.375,374.031,3.978,1.0,332.486,247.717,45.648,81.712,83.229,90.221,46.587,138.947,338.425,63.971,505.272,158.663,207.55,100.324,227.368,2.826,117.603,158.737,9.348,181.174,133.126,6.477,68.805,26.822,35.96,57.282,518.654,103.26,12.6076765,18.862514,7.8288317,6.4594164
5055,9147,515,174.68,250.36,2.516,7.72,393.517,59.124,340.208,208.897,160.909,245.35,196.984,622.718,9.933,32.527,295.024,189.071,174.011,2.523,219.695,210.533,195.069,125.597,550.837,157.894,91.674,328.884,154.9,32.669,202.969,48.484,199.539,173.525,20.479,268.043,168.574,105.062,136.611,26.822,181.095,97.483,311.178,126.858,-46.388298,55.86882,-18.486149,12.822307
5058,3245,4962,251.99,46.197,5.548,86.117,328.589,73.655,139.344,231.875,116.203,223.75,96.391,582.333,3.978,24.645,197.394,116.269,66.577,8.614,67.483,92.924,66.124,136.722,238.857,88.519,282.565,150.292,222.4,57.14,143.327,13.784,202.691,68.367,14.914,264.826,146.016,61.247,37.163,21.981,12.653,65.322,319.477,61.963,-14.059677,3.7789154,-3.647219,4.917624
5061,16666,3120,219.02,188.02,4.032,348.186,445.164,324.313,160.627,132.303,45.706,200.8,89.453,656.727,5.466,48.29,301.835,318.496,66.577,48.209,100.725,92.924,90.871,194.57,468.97,52.231,378.011,232.612,237.25,117.598,285.654,19.263,199.539,137.377,17.696,184.391,144.405,15.24,48.464,26.822,10.534,131.654,638.991,177.988,-30.926796,21.316229,-6.994646,13.522054
5063,6037,8056,231.53,117.888,4.032,18.919,122.001,44.593,313.603,191.39,93.85,140.05,39.156,249.687,3.978,40.408,290.483,39.423,150.292,4.046,51.737,157.812,28.352,132.272,7.638,106.663,7.363,81.925,42.85,52.821,21.332,10.132,95.543,84.798,20.479,184.391,26.781,20.717,80.106,13.911,89.988,37.181,19.673,91.461,76.274086,-20.869354,0.68523484,-18.931957
5064,4651,3039,153.07,77.367,2.516,173.473,567.641,129.962,249.752,9.754,43.986,287.2,70.375,552.576,6.955,28.586,155.391,116.269,37.277,29.934,69.233,79.406,59.611,114.472,551.944,225.135,778.884,174.011,316.9,87.369,227.368,8.305,98.694,48.65,56.655,380.652,150.85,18.526,16.821,26.822,4.178,83.412,445.0,54.096,1.7447968,30.736732,7.841251,13.009439
5065,6158,11825,71.63,122.563,2.516,209.312,327.114,28.245,102.097,106.043,105.886,218.35,61.703,365.529,3.978,4.941,379.031,150.648,26.115,8.614,62.235,82.11,50.494,118.922,149.246,51.163,333.47,114.015,82.0,68.656,175.859,1.0,79.785,111.087,6.565,68.565,113.79,3.191,37.163,28.436,14.772,161.805,409.729,44.264,14.497307,-3.7049446,4.371107,-2.028882
5067,16675,10529,214.9,127.239,2.516,227.231,335.968,233.495,94.116,120.267,30.231,217.0,59.969,462.24,5.466,20.704,349.515,330.63,169.825,32.98,98.975,102.387,79.149,136.722,190.179,92.788,610.263,254.936,160.3,107.522,285.654,2.826,127.057,94.656,3.783,461.087,150.85,19.622,52.984,44.575,32.782,19.091,431.514,160.289,22.696465,27.190758,14.652355,2.4687061
5068,8390,3361,91.82,102.303,2.516,148.834,307.931,91.818,268.375,181.542,200.456,168.4,84.25,495.186,5.466,14.793,340.433,94.024,16.348,23.843,60.485,63.184,43.982,161.196,376.04,21.279,222.116,146.106,210.25,48.503,174.503,8.305,54.574,171.882,6.565,52.478,105.734,6.477,14.561,20.367,9.475,107.533,437.738,105.226,-8.069046,-7.861391,-4.594354,2.5559773
5069,7039,17306,154.78,8.793,1.0,146.594,234.149,20.98,128.702,23.978,176.384,76.6,125.875,423.981,2.489,2.97,140.633,25.267,7.976,7.091,30.743,56.425,34.864,41.049,400.379,115.202,168.03,56.81,149.5,48.503,98.596,1.0,35.666,55.222,1.0,190.826,60.618,2.095,7.781,7.456,1.0,55.272,231.299,2.967,-5.6462364,-22.412241,-4.0503273,-1.8299936
5070,6762,8136,245.17,116.329,4.032,151.074,402.371,117.247,203.194,174.977,129.959,226.45,66.906,449.487,3.978,24.645,239.398,191.093,94.482,11.66,58.736,102.387,42.679,136.722,263.196,114.135,308.018,130.758,211.6,54.261,160.948,2.826,108.148,196.528,12.131,358.13,115.402,22.908,66.545,25.208,21.128,53.262,370.308,138.657,23.44425,3.8772354,-3.3407857,5.7423644
5071,13189,18463,228.12,21.261,1.0,45.798,36.415,28.245,128.702,193.578,38.828,115.75,65.172,89.21,5.466,2.97,374.49,114.247,172.616,1.0,60.485,207.829,42.679,52.174,95.037,27.683,10.545,114.015,38.8,35.548,148.749,8.305,64.028,211.316,1.0,52.478,112.179,9.763,50.724,10.683,81.513,25.121,100.589,2.967,68.303,-21.678219,2.8097935,-16.676414
5072,8111,15073,201.11,21.261,1.0,216.031,448.115,53.675,345.529,8.659,33.67,227.8,63.438,368.717,6.955,10.852,163.338,19.2,21.929,125.875,81.48,80.758,58.309,152.296,431.355,88.519,718.435,144.711,208.9,124.795,253.122,6.479,127.057,66.724,435.106,181.174,78.342,10.859,86.887,10.683,4.178,75.372,315.327,81.628,7.449498,15.309509,15.251189,8.711765
5073,3452,6077,92.1,142.824,4.032,1.0,102.818,17.347,275.027,664.082,2.719,323.65,49.563,362.34,6.955,24.645,522.069,106.158,439.109,1.0,76.231,390.326,29.654,103.347,41.934,18.077,7.363,133.549,63.1,140.63,124.35,39.353,111.3,127.518,48.306,44.435,34.837,18.526,109.489,13.911,650.403,1.0,2.037,113.093,-66.89388,-69.24757,2.333102,-31.02329
5074,16744,4452,141.7,33.729,2.516,160.034,414.176,287.985,159.297,45.862,13.036,234.55,68.641,704.551,8.444,36.467,251.885,312.429,80.529,28.412,112.972,83.461,93.476,210.145,487.777,95.99,249.159,165.64,198.1,94.566,297.853,37.527,108.148,178.454,14.914,343.652,112.179,19.622,32.643,26.822,12.653,153.765,665.963,223.219,-31.116371,21.837568,-6.0363865,13.052146
5075,11053,18888,216.46,22.819,1.0,117.475,226.771,10.082,410.71,50.239,33.67,199.45,79.047,437.797,2.489,1.0,746.844,39.423,169.825,11.66,41.24,51.018,36.167,43.274,481.14,58.635,363.694,95.877,265.6,83.05,268.033,10.132,29.363,183.383,176.312,140.957,42.894,1.0,7.781,23.595,5.238,77.382,541.477,1.0,8.657394,-17.137478,1.3383079,-4.582975
5077,8051,8534,119.53,71.133,2.516,97.316,365.48,71.838,276.357,102.76,45.706,234.55,47.828,510.065,5.466,8.882,90.683,138.514,196.335,61.915,63.984,67.24,46.587,150.071,372.721,244.346,529.134,192.149,364.15,106.082,186.703,2.826,133.36,109.444,9.348,790.87,73.508,5.382,46.204,20.367,7.356,13.06,353.71,83.594,-1.5572128,33.614624,7.187245,15.192593
5078,4907,3674,181.36,105.42,2.516,112.996,381.712,122.696,128.702,1.0,258.917,202.15,106.797,467.554,5.466,109.373,174.69,57.623,12.162,10.137,63.984,60.48,72.636,138.947,346.169,88.519,483.002,147.501,239.95,74.414,182.636,110.58,89.24,71.653,14.914,158.652,115.402,16.336,21.342,81.695,2.059,117.584,399.355,63.929,0.40460587,5.7913017,3.6152942,4.8662357
5079,6035,1557,79.02,25.936,4.032,146.594,473.201,175.371,183.241,44.768,30.231,207.55,44.359,449.487,5.466,36.467,148.58,118.291,26.115,17.752,63.984,72.647,62.216,89.998,358.339,86.385,346.196,123.782,260.2,58.579,231.434,8.305,38.817,66.724,17.696,186.0,133.126,20.717,25.862,26.822,2.059,131.654,426.327,65.896,-2.7375183,10.489157,3.9630172,6.467257
5080,9775,12510,151.08,114.771,2.516,3.24,37.891,8.265,565.016,318.317,62.9,46.9,53.031,199.737,3.978,4.941,163.338,27.289,129.363,8.614,65.734,138.886,43.982,143.396,1.0,192.048,23.271,115.411,34.75,13.955,61.997,10.132,111.3,111.087,12.131,379.043,30.003,22.908,107.229,4.228,69.86,5.02,4.112,117.026,87.86435,-21.951218,0.05285505,-22.434864
5081,2977,16219,227.83,19.702,1.0,106.276,234.149,13.715,380.115,216.556,111.045,152.2,47.828,662.04,3.978,4.941,309.782,17.178,76.344,32.98,37.741,102.387,29.654,65.523,523.179,97.058,144.169,146.106,233.2,60.019,74.197,2.826,45.12,122.589,6.565,189.217,91.232,2.095,21.342,10.683,6.297,137.684,328.813,4.933,-9.851093,-42.409496,-10.587133,-2.7686646
5082,5224,6236,189.32,63.34,4.032,88.357,465.823,91.818,233.79,179.354,80.095,296.65,87.719,626.969,3.978,22.675,239.398,146.603,93.087,23.843,65.734,88.869,37.469,127.822,358.339,134.413,524.361,127.968,279.1,70.095,215.168,10.132,136.511,86.441,20.479,676.652,131.515,11.954,23.602,23.595,14.772,93.463,460.561,95.394,-3.25885,33.157124,6.4694695,14.675958
5083,5409,11520,75.19,206.722,1.0,70.437,409.749,30.062,112.739,368.65,23.353,322.3,380.828,608.902,36.732,4.941,419.899,134.47,51.229,7.091,161.96,198.367,103.896,212.37,345.063,67.173,570.494,227.031,237.25,113.28,296.498,30.221,196.388,165.309,17.696,47.652,224.969,96.299,77.846,454.504,60.326,149.744,662.85,128.825,28.91499,4.777416,14.444037,-4.000397
5084,14140,11552,310.13,181.786,4.032,171.233,321.211,162.656,95.446,209.991,13.036,163.0,59.969,189.11,3.978,36.467,365.408,247.717,243.774,5.569,81.48,201.07,59.611,141.171,178.01,54.365,230.07,204.707,92.8,68.656,255.833,6.479,123.905,191.599,20.479,153.826,157.295,20.717,132.09,26.822,28.544,13.06,155.57,170.122,58.274323,-16.325993,4.281716,-13.500304
5086,7566,6706,152.79,69.574,5.548,437.783,455.493,235.311,94.116,45.862,21.633,242.65,77.312,321.955,5.466,26.615,237.127,245.694,30.3,36.026,77.981,64.536,49.192,105.572,239.963,66.106,422.553,112.62,106.3,97.445,270.744,6.479,101.845,24.003,51.089,226.217,178.242,21.812,30.382,36.506,31.722,292.459,425.29,122.925,16.074701,13.093346,9.902995,4.007936
5087,2849,604,160.89,35.287,2.516,14.439,321.211,48.225,91.455,5.377,315.659,361.45,54.766,673.731,3.978,158.633,172.419,5.045,37.277,8.614,58.736,91.572,41.377,67.748,395.953,316.923,284.156,189.359,225.1,26.911,127.061,55.79,23.06,134.09,12.131,219.783,91.232,2.095,10.041,113.973,1.0,11.05,399.355,10.833,-12.483505,2.5432568,-2.3709102,3.8636835
