class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,E3,Vimentin,CD163,P2Ry12,a-BetaPSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000109,26600,1121,806.08,210.78,0.23,0.79,136.548,34.783,35.198,4.313,352.554,106.049,138.207,84.428,110.969,118.139,81.011,24.936,96.468,262.372,165.835,126.385,60.886,23.029,40.553,62.93,402.411,62.97,41.291,74.76,18.858,178.258,102.055,230.552,45.758,167.288,185.804,52.617,30.311,100.02,57.623,18.927,37.902,53.453,84.705,118.837,15.962,2.167,70.2,36.127,118.601,110.397,64.228,64.837,42.924,11.217379,28.548313,23.005043,-0.031459678
diffuse,1000110,17374,1147,1964.44,338.66,0.22,0.85,8.471,18.696,1.0,1.0,516.613,30.867,63.367,3.139,124.219,28.627,87.87,4.779,1.0,269.604,148.352,5.078,1.0,1.0,22.472,20.29,176.051,1.0,1.0,22.999,13.606,9.197,28.429,375.465,6.371,230.757,1.0,41.863,7.106,9.802,41.445,216.119,1.0,4.576,42.852,336.182,3.302,5.668,136.884,15.051,1.0,189.74,32.614,79.397,10.583,54.66823,-2.900631,4.770161,-2.32961
diffuse,1000111,18480,1106,240.98,103.61,0.28,0.74,9.538,25.13,1.0,1.0,343.765,25.718,143.876,20.253,377.281,35.258,54.722,18.637,1.0,321.259,213.287,5.078,2.361,1.0,71.066,3.03,399.393,73.655,2.033,30.763,72.432,5.098,26.986,272.872,1.0,394.507,1.0,68.747,10.77,12.002,61.668,260.121,1.0,5.768,50.131,622.92,2.151,36.012,227.474,20.671,11.911,313.563,219.136,167.873,14.176,75.035706,-10.859369,1.1948644,-9.357247
diffuse,1000112,10737,1159,3147.23,390.59,0.26,0.85,14.875,15.478,1.0,1.0,838.871,85.452,114.394,9.557,195.765,50.729,97.014,3.52,10.092,280.968,350.65,8.136,5.083,2.101,30.382,13.183,299.795,4.205,3.066,39.821,30.413,14.32,37.091,562.697,4.581,298.034,1.0,152.624,26.647,12.002,85.935,203.082,1.0,8.153,50.131,283.81,5.604,1.0,209.859,17.861,2.212,110.397,35.775,84.997,12.978,54.67332,6.5511913,7.448719,8.2757015
diffuse,1000113,19227,1204,2342.57,401.66,0.18,0.81,12.74,107.174,1.0,1.0,516.613,46.315,156.35,15.974,165.292,56.254,68.438,11.078,3.273,236.545,250.75,8.136,3.722,1.0,64.285,11.152,185.106,2.068,3.066,25.587,51.423,13.295,48.64,283.131,17.113,544.294,13.672,159.076,24.204,12.002,150.648,194.933,1.0,5.768,53.77,172.519,6.755,132.877,162.048,27.696,8.274,237.827,69.497,168.993,11.781,65.476,-15.212416,2.6353006,-6.340491
diffuse,1000114,23961,1160,316.88,103.43,0.37,0.71,9.538,18.696,1.0,1.0,405.287,1.0,1.0,6.348,8.95,39.678,1.0,1.0,1.0,234.479,325.675,8.136,1.0,1.0,8.911,95.418,19.109,1.0,3.066,2.294,3.101,12.271,41.422,357.511,1.0,69.546,1.0,42.939,1.0,10.902,158.737,10.778,1.0,3.384,37.393,176.447,4.453,2.167,32.455,15.051,1.0,216.188,1.0,73.797,8.187,27.726212,25.590984,16.01803,2.3785827
diffuse,1000115,27250,1170,193.22,81.2,0.37,0.79,212.327,29.957,117.066,14.254,176.777,111.199,184.698,90.846,2.325,102.668,66.152,60.209,118.061,50.588,93.407,197.742,67.691,54.97,24.732,68.006,317.903,62.97,45.423,74.76,4.151,190.554,57.302,163.866,47.548,40.351,187.916,9.603,32.753,160.532,29.312,1.0,95.892,97.562,101.082,49.444,18.264,1.0,4.775,40.342,163.459,37.065,46.313,28.999,59.694,11.365931,27.501614,19.80544,-2.601505
diffuse,1000116,25840,1176,200.62,67.83,0.55,0.85,6.337,7.435,1.0,1.0,417.006,44.256,5.536,7.418,120.244,57.36,1.0,1.0,1.0,226.214,158.342,2.019,1.0,1.0,17.951,24.351,179.069,1.0,6.165,17.823,25.161,6.123,22.655,397.266,1.0,60.661,1.0,13.904,1.0,4.301,17.178,4.259,1.0,3.384,24.656,91.342,3.302,1.0,92.848,9.43,2.212,100.78,17.861,49.158,5.791,30.768692,26.169395,14.623276,0.29896322
diffuse,1000117,27173,1202,283.55,106.67,0.31,0.73,187.779,25.13,39.343,80.522,150.411,99.87,37.286,87.637,8.95,104.878,28.432,12.338,65.782,79.515,115.885,164.102,63.608,18.623,25.862,66.991,317.903,68.312,40.257,81.231,16.757,173.135,71.738,212.598,4.581,35.273,105.547,3.151,32.753,150.63,29.312,1.0,57.672,103.523,84.705,50.754,14.811,1.0,14.84,45.962,123.45,41.874,9.43,18.919,72.871,12.010822,26.595121,19.365194,-2.8452482
diffuse,1000118,12368,1215,327.89,145.83,0.19,0.71,11.673,2.609,1.0,1.0,636.727,71.033,167.689,4.209,190.466,62.885,99.3,2.26,3.273,231.38,233.267,5.078,2.361,1.0,21.342,12.168,423.538,1.0,2.033,37.233,38.817,9.197,25.542,461.386,6.371,56.853,1.0,123.59,21.762,9.802,25.267,111.819,1.0,3.384,33.754,273.336,2.151,1.0,190.986,19.266,1.0,8.213,52.636,71.557,5.791,52.777008,17.387646,7.413423,6.276164
diffuse,1000119,18998,1203,210.64,99.18,0.27,0.72,9.538,36.391,1.0,1.0,223.651,15.419,36.152,5.278,87.121,13.156,31.862,1.0,3.273,261.339,190.81,3.039,1.0,2.101,36.033,32.473,200.196,2.068,1.0,24.293,28.312,6.123,37.091,225.422,1.0,681.386,3.112,34.336,8.328,12.002,118.291,203.082,1.0,10.537,50.131,367.606,2.151,17.339,102.913,20.671,1.0,210.177,51.582,92.836,11.781,77.86896,-8.566505,4.582451,-9.692692
diffuse,1000120,26778,1253,232.1,93.41,0.33,0.7,283.837,34.783,161.628,155.075,9.789,147.245,318.503,132.56,11.599,134.716,107.301,132.016,177.16,172.493,93.407,241.576,82.662,128.766,63.155,82.22,390.338,102.503,56.787,192.518,28.312,254.08,182.899,47.167,70.823,228.219,269.23,35.411,51.072,322.264,195.138,1.0,306.763,257.307,168.41,33.733,21.717,1.0,67.684,161.177,207.104,1.0,56.851,15.559,186.665,9.036055,29.28743,23.32067,-0.14492798
diffuse,1000121,15817,1268,692.03,262.72,0.13,0.63,8.471,63.739,2.036,1.0,572.276,49.405,76.974,6.348,173.241,40.783,98.157,2.26,1.0,237.578,240.76,5.078,2.361,1.0,20.212,7.091,284.704,1.0,3.066,25.587,16.757,7.148,32.76,417.784,6.371,53.044,1.0,71.973,14.434,13.102,41.445,207.971,1.0,6.961,57.41,359.75,3.302,106.035,178.404,23.481,1.0,273.892,33.668,65.957,11.781,48.2568,7.867321,4.9880366,4.159791
diffuse,1000122,26395,1327,3961.06,685.32,0.11,0.76,51.163,28.348,13.436,4.313,299.821,88.541,96.251,30.949,137.468,93.827,31.862,12.338,36.232,258.24,168.333,44.834,18.693,9.811,29.252,35.518,254.523,22.369,25.794,32.057,12.555,70.674,61.633,363.923,11.742,270.108,53.801,89.179,16.877,37.307,65.713,14.038,16.815,17.69,50.131,112.291,9.056,2.167,121.786,29.101,28.885,73.13,32.614,56.998,15.374,44.769882,-16.319815,15.108328,9.577237
diffuse,1000123,23850,1252,194.43,73.07,0.46,0.83,9.538,21.913,1.0,1.0,293.962,1.0,1.0,5.278,3.65,36.363,1.0,1.0,1.0,248.942,418.082,7.116,1.0,1.0,10.041,1.0,133.798,1.0,5.132,1.0,3.101,7.148,35.647,561.415,1.0,73.355,1.0,1.0,1.0,9.802,33.356,41.742,1.0,5.768,33.754,232.747,3.302,5.668,55.102,19.266,1.0,216.188,1.0,78.277,5.791,30.803356,10.75322,9.442748,-0.29657844
diffuse,1000124,24979,1272,565.82,124.25,0.46,0.86,8.471,39.609,1.0,1.0,701.179,17.478,58.831,21.322,148.068,41.888,30.719,2.26,1.0,238.611,158.342,6.097,7.805,1.0,37.163,12.168,76.453,2.068,7.199,16.528,34.615,13.295,32.76,408.807,2.79,358.964,1.0,71.973,1.0,8.702,77.846,111.819,1.0,3.384,48.311,197.396,7.906,2.167,133.11,22.076,27.672,239.029,34.722,73.797,8.187,64.54888,-5.8419952,3.7895565,-3.9323473
diffuse,1000125,26527,1271,250.86,108.85,0.27,0.73,170.702,29.957,73.541,27.507,197.284,105.02,281.083,90.846,157.342,121.455,77.582,67.768,114.652,307.828,203.297,163.083,51.358,53.869,40.553,49.732,384.302,54.422,41.291,77.348,16.757,186.455,161.244,319.039,42.177,44.159,177.356,150.474,29.089,141.828,25.267,9.148,120.933,70.143,95.623,93.961,15.962,8.002,138.142,60.013,124.663,20.235,64.228,61.478,46.518,9.366932,27.870983,3.2898405,9.6382265
diffuse,1000126,26034,1374,3196.91,514.83,0.15,0.75,10.606,23.522,1.0,1.0,361.343,17.478,18.009,12.766,84.471,65.095,3.286,1.0,1.0,238.611,163.338,6.097,2.361,1.0,22.472,9.122,136.816,1.0,11.331,13.94,6.252,10.222,31.316,356.228,1.0,347.54,1.0,42.939,1.0,9.802,61.668,38.483,1.0,4.576,35.574,128.003,5.604,1.0,95.364,17.861,1.0,68.321,10.484,49.158,9.385,48.61699,-12.850922,14.875767,8.31305
diffuse,1000127,17912,1343,1389.31,331.78,0.16,0.74,9.538,44.435,2.036,1.0,475.598,24.688,90.581,8.487,177.216,24.207,87.87,2.26,2.137,253.074,163.338,7.116,1.0,1.0,32.643,10.137,163.979,5.274,2.033,29.469,35.666,11.246,34.204,383.159,1.0,374.197,5.224,73.048,10.77,17.503,77.846,194.933,2.318,8.153,66.508,367.606,4.453,66.355,165.822,24.886,16.761,263.072,71.604,107.396,15.374,64.10823,-13.924438,3.9024909,-5.7602596
