cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3294,11669,4851,356.18,126.134,9.148,51.649,59.982,43.577,3.21,90.358,5.62,127.31,255.381,6.385,126.004,39.98,24.323,6.954,1.0,27.333,116.856,88.214,69.647,1.0,56.36,119.052,272.227,131.788,43.753,83.917,2.093,96.387,5.541,32.317,29.274,31.787,68.405,271.934,360.727,174.919,31.961,36.109,142.554,468.989,48.897,140.18,11.765,9.575,458.649,108.036,4.119,119.254,-2.9693222,13.8358,-7.8718038,10.335338
3295,21258,8781,171.27,68.22,48.261,93.565,189.004,39.423,659.633,51.201,20.634,296.107,394.92,9.078,40.257,164.716,135.755,192.703,1.0,129.372,217.467,153.908,33.517,1.0,16.098,197.753,437.909,213.879,377.228,390.61,156.206,36.898,256.426,288.069,199.962,98.671,185.106,174.933,202.534,129.369,58.793,76.537,139.073,398.966,10.123,53.579,14.995,228.24,178.189,9.649,1.0,279.39,-48.722122,7.8217907,15.706565,-25.523062
3296,13101,5614,427.67,50.64,10.778,104.044,77.185,43.577,7.631,18.068,25.253,162.907,298.601,6.385,172.493,3.227,21.732,1.0,1.0,9.229,183.93,99.541,1.0,1.0,53.844,235.835,277.136,201.357,53.729,74.926,2.093,66.643,32.786,94.95,38.698,248.361,61.363,219.531,271.879,93.136,21.64,52.067,122.829,158.553,1.0,181.418,1.0,6.717,404.296,37.76,3.079,3.464,14.709568,23.44978,-14.947197,7.7186537
3297,2593,10296,371.95,164.398,30.334,79.593,158.284,65.385,84.987,215.86,111.872,247.879,496.178,9.078,97.078,155.806,76.152,62.917,12.773,117.852,152.425,102.939,134.682,5.723,219.924,233.296,360.591,173.529,65.13,214.786,62.208,31.77,220.099,107.476,173.783,45.589,51.302,302.038,509.168,83.819,32.993,60.578,180.843,400.133,135.568,81.415,193.695,42.446,382.555,126.416,113.271,143.89,52.654694,-11.83065,-2.7704344,1.0498114
3298,10913,16688,44.06,9.273,4.259,62.128,235.697,1.0,98.248,57.225,9.084,141.09,415.912,6.385,1.0,14.365,105.953,39.103,6.045,73.415,24.374,75.755,288.235,2.181,63.909,115.244,131.091,145.702,40.903,172.828,22.86,1.0,158.797,80.335,162.264,37.096,91.544,41.138,190.615,25.846,12.352,18.022,17.244,117.706,149.253,1.0,31.142,62.455,570.615,5.325,5.158,76.141,4.9164677,-42.304874,4.8780355,-13.499787
3299,23485,13821,270.47,5.137,5.889,77.846,112.819,88.231,3.21,79.314,50.661,176.686,628.308,9.078,60.919,70.05,1.0,29.577,1.0,15.812,247.955,148.245,15.452,47.053,6.033,225.68,369.182,80.308,42.328,177.823,3.186,56.386,58.897,79.292,42.887,28.603,120.719,166.013,240.457,188.377,12.352,45.684,133.272,282.261,7.842,47.393,2.077,6.717,215.149,65.87,1.0,162.367,0.47432327,-13.167767,-10.933724,-0.09904242
3300,13870,11328,144.69,107.519,18.927,81.339,159.513,4.115,204.336,102.406,401.755,239.841,208.456,10.425,145.633,23.274,29.506,17.67,2.682,22.395,169.702,74.622,44.356,2.181,31.196,158.403,259.955,169.355,130.685,208.792,19.581,125.106,144.039,132.53,64.877,53.02,98.586,51.173,180.863,91.065,35.057,27.597,172.721,33.678,14.685,536.068,8.536,12.433,534.742,18.299,5.158,164.831,28.216675,15.971441,-20.59286,-1.373392
3301,11175,10619,52.87,92.006,12.408,46.409,55.066,33.192,312.635,82.326,14.859,199.652,93.614,9.078,185.923,80.074,103.362,24.814,4.364,28.979,101.611,80.286,1.0,1.0,260.186,164.75,302.909,53.872,22.377,116.884,8.651,87.156,156.526,73.028,33.462,44.527,118.707,254.095,181.947,99.347,37.121,18.022,195.927,27.842,1.0,436.065,72.05,6.717,563.005,37.76,2.04,37.954,46.538612,19.919659,-32.38471,7.1962547
3302,16754,1013,556.15,24.786,4.259,21.958,45.236,25.923,60.675,9.032,181.166,80.231,238.093,9.078,293.365,26.615,25.619,12.907,1.0,10.875,149.376,38.378,2.807,1.0,116.753,68.277,43.955,130.397,38.053,92.908,3.186,147.67,50.95,102.257,2.047,50.897,26.151,293.118,245.874,58.973,15.448,42.492,192.446,521.507,7.842,221.625,4.23,9.575,309.723,17.218,5.158,37.954,-14.414787,10.5692215,-2.8156085,20.077682
3303,933,16540,261.09,3.068,4.259,88.325,51.38,68.5,133.611,56.221,43.732,162.907,8.409,10.425,58.853,96.779,69.673,53.391,12.773,1.0,430.885,72.357,1.0,3.362,58.877,153.325,188.773,233.358,73.68,88.912,29.418,25.616,129.281,102.257,85.821,30.726,28.163,124.76,196.033,56.903,7.192,26.534,154.157,1.0,1.0,199.975,84.968,1.0,484.738,96.143,11.395,52.736,40.397484,34.930313,-28.143818,0.26464182
