cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
3654,10587,140,110.29,11.299,2.056,59.765,158.298,94.559,147.586,7.29,24.233,149.486,44.62,14.811,7.179,25.339,140.42,63.504,516.274,19.32,35.068,250.121,84.755,448.891,137.443,268.106,7.59,48.982,113.133,349.538,429.46,40.394,92.48,437.272,70.006,1.0,114.113,23.222,179.393,4.168,1.0,107.202,400.168,523.942,15.831226,26.61023,7.130105,18.634115
3655,18027,10399,160.89,74.564,182.636,243.676,276.011,183.959,168.527,303.95,361.61,467.671,186.118,294.485,435.616,87.292,468.528,246.777,317.525,189.592,388.776,68.942,393.536,50.766,354.565,481.085,109.071,283.968,215.071,399.329,408.37,282.821,70.649,169.186,426.716,242.744,371.371,381.812,215.071,165.74,91.671,337.112,516.683,284.711,28.377392,-35.593533,19.27287,8.089155
3656,5514,10666,164.87,671.904,35.849,243.676,666.653,56.096,2.232,295.563,165.648,290.902,127.604,65.452,220.368,57.422,204.364,296.568,474.211,323.223,145.289,1.0,196.764,229.554,155.24,102.194,435.921,45.291,630.982,319.875,58.72,186.86,5.158,11.116,114.595,1.0,179.178,197.972,21.388,714.873,1.0,222.741,128.302,544.379,-78.61023,-30.330875,-0.6641104,-21.392143
3657,8388,12629,235.93,9.828,15.784,64.118,152.048,22.83,8.391,107.923,161.608,151.507,53.131,2.151,209.039,35.296,210.654,205.461,138.757,19.32,180.359,8.549,64.573,30.491,48.458,248.102,11.544,103.115,105.997,134.483,204.13,111.102,65.452,52.847,59.39,215.883,137.136,147.466,21.388,20.008,41.478,153.884,159.589,206.57,-27.882294,-48.540882,-10.954366,-6.567283
3658,2507,1682,56.99,8.356,5.224,53.235,108.296,3.079,23.173,26.158,38.374,82.819,33.981,5.604,49.405,48.571,264.115,55.029,244.966,26.864,110.219,318.063,122.091,98.688,48.458,398.717,4.954,8.382,160.024,287.034,542.68,125.244,72.728,179.303,148.567,218.982,120.119,31.303,11.194,27.401,112.72,127.042,108.883,260.668,-9.59285,-8.940464,-5.832775,5.982388
3659,13507,9494,248.3,8.356,12.616,209.941,199.967,16.593,23.173,206.461,188.881,235.346,122.284,72.357,233.757,47.465,278.791,254.193,297.545,85.058,198.395,31.196,168.509,303.28,104.222,288.11,110.389,20.685,295.603,282.796,379.51,141.405,68.57,222.297,290.827,82.614,127.126,136.355,44.834,101.322,15.572,152.717,378.592,368.863,-34.505337,-22.916965,3.4930267,-3.646427
3661,20136,4187,185.34,18.655,15.784,119.618,260.386,144.457,329.894,135.178,145.446,409.085,99.942,13.66,326.447,71.804,338.542,239.362,431.096,32.252,224.447,199.793,269.418,384.38,184.901,276.343,45.81,104.345,89.687,645.106,340.66,137.365,156.931,580.167,95.486,49.555,275.275,241.406,71.338,26.345,59.288,331.277,380.749,584.051,39.12975,-35.64818,16.929033,11.433786
3662,10619,9294,308.7,3.943,10.504,47.794,204.133,375.235,55.2,54.462,148.476,197.972,19.086,5.604,159.604,129.332,184.447,223.471,190.284,21.476,117.233,1.0,161.445,71.041,54.391,242.219,39.22,68.666,207.936,173.68,215.23,26.253,117.429,46.524,51.959,182.824,60.059,126.254,65.221,45.353,12.334,86.195,108.883,407.332,-30.858337,-38.438873,-9.802164,-12.249051
3663,17599,12400,69.5,8.356,7.336,119.618,224.968,91.44,118.022,45.027,120.193,476.762,35.045,2.151,199.77,62.953,99.537,205.461,99.848,10.699,83.164,11.065,54.482,63.668,116.087,343.413,8.908,76.048,127.404,247.837,94.24,52.516,16.593,75.609,395.929,4.099,127.126,125.244,21.388,90.762,31.763,208.736,64.651,130.834,89.81662,37.85331,-27.022009,-7.852654
3664,294,8256,252.42,8.356,14.728,46.706,147.881,3.079,1.0,43.979,98.981,153.527,45.684,6.755,96.78,36.402,222.185,142.958,230.244,23.631,106.211,214.892,136.218,87.629,141.002,284.58,29.995,20.685,112.113,255.252,561.55,97.971,14.514,45.259,219.697,182.824,136.135,94.94,22.407,23.177,120.815,122.374,232.949,277.498,-16.132113,-10.679495,-4.547598,4.393746
