cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7209,19043,9463,161.32,204.992,33.687,232.039,79.701,242.624,49.584,31.657,104.978,9.197,101.204,75.447,8.96,50.283,11.31,22.695,21.257,186.256,4.128,279.304,38.133,71.056,164.77,41.581,4.62,110.353,37.327,386.69,9.86,2.257,20.875,9.93,7.307,39.567,23.477,36.726,32.831,23.584,305.043,476.779,16.742,71.669,54.963,31.0,77.614,6.897,4.534,13.22,103.977,34.952,57.243404,23.448864,-2.9317532,-21.5598
7210,10788,14866,87.98,369.862,199.166,1.0,88.587,231.789,6.061,3.114,3.039,6.123,191.286,745.471,495.857,15.374,35.022,15.463,89.492,2.731,548.469,68.565,44.122,390.512,693.954,382.935,8.239,260.481,182.636,7.323,49.732,83.936,6.23,28.905,37.58,170.196,67.184,48.634,3.449,60.781,15.052,415.782,176.582,68.457,61.881,20.0,5.032,352.478,25.739,218.927,163.16,10.26,2.6651106,109.90693,-25.993961,6.0531077
7211,16815,6273,133.03,446.708,37.773,383.896,145.709,251.292,57.681,42.229,217.11,10.222,158.897,94.562,1.0,144.741,10.279,21.662,25.522,385.364,14.556,404.783,34.54,8.006,262.009,57.097,3.413,41.776,57.509,336.108,12.075,164.358,17.737,16.627,8.568,43.299,23.477,31.433,14.467,16.941,253.944,529.643,19.164,42.759,32.824,29.0,45.355,6.897,5.712,19.33,89.774,46.269,27.392387,36.587395,12.944046,-12.29902
7213,9616,3856,31.69,144.912,13.258,60.658,47.967,239.373,3.024,197.629,198.761,302.237,310.72,191.142,16.92,17.428,3.062,10.298,184.381,129.121,116.751,1.0,46.518,47.237,265.08,385.323,2.207,112.206,32.282,1.0,4.323,32.415,3.092,347.022,16.136,18.417,34.716,23.494,2.224,6.314,131.304,216.524,111.193,415.376,18.988,13.0,45.355,6.897,42.232,15.257,34.142,37.009,-57.81325,-15.456558,2.735304,18.954441
7214,24144,2460,64.67,441.119,33.687,413.182,172.366,691.198,35.413,36.943,15.271,8.172,302.623,160.961,23.554,190.943,6.155,22.695,78.83,497.903,34.37,95.913,217.809,704.363,280.433,84.548,2.207,23.241,266.391,1.0,10.968,186.977,11.461,2.116,6.045,25.882,14.736,42.019,7.121,18.27,184.959,640.794,32.484,47.577,45.277,32.0,209.671,2.179,15.137,8.128,177.364,176.931,25.65464,16.56629,4.77854,-10.127263
7215,1454,2114,64.53,30.341,116.426,16.186,45.428,422.487,4.036,44.343,25.465,14.32,310.72,26.151,471.976,87.245,12.341,22.695,48.978,397.484,378.493,1.0,57.299,51.44,25.566,300.581,2.207,67.724,121.082,1.0,7.645,67.6,10.415,78.018,24.966,144.07,12.239,75.098,3.449,20.927,204.121,197.547,226.229,469.984,252.825,9.0,18.137,396.118,33.986,421.578,12.836,59.644,-13.219944,-91.90824,-14.7346,22.460472
7216,15115,10345,178.23,184.034,159.328,161.534,75.893,186.281,37.438,25.314,70.318,12.271,188.249,226.353,88.562,97.512,20.588,24.761,44.713,160.286,215.816,226.217,89.64,191.553,217.996,108.419,4.62,51.043,108.973,269.718,9.86,72.626,22.968,33.37,18.659,81.866,17.234,30.11,16.915,23.584,333.148,558.109,162.051,62.032,20.371,32.0,21.161,163.765,5.712,105.89,62.55,47.298,34.986023,3.8838654,-2.5200117,-7.7347546
7217,16246,1298,70.5,379.642,37.773,189.736,267.569,159.193,78.936,18.971,208.955,5.098,111.325,51.302,3.653,166.302,13.372,7.199,24.456,395.752,17.685,530.261,26.155,131.304,203.666,61.871,3.413,38.069,182.636,870.383,7.645,77.653,25.06,8.813,4.784,63.204,19.731,27.464,15.691,10.299,89.147,558.109,9.476,71.669,38.359,23.0,70.557,1.0,4.534,9.147,87.406,15.404,42.579247,42.596954,10.842284,-23.610798
7218,1939,6912,163.16,129.543,287.012,7.508,30.196,212.285,23.267,17.914,1.0,12.271,18.207,421.526,38.147,1.0,77.291,30.96,46.845,32.165,369.108,86.261,59.694,275.62,402.238,330.419,15.478,240.093,204.836,1.0,57.484,44.981,13.553,22.208,16.136,187.613,89.661,147.873,10.794,97.977,195.179,155.526,335.211,70.063,147.668,32.0,18.137,266.378,74.04,85.523,74.386,46.269,8.581532,105.654785,-25.969503,8.935124
7219,11482,8712,98.64,89.024,23.472,258.072,101.281,279.463,24.28,77.114,188.567,9.197,97.155,72.429,4.98,33.855,9.248,23.728,57.507,336.886,24.984,5.826,47.716,17.813,260.986,18.903,5.826,125.18,10.082,7.323,29.796,60.06,9.369,255.494,17.398,28.37,53.448,108.177,4.673,59.452,238.614,356.14,28.851,68.457,142.133,23.0,28.218,17.512,24.561,13.22,28.224,64.788,-22.931808,14.093433,8.643673,1.9934406
