class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,Neurofilament,CD3e,CD45,CD4,NeuN,ATG7,A-Beta,S100B,IBA1,CD68,MAP2,CD31,HLA-A,GFAP,CD11b,SMA,DAPI_1,GalMac3,CollagenIV,CD14,PSD-95,CD11c,CD34,Synaptophysin,AQP4,P2Ry12,CD40,Claudin5,HLA-DR,Trem2,iNOS,CD163,CD74,ApoE,H2A.x,PCNA,TMEM119,CD44,P2Rx7_Park7,CD8,Vimentin,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,938,11413,16130,459.5,160.03,0.23,0.73,258.474,478.073,649.904,160.933,52.112,786.586,365.019,50.401,86.186,36.408,349.915,224.586,64.429,96.493,284.716,29.543,1.0,138.409,89.916,262.277,421.632,442.937,2.69,176.735,129.638,179.055,248.54,26.291,93.445,40.96,230.884,91.818,50.455,74.912,41.61,519.529,476.978,1.0,478.601,548.397,58.913,-80.50037,69.016884,-21.927483,11.4684515
dense,939,11800,16118,341.39,178.28,0.13,0.55,526.247,478.073,391.234,151.661,52.112,514.298,250.066,97.058,86.186,43.995,305.842,207.936,72.357,67.11,332.668,29.543,25.82,156.978,53.304,256.129,400.6,301.814,1.0,246.396,140.586,193.237,312.635,26.291,75.552,40.96,267.778,84.25,114.748,76.104,17.244,215.071,283.266,1.0,422.29,539.274,15.478,-71.68628,67.83839,-24.14563,5.674742
dense,940,12302,16174,565.18,201.18,0.18,0.68,340.866,490.306,516.109,209.608,70.698,757.149,433.444,333.085,186.86,38.937,357.261,210.314,119.929,287.478,316.684,43.814,81.665,171.833,27.152,293.015,425.137,359.377,1.0,206.816,113.216,174.328,252.96,19.968,84.499,80.92,264.94,91.818,94.965,88.025,285.268,395.843,360.751,3.291,486.944,555.24,174.739,-79.29799,65.79794,-22.010323,13.313377
dense,941,12155,16180,620.54,195.42,0.2,0.72,428.407,482.151,493.81,223.515,112.516,740.591,282.91,212.327,179.116,33.878,305.842,224.586,135.786,445.408,272.728,43.814,32.025,149.55,58.534,259.203,418.126,351.95,1.0,192.567,313.016,185.358,294.954,32.614,90.463,87.58,279.131,91.818,75.183,80.872,49.732,402.979,288.801,44.534,422.29,527.87,116.826,-79.18352,65.33003,-23.106653,13.769515
dense,942,13214,16189,249.29,89.14,0.39,0.83,376.912,510.694,685.583,316.23,154.335,762.669,356.808,190.371,190.733,46.524,526.21,260.264,88.214,114.857,304.696,58.086,19.615,171.833,63.764,323.754,456.684,405.799,1.0,124.49,222.696,194.812,323.686,32.614,39.767,100.9,267.778,84.25,99.911,97.562,90.341,645.593,338.612,1.0,403.52,600.856,80.63,-81.60865,66.9146,-21.657526,12.413067
dense,943,13139,16201,267.2,95.8,0.37,0.86,212.129,514.771,614.225,313.912,140.395,757.149,373.23,83.335,155.884,41.466,559.265,177.014,80.286,111.184,272.728,58.086,56.845,179.26,42.843,286.868,372.558,348.236,1.0,141.905,255.54,161.722,268.431,19.968,54.678,87.58,219.531,76.682,80.129,89.217,106.585,559.964,327.543,1.0,203.303,402.425,58.913,-80.84931,65.343506,-20.770603,12.203405
dense,944,11785,16264,252.63,80.83,0.49,0.83,598.34,461.763,580.777,216.561,84.637,615.486,266.488,86.08,124.907,36.408,335.224,238.857,96.143,52.419,352.648,29.543,25.82,149.55,42.843,265.351,414.621,433.652,1.0,184.651,63.951,175.904,325.896,26.291,102.391,27.64,287.645,99.386,134.53,55.838,33.488,355.407,476.978,1.0,418.119,562.082,37.196,-75.15915,69.84196,-25.194809,7.6068025
dense,945,7688,16304,313.25,105.65,0.35,0.84,309.969,559.624,360.016,332.455,42.819,547.414,685.247,404.442,148.14,56.641,393.989,165.121,143.714,382.971,384.616,58.086,32.025,201.543,84.686,517.406,453.179,351.95,12.832,284.393,660.614,254.689,427.564,45.259,105.373,140.86,333.054,122.091,129.584,107.099,49.732,559.964,391.191,51.408,912.405,680.685,15.478,-83.73365,62.072906,-24.501774,14.733474
dense,946,12169,16341,811.56,283.31,0.13,0.64,279.072,482.151,587.467,313.912,405.247,558.453,321.227,116.269,124.907,49.053,625.375,226.964,24.786,217.695,308.692,43.814,156.124,134.695,37.613,228.465,379.568,416.941,1.0,208.399,225.433,191.661,292.743,38.937,87.481,100.9,66.276,38.841,75.183,73.72,147.195,507.636,319.241,1.0,461.916,541.555,51.674,-80.19104,68.421524,-20.866879,11.863434
dense,947,12287,16352,195.64,70.59,0.49,0.85,129.737,580.012,569.627,272.19,56.758,665.16,471.762,173.904,90.058,43.995,313.187,198.421,8.929,111.184,312.688,29.543,44.435,160.691,74.225,259.203,407.611,344.522,1.0,189.401,225.433,182.207,268.431,38.937,84.499,20.98,3.838,23.705,80.129,82.064,33.488,372.057,316.474,1.0,409.777,448.041,37.196,-78.68352,66.00115,-21.34011,11.98762
dense,948,10497,16385,370.1,125.49,0.3,0.73,505.649,580.012,779.239,306.958,228.679,604.448,471.762,86.08,113.291,38.937,357.261,265.021,135.786,19.364,504.496,29.543,38.23,168.119,89.916,289.942,453.179,591.487,1.0,148.238,39.318,204.267,323.686,70.551,144.14,67.6,6.676,38.841,114.748,74.912,33.488,407.736,518.488,1.0,478.601,671.562,22.717,-79.44031,69.39154,-22.660547,12.317934
dense,949,12856,16388,440.88,137.3,0.29,0.74,299.67,559.624,652.134,304.64,98.577,711.155,321.227,110.78,206.221,43.995,570.283,219.829,1.0,70.783,316.684,29.543,19.615,168.119,42.843,256.129,488.232,350.093,1.0,167.236,96.795,185.358,308.215,19.968,69.588,7.66,3.838,16.136,99.911,71.335,65.976,557.586,385.657,1.0,455.66,582.61,66.152,-80.53108,66.694664,-21.612305,12.099951
dense,950,9744,16404,219.87,78.53,0.45,0.85,464.454,510.694,520.569,163.251,103.223,569.492,493.658,50.401,78.442,38.937,327.879,217.45,56.5,70.783,384.616,43.814,19.615,134.695,53.304,249.982,365.547,374.232,1.0,121.323,236.381,204.267,405.462,45.259,90.463,80.92,32.219,38.841,159.257,70.143,82.22,338.757,418.864,1.0,514.056,598.575,51.674,-77.03668,67.55766,-22.585714,12.20957
dense,951,9813,16436,240.13,91.68,0.36,0.81,763.124,580.012,525.029,269.872,335.549,481.182,209.011,44.912,113.291,31.349,206.676,196.043,32.714,92.82,436.564,29.543,32.025,186.688,48.073,296.089,323.484,355.664,2.69,194.151,157.008,188.509,385.571,51.582,87.481,87.58,18.028,38.841,139.475,57.03,57.854,326.864,319.241,1.0,591.223,523.308,8.239,-76.28466,68.5103,-22.342903,13.0320635
