class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7_Park7,DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000172,3613,2312,240.91,134.21,0.17,0.65,84.536,89.147,411.981,331.267,188.148,158.548,4.018,112.0,352.7,312.164,290.072,56.5,43.937,70.295,163.8,9.144,178.128,89.571,299.614,376.19,40.643,187.535,17.324,238.857,307.799,95.089,486.229,574.159,8.136,49.589,16.732,363.332,276.843,456.854,107.003,28.204,109.735,3.76,357.233,323.692,10.537,-31.82293,38.792427,-1.6172084,-2.505443
diffuse,1000173,1398,2310,316.52,139.43,0.2,0.68,71.948,89.147,358.237,312.529,147.292,307.145,426.556,451.529,441.164,115.639,608.902,12.1,112.636,382.121,195.25,39.005,171.043,25.718,256.179,195.376,26.107,242.805,27.118,300.844,274.838,236.222,416.91,463.671,125.875,26.267,197.654,270.161,217.201,398.66,45.971,13.091,517.49,17.558,256.558,487.727,17.69,-39.853424,4.8013134,2.5262885,-1.8027736
diffuse,1000174,2296,2404,2472.69,684.7,0.07,0.65,74.237,59.765,446.756,304.331,148.609,239.113,351.103,190.353,357.015,170.23,370.843,23.2,35.35,249.306,189.7,44.435,263.149,46.315,239.891,245.1,36.679,233.133,43.441,308.052,284.98,180.875,514.771,488.991,97.332,47.646,158.323,487.56,299.209,437.456,107.003,7.045,184.49,45.155,314.64,447.39,10.537,3.1858025,6.218539,-0.30326745,5.8412547
diffuse,1000175,4265,2347,220.94,149.3,0.12,0.57,36.474,89.147,383.528,372.258,172.332,278.5,7.036,151.176,410.957,224.82,477.119,12.1,66.837,99.168,137.9,6.429,78.936,50.435,256.179,421.394,52.536,241.423,30.382,315.26,264.695,119.994,633.02,608.687,18.839,37.928,8.866,565.202,299.209,550.612,55.608,13.091,170.898,3.76,554.709,468.903,9.345,-26.973804,32.251472,-1.5930277,-2.5906286
diffuse,1000176,4171,2421,654.36,172.02,0.28,0.72,68.515,89.147,307.655,364.06,184.194,230.161,16.091,105.471,419.587,525.066,417.604,12.1,52.524,93.393,124.95,9.144,121.447,87.511,321.332,493.719,53.857,270.44,118.529,315.26,353.439,114.46,547.392,620.196,29.543,92.348,16.732,601.435,351.396,667.0,135.913,17.625,130.122,1.0,395.953,447.39,10.537,-39.246513,29.502209,-0.44880378,-3.6623564
diffuse,1000177,3862,2403,270.97,140.77,0.17,0.64,39.907,89.147,405.658,340.637,171.015,226.581,16.091,85.882,363.488,181.148,319.83,34.3,61.112,81.844,137.9,3.715,86.021,52.495,267.038,285.783,43.286,251.095,33.647,263.364,239.34,106.158,429.143,459.067,8.136,32.097,16.732,259.808,299.209,453.621,58.82,8.557,123.327,1.0,423.058,415.121,4.576,-18.447197,47.07877,-2.8209834,-0.9947682
diffuse,1000178,5315,2398,231.17,94.07,0.33,0.76,31.897,59.765,279.203,422.618,169.697,267.758,1.0,125.059,339.754,88.344,366.591,23.2,49.662,41.422,113.85,11.859,121.447,31.897,283.326,199.896,43.286,253.859,30.382,202.818,206.378,111.693,469.918,449.859,8.136,28.21,8.866,503.088,284.299,418.058,58.82,17.625,130.122,3.76,566.326,407.054,28.419,-11.067623,48.322704,-4.205056,-0.098581396
diffuse,1000179,1276,2462,986.16,319.0,0.12,0.69,47.918,89.147,484.693,353.519,132.794,307.145,103.616,85.882,391.538,88.344,455.864,12.1,32.487,168.462,184.15,41.72,277.319,25.718,218.174,154.692,27.429,238.66,89.147,303.727,267.231,158.737,531.082,426.841,22.407,16.549,63.929,402.153,388.672,411.592,33.122,8.557,157.306,9.279,225.581,464.869,16.498,-22.078112,25.201242,-0.49714586,-0.6149807
diffuse,1000180,4740,2473,596.44,301.48,0.08,0.44,54.784,59.765,430.949,365.231,203.963,479.016,1.0,105.471,328.965,159.311,409.102,23.2,41.074,145.364,141.6,36.291,326.915,29.837,283.326,231.538,43.286,238.66,36.912,274.896,312.871,111.693,510.694,495.896,18.839,35.984,8.866,386.624,381.216,414.825,74.881,16.113,130.122,3.76,469.523,249.742,20.074,-18.43159,29.666723,-4.2331953,-2.4969244
diffuse,1000181,17228,2446,206.51,210.58,0.06,0.28,404.948,794.324,1.0,3.342,521.587,334.0,1.0,92.412,1.0,28.295,1.0,145.3,822.527,81.844,735.45,595.514,142.702,680.732,1.0,421.394,700.036,1.0,1000.0,243.182,94.815,9.302,1.0,1.0,850.15,133.163,339.244,52.762,448.313,1.0,608.109,833.752,313.612,133.464,144.267,1.0,614.944,110.31045,11.560905,3.2240832,-9.858241
