class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,Neurofilament,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1000570,22801,12897,591.33,328.21,0.07,0.53,324.791,262.643,50.311,205.341,95.813,332.871,118.529,38.462,150.992,589.179,32.614,11.777,69.664,1.0,13.738,1.0,426.345,3.921,123.773,687.812,250.018,42.843,119.729,402.941,212.737,8.655,303.496,2.316,121.725,66.474,99.386,126.445,28.386,110.926,7.66,79.471,247.225,25.81,70.889,63.682,754.601,539.274,2.286,20.12,14.371,261.679,55.17,1.0,125.678,-4.344656,-1.1549988,-6.4021945,-1.3447673
diffuse,1000571,23202,12940,1177.89,585.62,0.04,0.49,370.1,135.786,46.658,159.932,49.563,11.159,154.362,13.487,166.557,554.793,38.937,18.243,41.391,10.207,8.279,1.0,479.513,12.684,125.455,625.375,302.751,68.995,118.529,607.814,177.211,4.828,211.985,2.316,182.088,49.577,31.273,149.253,20.051,123.006,151.96,70.417,247.225,32.425,91.444,177.294,845.103,621.384,3.571,10.56,6.73,311.872,57.69,5.306,76.754,-6.367178,6.2727604,-6.0931215,0.73929363
diffuse,1000572,20909,12947,2298.08,473.53,0.13,0.78,204.336,215.071,44.832,223.721,58.813,116.139,132.862,25.975,94.391,500.5,32.614,25.786,27.927,65.452,13.738,1.0,347.992,9.763,122.091,544.017,668.953,142.22,131.721,334.65,212.737,39.276,278.076,4.949,144.864,125.611,76.682,143.551,23.623,94.015,27.64,13.073,235.293,42.349,75.0,71.518,766.784,548.397,1.0,3.39,16.281,483.499,46.352,3.153,117.787,-8.7819,4.9265194,-4.52759,0.2440137
diffuse,1000573,21482,12911,447.99,120.35,0.39,0.78,198.811,254.714,39.353,248.588,62.281,136.458,138.595,25.975,70.336,502.31,26.291,36.563,22.542,74.659,4.639,1.0,361.983,1.0,96.864,528.881,340.836,257.288,117.33,363.918,225.526,4.828,219.611,1.0,157.943,160.46,65.33,149.253,21.242,78.311,1.0,1.0,227.7,25.81,33.889,28.424,655.397,968.068,1.0,2.195,6.73,447.878,36.274,1.0,105.161,-1.4551392,-10.839584,-5.6951976,-3.78995
diffuse,1000574,22898,13261,24660.66,4090.48,0.02,0.51,252.96,52.536,59.442,135.065,87.719,163.549,148.628,25.975,158.067,518.598,38.937,21.476,96.592,37.829,24.656,2.321,347.992,30.211,147.318,491.04,238.299,58.534,135.319,629.277,124.632,27.793,168.771,7.581,133.798,78.09,69.114,105.918,28.386,135.086,189.7,185.106,243.971,37.387,107.889,161.624,636.253,365.932,4.857,16.535,10.551,373.399,63.989,4.23,128.834,-18.92775,33.83856,-5.06752,6.1417546
diffuse,1000575,21280,12918,550.04,188.45,0.19,0.73,234.174,361.75,41.179,239.938,41.469,89.047,131.429,100.9,80.241,469.734,32.614,18.243,15.81,1.0,2.82,1.0,373.176,1.0,105.273,515.636,317.399,178.832,125.725,307.334,209.895,8.655,280.618,1.0,121.725,115.051,69.114,133.288,20.051,81.935,1.0,1.0,220.107,34.079,25.667,44.094,712.831,575.767,1.0,1.0,4.82,451.117,29.975,1.0,94.114,0.8207798,-6.291271,-4.682545,-2.460983
diffuse,1000576,25575,12994,1037.19,336.82,0.11,0.59,377.835,207.143,50.311,122.091,98.125,4.386,144.329,25.975,87.316,362.957,32.614,19.32,49.469,37.829,19.197,3.643,473.916,33.132,115.364,636.727,478.528,53.304,125.725,553.182,126.053,4.828,245.031,11.53,254.523,16.84,50.193,175.483,14.098,123.006,169.72,76.453,259.156,35.733,107.889,114.612,624.07,548.397,7.429,5.78,2.91,77.099,100.522,39.754,86.223,-0.07159424,10.764223,-7.2877746,0.26846936
diffuse,1000577,20404,12961,1001.3,285.13,0.15,0.64,151.292,20.821,59.442,262.643,113.156,343.031,114.23,50.95,173.632,648.902,76.873,32.252,50.815,162.129,82.885,1.0,275.235,38.974,155.727,364.273,660.164,147.45,130.522,360.016,245.421,89.034,311.122,15.478,102.61,125.611,167.5,113.901,56.963,106.094,20.98,456.737,212.515,50.619,132.556,91.106,780.707,306.63,103.857,3.39,33.472,499.69,92.963,5.306,89.379,11.171541,-4.596592,-2.0620112,-2.4320934
diffuse,1000578,20747,12929,196.14,87.45,0.32,0.8,233.069,68.393,32.048,273.455,46.094,105.98,135.729,1.0,66.091,507.739,32.614,11.777,21.195,1.0,6.459,1.0,473.916,1.0,125.455,521.312,273.455,204.984,120.928,365.869,224.105,4.828,158.603,2.316,140.84,104.49,38.841,162.938,23.623,94.015,49.84,1.0,219.023,45.657,149.0,102.859,791.15,635.068,1.0,1.0,4.82,415.496,35.014,1.0,130.412,0.8498211,-7.3207016,-5.1309953,-2.7565577
diffuse,1000579,20363,13172,10135.01,1621.73,0.05,0.55,188.865,163.536,50.311,238.857,98.125,299.007,128.562,38.462,145.331,509.549,45.259,41.951,48.123,60.848,24.656,1.0,375.975,9.763,145.636,479.688,654.305,147.45,114.932,375.625,226.947,31.621,280.618,3.632,112.671,136.171,110.739,119.603,33.149,100.054,12.1,203.215,241.801,53.927,132.556,75.435,737.197,571.205,17.714,2.195,14.371,423.592,75.327,3.153,92.536,-17.19793,24.522873,-4.8016076,4.6325293
