cell,x,y,area µm²,PSD-95,NeuN,CD68,CD11c,E5,E9,CD8,H2A.x,CD3e,ATG7,CD163,ApoE,E7,Olig2,HLA-A,SMA,TMEM119,Vimentin,CD11b,Synaptophysin,a-Beta,CD4,CD40,CD45,CD34,PCNA,Claudin-5,E2,E10,DAPI_1,CD31,HLA-DR,Gal3,AQP4,GFAP,E6,CD74,IBA1,CD14,P2Rx7,MAP2,CD44,E3,CollagenIV,S100B,E4,E1,E8,None,UMAP_1,UMAP_2,TSNE_1,TSNE_2
1752,16665,9188,30.84,569.996,41.919,81.901,157.986,63.007,142.146,100.9,57.72,84.25,74.766,6.02,27.504,57.36,568.867,17.377,1.0,98.211,1.0,147.396,466.088,1.0,13.55,175.462,552.419,202.828,14.571,136.497,5.604,80.662,345.288,188.476,71.2,31.084,111.888,60.543,56.624,176.305,117.215,250.75,138.337,313.645,268.306,59.765,15.4,9.122,842.958,134.764,1.0,109.925,-4.9163685,-51.254734,6.458731,15.215806
1753,20887,12211,47.04,331.104,32.042,99.061,146.772,7.89,21.388,85.764,74.187,90.573,181.199,14.052,17.31,2.105,436.318,11.918,1.0,493.261,1.0,201.006,274.213,4.24,1.0,185.846,274.323,238.326,26.053,353.521,1.0,69.897,48.034,403.484,63.1,123.411,53.42,1.0,1.0,51.43,237.899,256.452,54.918,198.846,10.061,1.0,1.0,13.183,539.431,1.0,1.0,38.346,19.423496,-51.450363,-9.428256,17.923367
1754,11903,228,137.01,381.054,19.343,243.702,131.482,7.89,1.0,13.109,10.148,80.035,461.509,5.016,58.086,1.0,23.324,2.092,1.0,583.233,2.318,217.502,355.551,1.0,3.51,187.923,101.258,349.889,3.088,188.169,1.0,81.738,25.458,71.795,5.05,109.925,6.04,70.467,134.497,92.255,198.789,268.997,22.364,520.04,431.408,1.0,1.0,7.091,297.929,1.0,1.0,63.243,11.055584,-69.30742,-3.452083,22.180176
1755,208,14104,88.69,3.172,2.411,133.383,181.432,708.912,545.196,20.173,21.126,203.329,115.864,8.028,41.776,220.913,2.395,44.672,16.761,1.0,47.128,222.656,1.0,10.72,219.374,308.385,410.387,217.027,9.351,146.831,91.923,138.793,621.847,316.957,227.8,55.981,45.355,134.972,118.922,384.03,288.185,413.829,96.627,5.885,1.0,174.201,656.2,1.0,547.349,595.32,260.998,617.206,0.25373077,69.57758,-3.4059477,-24.244743
1756,19144,5594,95.23,226.861,15.11,257.185,116.191,2.722,2.568,81.727,26.615,91.627,122.187,13.048,82.551,35.258,30.3,3.184,1.0,35.127,40.538,117.498,44.797,1.0,98.892,263.731,378.161,134.876,6.219,167.5,2.151,125.875,14.169,294.669,13.15,58.056,106.848,260.674,241.294,140.284,490.443,337.421,148.51,10.77,3.265,181.933,1.0,6.076,588.259,70.422,5.685,10.336,24.668442,25.213829,-3.2185194,-7.4841
1758,19787,8732,47.19,100.9,23.576,62.288,33.62,436.771,678.501,36.318,8.319,346.646,185.415,5.016,37.698,393.306,34.486,258.666,2.212,5.137,765.406,87.601,1.0,1.0,1.0,218.038,550.032,12.156,580.357,234.1,620.196,117.263,510.847,170.122,397.9,30.047,305.438,1.0,136.722,388.833,69.164,167.5,37.623,123.127,1.0,2.546,119.8,293.39,338.839,192.334,10.369,603.201,-24.490997,15.04071,14.025293,-14.706674
1759,9147,5128,64.53,576.511,26.398,35.321,104.978,75.064,2.568,77.691,8.319,134.832,354.022,6.02,73.377,18.681,24.719,2.092,1.0,82.699,1.0,466.994,449.403,1.0,46.181,203.5,392.484,192.686,12.483,143.386,1.0,96.809,64.966,10.177,28.0,48.72,75.597,404.57,9.9,214.728,40.111,198.291,58.987,476.075,216.204,1.0,1.0,10.137,613.333,7.773,1.0,60.131,-6.376234,-46.902573,5.473418,16.433853
1760,21334,12442,163.45,391.913,17.932,123.577,440.356,50.95,43.344,121.082,4.659,89.519,336.108,7.024,13.233,10.946,9.372,33.754,1.0,347.444,1.0,177.294,507.8,67.96,103.912,181.692,318.484,276.866,4.132,283.476,1.0,124.798,157.153,74.417,136.0,55.981,383.06,1.0,1.0,251.951,133.977,234.784,42.71,673.921,193.551,1.0,1.0,4.046,167.28,36.558,1.0,86.584,3.1990623,-62.80211,-0.10405248,21.846573
1761,6594,7937,215.33,274.639,15.11,285.378,147.792,47.505,57.458,97.873,21.126,313.978,187.522,8.028,34.64,2.105,38.672,21.744,2.212,103.382,2.318,346.372,48.969,1.0,78.812,193.115,396.065,282.951,18.746,247.879,5.604,181.853,249.339,184.543,42.85,72.579,88.702,83.699,34.374,280.768,287.067,506.202,121.043,168.314,32.714,31.929,11.8,12.168,480.045,87.354,5.685,108.369,9.549313,11.465244,-5.996781,-2.2199445
1762,22166,16760,78.17,27.061,2.411,157.898,55.028,104.345,15.115,52.464,13.808,164.339,17.861,9.032,12.213,123.665,1.0,58.866,2.212,613.224,41.856,221.625,67.739,3.16,1.0,201.423,335.194,120.677,1.0,178.983,5.604,51.596,44.271,121.614,119.8,50.794,14.105,475.69,365.891,188.312,612.245,526.729,248.207,1.0,93.878,64.404,209.8,9.122,209.51,336.258,6.856,239.079,30.753124,-33.687904,-7.603326,11.659057
1763,4042,5721,260.66,354.993,33.453,94.158,81.532,205.967,316.226,28.245,17.467,154.854,390.905,6.02,1.0,270.642,108.434,37.03,8.274,436.382,2.318,146.365,318.01,3.16,151.603,207.654,356.677,210.942,12.483,190.466,24.018,25.76,443.119,82.283,206.2,25.897,26.202,113.47,12.125,133.079,130.624,264.435,30.502,454.092,277.367,1.0,247.6,10.137,358.634,166.936,95.864,217.294,-15.209801,-56.84191,7.75044,20.871511
1764,16172,3164,140.0,74.839,9.466,470.469,117.21,40.616,131.168,84.755,30.275,164.339,90.573,12.044,83.57,10.946,31.696,6.459,1.0,14.444,41.856,207.192,7.257,1.0,26.101,150.538,220.613,185.587,20.834,226.062,2.151,119.416,181.61,429.705,2.35,42.495,40.315,24.156,132.272,223.133,218.903,237.065,132.233,41.302,7.796,149.458,11.8,6.076,387.667,6.08,1.0,97.477,29.982029,13.643112,-3.2586186,-3.8787587
1765,4466,6249,214.47,598.228,34.864,110.093,145.753,69.897,11.978,28.245,17.467,210.706,423.573,6.02,2.019,101.563,109.83,17.377,5.85,511.876,4.954,155.644,576.624,2.08,101.402,218.038,341.161,350.904,4.132,277.734,17.113,17.148,213.593,75.728,215.65,78.804,61.484,80.391,132.272,46.627,146.268,257.592,46.779,499.279,352.122,1.0,137.8,11.152,408.782,102.593,78.297,29.009,-4.885994,-63.282616,3.3462546,21.266897
1766,25810,1730,161.03,1.0,15.11,371.182,463.802,11.334,673.796,525.727,15.637,405.658,312.924,717.87,343.514,115.929,5.186,505.413,79.805,4.102,101.164,408.229,1.0,1.0,1.0,676.0,279.097,475.652,1.0,250.176,18.264,607.074,443.119,529.343,6.4,134.822,353.825,1.0,1.0,82.649,507.205,303.209,367.232,1.0,1.0,50.486,42.4,62.93,86.779,358.269,74.783,304.435,-30.34631,36.58394,8.365391,-25.920322
1767,11181,5354,72.63,226.861,20.754,404.277,251.769,40.616,5.705,40.355,50.401,154.854,105.326,6.02,220.168,42.993,55.415,1.0,1.0,34.093,2.318,605.142,67.739,1.0,63.751,362.385,548.839,404.657,9.351,220.321,1.0,55.902,32.983,510.988,9.1,172.168,69.549,103.546,63.298,107.864,537.376,140.13,34.571,309.982,21.388,143.272,1.0,8.107,469.487,24.705,1.0,169.056,21.405483,-17.20271,-7.3745885,-0.28523296
1768,10101,15113,38.66,5.343,2.411,124.802,238.517,19.947,55.89,73.655,44.912,156.962,253.911,192.768,65.221,84.987,200.521,41.397,5.85,6.171,147.292,109.251,1.0,4.24,98.892,228.423,523.774,210.942,4.132,316.776,37.829,135.564,234.288,276.315,111.7,92.29,252.01,305.331,130.047,136.681,70.282,310.051,290.934,65.727,1.0,503.593,188.2,1.0,395.585,177.095,75.954,256.196,8.033373,38.37938,-0.9468117,-17.854353
1769,19444,13142,65.81,281.154,22.165,70.869,284.39,180.131,170.375,97.873,2.83,127.456,289.741,7.024,30.562,33.048,19.138,13.01,4.637,514.978,2.318,259.771,484.858,3.16,43.671,190.0,244.484,337.719,4.132,125.014,24.018,189.389,196.661,31.154,288.55,88.14,117.936,2.654,132.272,296.377,133.977,347.685,148.51,515.155,116.531,1.0,38.8,5.061,514.357,153.39,44.333,80.36,4.846403,-57.745483,0.3072727,20.93751
1770,10721,10828,26.29,98.728,20.754,132.157,164.102,4.445,262.904,91.818,63.209,226.513,279.203,294.174,119.249,213.177,303.77,25.02,2.212,32.025,39.22,285.545,1.0,1.0,63.751,323.962,609.71,358.003,14.571,390.266,2.151,205.537,292.61,423.15,36.1,355.785,98.783,9.27,54.399,229.137,148.503,621.384,338.747,24.204,1.0,151.005,17.2,12.168,390.306,16.239,17.396,72.579,2.9629478,22.54561,6.7179813,-11.322772
1771,16367,955,164.73,40.091,47.564,372.407,160.024,2.722,8.841,5.036,19.297,53.69,260.234,2.004,129.443,1.0,41.462,2.092,1.0,35.127,8.908,57.703,19.77,1.0,6.02,132.885,178.839,308.307,2.044,128.459,1.0,36.525,21.695,214.697,1.0,207.439,35.274,153.166,65.523,73.043,164.148,376.195,89.506,498.057,19.122,160.283,1.0,4.046,341.478,4.386,1.0,57.019,25.305733,-2.4851227,-0.3451123,0.8248143
