cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
265,20787,3339,29.85,246.31,59.765,31.707,81.837,28.312,38.977,9.155,5.453,6.761,23.083,10.762,1.0,19.981,2.036,18.365,9.056,169.205,1.0,505.545,123.282,410.268,63.165,7.167,1.0,27.589,78.328,83.896,1.0,9.29,4.501,1.0,1.0,1.0,1.0,2.08,12.211,1.0,100.468,620.215,1.0,13.579,11.229,32.093,1.0,1.0,1.0,7.16,21.08,19.183,18.885014,39.831398,-7.637932,-10.277942
266,21595,14257,51.88,53.17,67.497,1.0,57.707,41.968,41.087,9.155,36.626,10.218,116.674,11.847,1.0,385.615,8.254,27.558,12.078,33.959,100.264,569.455,43.58,14.965,32.628,118.167,2.502,61.776,1.0,3.126,6.092,683.926,18.506,64.346,24.046,11.278,24.162,30.16,7.228,14.026,397.429,747.154,15.753,52.365,19.184,24.069,16.626,4.064,10.298,14.347,34.133,26.67,70.803665,10.264677,14.313683,-13.161308
267,14579,1400,163.59,269.62,166.469,63.438,134.924,121.804,37.922,17.31,75.22,11.37,127.189,33.541,264.509,166.834,18.617,17.344,19.127,245.352,272.066,191.045,142.934,242.694,117.695,242.528,5.507,65.574,211.041,28.632,10.165,188.572,22.007,11.385,14.026,84.25,53.367,59.32,18.439,21.04,97.584,483.988,74.766,26.158,46.461,21.06,13.501,127.663,15.463,162.195,80.318,92.985,54.581734,-14.197212,18.546738,-4.410404
268,15028,14510,62.54,64.27,41.207,1.0,5.826,10.454,4.165,3.039,2.484,2.152,2.052,1.0,89.392,10.99,4.109,9.172,5.028,28.276,3.545,174.227,1.0,236.248,3.181,36.972,1.0,27.589,1.0,41.385,8.128,67.324,1.0,1.0,7.012,7.167,14.092,26.92,12.211,13.024,1.0,793.595,2.054,50.269,30.549,84.25,1.0,2.021,5.132,2.027,11.04,7.418,61.04827,34.13141,5.1067257,-9.798649
269,2184,1637,78.17,25.42,18.011,55.249,60.12,55.625,3.11,167.16,238.504,9.066,117.725,36.795,79.386,116.884,2.036,17.344,44.303,324.908,101.536,1.0,102.538,220.135,65.346,61.639,2.502,221.312,107.588,1.0,8.128,95.304,4.501,244.0,49.096,23.611,47.325,55.0,7.228,27.052,34.156,264.166,80.035,509.41,21.457,14.039,18.709,67.396,70.217,89.298,10.036,102.611,-63.92708,-13.054466,-25.905922,-2.935767
270,16584,10237,177.66,208.57,33.475,5.094,21.511,48.271,18.933,10.174,97.486,9.066,25.186,11.847,136.09,36.964,4.109,21.429,10.064,72.601,7.363,191.045,7.551,103.048,26.084,32.861,4.005,88.365,4.135,69.017,6.092,277.694,5.668,1.0,5.008,16.417,17.113,30.16,10.965,19.036,83.169,328.152,4.161,61.8,35.096,36.105,6.209,6.107,5.132,11.267,56.221,17.044,11.512371,34.228813,-7.117823,-0.8218819
271,8010,8421,118.39,312.91,56.672,65.485,156.641,45.12,59.02,13.233,29.204,14.827,68.301,31.371,29.352,52.948,6.182,23.472,16.106,407.874,37.906,313.818,42.489,236.248,127.511,143.861,5.507,94.063,68.924,177.419,9.147,150.228,17.339,10.346,10.018,30.806,22.148,30.16,20.93,23.044,199.935,618.151,8.377,78.572,41.915,133.398,12.459,5.086,8.232,13.321,113.45,33.088,25.959217,18.43307,2.5218806,2.7470539
272,13328,12100,89.97,378.4,45.847,7.141,44.435,30.413,41.087,12.213,15.844,11.37,78.817,15.101,2.668,215.785,2.036,28.58,16.106,504.478,60.813,154.045,86.161,56.858,26.084,109.944,2.502,18.093,8.315,18.004,2.018,472.52,13.838,40.462,15.028,3.056,3.014,5.32,14.702,6.01,243.182,658.4,7.323,67.041,5.546,26.075,10.375,1.0,3.066,12.294,50.197,24.531,38.159378,-3.7738876,12.616128,3.576285
273,18404,7997,127.06,151.96,47.393,8.165,37.196,19.909,22.098,7.116,73.736,9.066,34.651,12.932,67.711,20.98,5.145,19.387,13.085,124.881,31.543,78.364,21.744,154.61,34.809,97.611,2.502,78.869,27.124,130.657,4.055,96.34,11.504,3.077,3.004,9.222,24.162,42.04,69.51,7.012,179.753,575.838,3.108,70.186,62.372,77.229,6.209,2.021,2.033,6.134,140.559,28.809,42.44624,33.5338,2.2810006,-5.466923
274,10680,13553,131.47,356.2,52.033,10.212,126.478,27.262,48.471,11.194,8.422,11.37,71.456,19.44,34.356,48.952,9.29,26.537,12.078,238.532,32.815,310.455,39.213,50.413,60.984,65.75,4.005,50.38,15.63,113.653,3.037,196.862,22.007,17.615,14.026,24.639,14.092,16.12,18.439,11.02,290.753,608.863,5.215,64.944,35.096,34.099,16.626,5.086,3.066,15.374,107.426,25.601,37.203598,16.653965,5.142779,0.014279958
