cell,x,y,area µm²,E3,Vimentin,CD163,P2Ry12,a-Beta,PSD-95,CD11c,HLA-A,TMEM119,CD31,Gal3,HLA-DR,CD8,ATG7,MAP2,GFAP,CollagenIV,CD3e,CD4,NeuN,Neurofilament,CD74,Claudin-5,CD40,CD11b,E1,E10,Synaptophysin,CD34,ApoE,E2,PCNA,Olig2,E4,DAPI_1,H2A.x,E5,E6,E9,S100B,SMA,CD44,CD45,E8,CD68,AQP4,IBA1,CD14,E7,UMAP_1,UMAP_2,TSNE_1,TSNE_2
7556,1994,7575,259.67,26.581,136.561,5.053,1.0,1.0,32.697,240.231,128.882,151.625,47.229,102.981,394.438,5.712,269.919,50.608,10.25,105.588,1.0,143.087,4.323,194.684,194.623,35.719,89.047,251.782,8.876,47.781,17.135,110.739,141.563,1.0,213.811,77.748,11.557,135.04,209.053,1.0,12.549,117.741,636.856,2.032,248.642,488.424,56.855,164.31,245.63,425.983,293.863,27.872,-17.381363,-3.04521,-10.474392,-9.589361
7557,9416,5732,273.46,13.117,106.029,1.0,1.0,18.201,15.209,168.101,26.323,168.238,8.893,64.478,61.438,13.959,295.477,144.692,11.406,5.809,1.0,115.255,16.506,248.202,164.926,5.48,80.581,303.383,14.127,47.781,72.261,53.977,116.462,1.0,276.662,57.282,32.672,37.661,272.673,1.0,9.084,89.034,481.424,2.032,249.696,395.111,26.534,205.138,165.983,386.395,170.391,16.807,-26.762777,-11.469393,2.0909336,-6.5285497
7558,9744,6146,57.7,11.771,32.753,1.0,1.0,2.323,6.465,154.877,7.331,178.206,8.893,28.056,12.851,1.0,353.261,115.611,11.406,1.0,1.0,66.916,9.86,383.27,42.576,8.84,23.012,147.548,6.251,40.236,69.572,196.511,44.926,1.0,188.45,77.748,19.476,65.156,222.809,1.0,16.014,110.086,494.141,2.032,208.598,386.329,32.917,3.552,64.718,280.441,158.146,34.195,-40.34447,-18.124336,7.344954,-1.1955657
7560,21746,15985,82.58,6.385,2.221,1.0,1.0,1.0,58.929,89.96,6.065,360.95,19.041,32.219,5.74,3.356,307.701,190.878,4.469,1.0,2.37,34.691,23.151,64.712,123.351,1.0,33.171,206.373,2.313,50.799,466.214,6.045,56.221,1.0,241.377,320.782,4.959,269.08,100.728,1.0,4.465,64.155,173.388,1.0,58.959,252.397,21.746,203.862,79.509,230.374,202.025,18.388,-0.81588554,-104.553024,34.1883,1.2872761
7561,17563,16786,109.01,6.385,26.647,1.0,1.0,1.0,6.465,61.108,7.331,277.885,14.53,27.016,9.295,1.0,237.693,7.842,5.625,1.0,1.0,124.044,2.108,39.227,189.872,2.12,29.785,299.255,4.938,91.544,1.0,6.045,7.275,1.0,199.477,22.745,4.959,140.768,160.909,1.0,7.929,60.328,320.341,2.032,164.339,308.385,31.321,63.517,268.386,345.643,172.432,26.291,-56.73624,25.300861,-3.9305022,15.24006
7563,12724,9229,213.19,7.732,40.081,1.0,1.0,1.0,8.651,94.769,44.049,575.813,11.148,32.219,28.256,3.356,264.363,36.923,3.312,1.0,1.0,147.481,4.323,108.036,239.762,2.12,80.581,192.957,2.313,31.181,10.412,42.625,41.161,1.0,314.152,30.42,7.598,91.506,214.212,1.0,7.929,60.328,338.71,1.0,226.513,390.72,29.725,52.034,159.156,735.696,318.353,23.13,-29.50349,33.11606,-16.244602,3.760785
7564,21445,6377,262.23,3.693,38.859,1.0,1.0,53.927,19.581,86.354,3.532,256.841,31.444,21.812,4.555,2.178,252.139,199.432,3.312,1.0,2.37,46.409,110.646,97.842,123.351,2.12,51.797,142.387,4.938,23.636,255.12,3.523,57.476,1.0,137.728,7.396,6.279,105.253,99.009,1.0,6.775,45.017,114.041,2.032,3.108,207.387,16.958,46.931,129.573,304.892,110.186,7.323,-9.515875,-105.85548,30.596588,4.193005
7565,14572,18455,26.29,14.464,1.0,1.0,1.0,1.0,1.0,104.386,12.395,378.671,16.786,1.0,15.221,1.0,229.914,11.264,7.938,1.0,1.0,107.931,4.323,95.293,25.945,2.12,31.478,268.294,12.815,77.962,1.0,114.523,17.315,1.0,176.321,62.398,14.197,22.767,105.886,1.0,17.169,110.086,156.431,2.032,123.241,502.696,31.321,15.034,1.0,368.93,266.312,45.259,-53.260483,19.805653,-5.6086893,10.765432
7566,8533,12540,175.39,13.117,2.221,1.0,1.0,1.0,7.558,99.578,4.798,261.272,14.53,4.122,35.367,8.068,229.914,21.527,13.719,1.0,1.0,85.959,4.323,171.747,318.162,3.24,60.263,186.764,11.502,40.236,21.168,38.841,7.275,1.0,250.199,30.42,7.598,31.932,164.348,1.0,11.394,98.603,453.164,1.0,103.218,276.548,31.321,133.69,10.103,288.591,219.372,15.226,-58.94635,30.068798,-8.398383,13.451528
7567,15170,12268,113.7,6.385,29.089,1.0,1.0,1.0,2.093,120.014,21.259,448.446,16.786,19.731,18.776,1.0,248.805,26.659,25.281,1.0,1.0,137.227,2.108,143.714,62.769,3.24,43.331,199.149,4.938,55.326,1.0,19.92,19.825,1.0,167.5,29.141,11.557,43.389,123.081,1.0,14.859,94.776,529.467,2.032,183.307,396.209,28.129,62.241,138.675,467.899,261.209,12.065,-37.38643,36.001595,-16.580742,6.6993327
7569,11307,17377,251.99,10.425,43.744,1.0,1.0,36.726,14.116,80.343,4.798,63.022,4.383,40.544,5.74,1.0,202.133,81.399,6.781,7.011,1.0,75.705,3.215,97.842,40.2,2.12,28.092,183.668,7.564,50.799,95.118,41.364,39.906,1.0,152.063,81.585,8.918,73.175,166.067,1.0,6.775,96.69,464.468,1.0,241.266,231.538,24.938,60.966,324.139,207.087,125.492,15.226,-44.502815,-21.64957,10.488412,-1.3469126
