cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5494,6980,19378,131.47,124.083,1.0,52.273,91.635,48.25,230.939,79.53,46.068,360.819,335.873,194.197,10.146,29.363,48.815,9.575,30.414,2.951,203.608,119.579,239.0,34.64,332.129,343.985,419.088,221.697,67.908,69.489,315.579,77.343,99.65,22.823,1.0,42.625,440.077,168.456,18.187,53.927,1.0,15.745,188.236,4.686,15.36879,58.6773,4.8361564,0.30524024
5496,13110,9295,193.3,194.586,2.421,232.556,261.828,179.2,75.048,2.287,5.507,155.208,251.593,101.267,4.049,12.03,76.138,238.959,4.268,10.756,119.355,146.862,179.0,69.299,215.673,24.964,200.59,254.748,37.915,128.532,381.47,19.54,85.755,5.85,247.428,80.466,501.843,92.757,82.639,26.14,6.087,146.611,501.116,61.21,25.264942,50.999153,5.9220834,15.44018
5497,10925,1964,255.97,291.379,3.842,5.962,362.533,145.45,450.485,222.428,145.217,291.537,259.459,400.845,26.407,208.994,166.646,215.378,67.455,32.219,324.973,196.183,205.0,48.911,399.478,291.564,36.716,423.203,280.166,96.649,220.993,207.126,205.246,130.725,13.08,61.545,246.722,236.126,159.981,143.903,116.974,95.002,290.476,136.166,-7.4212856,-12.252377,-13.191381,-5.88462
5498,5931,13117,150.23,168.297,1.0,201.131,276.933,55.0,108.824,80.817,7.009,193.201,245.974,111.049,3.033,1.0,28.323,191.796,1.0,10.756,145.434,69.209,88.0,57.066,225.494,24.964,259.416,161.991,59.833,137.979,303.888,9.725,253.876,8.274,271.588,76.682,301.774,92.757,86.935,14.232,10.156,196.376,416.121,85.786,24.014359,55.702682,7.548281,14.9976015
5499,1952,15867,369.82,84.648,1.0,44.003,115.804,10.45,246.528,212.129,59.588,170.852,217.881,218.652,4.049,4.151,72.723,41.732,7.537,1.0,74.22,153.159,163.0,34.64,278.812,108.838,41.968,172.653,34.454,71.851,195.486,16.269,185.794,8.274,2.208,69.114,305.802,198.277,59.006,14.232,47.796,316.183,157.44,2.229,3.4452744,82.34279,14.229414,-3.3426595
5500,5815,6816,157.62,142.007,26.579,19.194,296.068,63.1,279.005,441.281,28.041,269.188,245.974,438.75,17.26,18.333,385.231,157.496,81.617,51.73,100.298,183.59,91.0,65.221,361.594,158.264,177.479,173.719,137.122,114.362,176.356,40.262,77.419,19.186,14.288,101.278,340.714,285.445,84.787,32.756,76.281,34.177,446.916,114.048,-20.653706,27.86579,2.385039,-4.6468496
5501,14612,5129,164.87,275.844,2.421,340.065,287.004,168.4,164.685,114.289,22.032,225.607,320.141,216.207,7.098,29.363,173.477,251.822,27.146,38.072,225.675,141.616,252.0,81.532,261.975,27.96,207.943,308.057,55.218,78.936,380.407,55.531,298.338,16.761,5.832,69.114,734.137,209.746,93.381,26.14,22.364,386.223,541.766,173.03,-11.722265,36.069336,-4.0589724,13.14916
5502,3173,19156,188.75,78.673,1.0,15.886,71.494,3.7,741.481,176.082,40.059,155.208,226.871,227.212,2.016,1.0,135.908,20.294,24.967,1.0,162.485,134.27,107.0,21.388,569.251,141.789,23.06,169.455,19.457,49.415,144.473,12.997,196.91,7.062,2.208,55.869,159.444,285.445,50.413,7.616,86.454,163.199,53.968,7.144,-69.24213,46.241837,19.118597,-7.7726927
5503,4392,16389,355.75,95.403,1.0,78.737,112.783,34.75,364.745,158.059,52.077,52.403,294.295,124.499,15.228,19.909,175.185,35.3,15.162,4.902,203.608,297.972,104.0,29.543,292.843,99.852,27.262,111.882,78.29,77.755,174.231,29.356,149.669,42.221,1.0,23.705,266.863,404.729,50.413,32.756,8.121,111.59,145.122,12.059,25.76519,38.49513,14.306559,-6.7060237
5504,6916,6691,321.78,206.536,3.842,179.629,278.948,195.4,154.293,55.07,26.538,306.064,396.555,180.747,16.244,16.757,64.185,301.129,70.723,38.072,174.521,169.949,157.0,74.396,245.138,222.667,393.877,346.439,50.604,62.404,357.027,11.906,345.579,16.761,58.983,154.256,578.379,371.467,59.006,30.11,7.104,130.022,504.811,83.328,2.9195175,31.219131,-3.0980046,6.8027263
5505,614,1272,78.74,59.554,2.421,217.671,276.933,71.2,202.359,46.058,11.516,284.832,215.633,58.47,4.049,5.727,6.123,78.176,15.162,86.852,49.145,79.703,119.0,38.717,160.952,167.25,201.64,186.513,45.99,28.16,194.423,5.362,144.111,2.212,5.832,131.551,278.948,288.886,1.0,23.494,1.0,50.766,359.457,1.0,8.815119,55.191948,4.9987135,3.5134091
