cell,x,y,area µm²,ATG7,ApoE,TMEM119,E_9,IBA1,PSD95,HLA-DR,Neurofilament,CD163,CD14,CD11b,CD34,AQP4,E_8,CD3e,CD68,P2Rx7,Vimentin,Synaptophysin,Olig-2,DAPI_1,CD45,Gal3,SMA,E_7,PCNA,MAP2,E_1,GFAP,CD8,CD44,A-Beta,CD31,E_4,E_5,NeuN,E_3,CD40,S100B,HLA-A,E_10,E_6,H2A.x,CD74,Claudin5,E_2,CollagenIV,CD11c,CD4,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2646,19301,1563,94.94,101.022,82.385,1.0,33.894,433.688,4.003,16.48,17.377,7.055,25.218,16.015,35.273,37.586,51.557,24.28,15.584,13.66,271.95,60.522,2.156,86.28,10.109,140.86,7.452,88.257,150.449,1.0,57.039,82.804,9.231,3.218,13.198,123.496,146.662,107.193,3.359,108.684,88.522,156.37,205.501,4.842,48.701,13.0,9.991,233.986,37.745,187.813,75.552,20.251,59.724056,-83.80713,30.891663,-12.982974
2647,218,963,49.89,7.099,1.0,277.565,19.274,381.723,2.001,86.658,344.918,8.064,91.818,147.146,13.694,3.033,1.0,47.559,99.962,137.96,16.512,1.0,46.094,107.939,336.024,1.0,1.0,49.08,77.229,1.0,2.078,24.55,2.029,79.723,20.516,11.704,27.705,82.283,2.179,39.922,289.822,303.562,52.713,304.542,63.693,19.0,182.818,3.273,58.414,7.993,44.584,111.437,59.182693,40.362434,13.511944,19.852846
2648,13165,7087,121.52,114.44,32.537,375.362,98.463,241.736,23.022,41.249,381.766,11.091,142.273,89.088,8.616,98.563,8.078,26.304,24.959,281.825,48.571,5.826,41.469,21.305,162.945,33.599,6.377,143.46,19.054,3.671,39.796,133.622,9.231,234.95,14.418,33.111,60.479,105.882,3.359,26.948,259.815,359.441,49.187,58.635,37.798,21.0,36.964,24.867,23.966,14.986,23.939,58.752,18.665901,17.334003,-0.4768834,17.616367
2649,14350,12172,74.33,221.78,44.744,200.8,109.428,203.557,70.069,41.249,54.225,9.073,150.345,67.066,1.0,70.107,12.122,28.328,24.959,216.222,4.102,520.609,29.906,7.768,201.407,31.496,4.226,36.615,19.054,233.388,5.311,35.705,19.519,10.979,15.637,33.111,13.139,19.354,17.512,19.164,323.581,505.27,13.928,40.704,21.443,29.0,35.965,4.41,6.741,13.987,121.431,51.659,-57.46359,36.13633,-19.872053,-9.133202
2650,10189,537,121.09,420.604,45.762,356.434,239.785,389.146,61.06,36.089,154.535,5.036,168.509,127.126,1.0,111.774,7.067,20.231,68.711,387.71,19.615,613.913,24.125,294.744,366.389,50.424,3.151,6.342,193.578,145.241,5.311,54.297,23.634,1.0,32.714,67.6,14.352,15.421,50.537,17.866,132.283,573.415,39.785,47.108,25.532,36.0,119.881,8.956,40.041,28.972,153.545,55.712,-41.62326,5.8966846,-22.026602,6.233077
2651,18805,8169,114.84,262.033,34.571,179.768,149.632,249.159,50.049,35.057,89.027,11.091,112.0,78.077,1.0,49.781,13.134,24.28,53.086,182.846,3.068,379.043,29.906,166.146,175.091,39.908,3.151,66.888,72.214,139.898,6.388,10.916,20.548,14.305,4.659,39.057,28.919,44.264,22.23,15.271,274.819,484.827,12.753,54.792,52.79,32.0,66.934,3.273,4.445,18.982,96.197,55.712,-44.8758,35.138397,-15.647924,-5.892665
2652,6046,4191,173.4,91.264,4.052,549.924,66.788,504.742,9.008,63.954,459.557,14.118,350.145,197.196,54.314,97.546,3.022,25.292,172.882,196.657,33.059,1.0,63.438,48.378,516.188,18.877,8.527,173.733,122.364,1.0,27.942,70.409,6.144,271.539,65.648,67.6,85.97,61.307,3.359,32.138,154.788,322.643,110.302,410.846,48.701,18.0,84.916,30.549,107.79,13.987,105.373,148.925,68.26821,29.288364,22.885588,18.08397
2653,23860,4065,224.85,338.879,38.641,362.743,102.118,361.573,41.04,19.576,84.932,5.036,100.9,115.114,2.269,56.895,12.122,23.267,88.504,122.998,2.034,322.739,2.156,14.537,246.954,14.671,2.075,79.353,75.223,420.366,10.699,36.944,5.115,1.0,1.0,22.407,31.346,63.929,77.665,29.543,61.015,416.682,8.052,33.019,69.145,17.0,40.96,1.0,10.186,5.995,107.667,49.633,-46.245068,10.778128,-21.347383,3.6741664
2654,17698,11786,159.18,179.088,38.641,226.038,65.57,340.363,48.047,16.48,162.723,9.073,127.136,51.05,1.0,18.277,8.078,27.316,20.792,134.507,3.068,282.522,36.844,162.085,165.982,30.444,2.075,24.15,57.169,206.676,2.078,1.0,20.548,14.305,9.538,24.786,8.283,18.043,13.974,10.082,334.834,359.441,5.701,45.827,9.177,35.0,43.957,2.137,2.148,12.988,121.431,44.567,-42.525986,39.01644,-13.965167,-8.068446
2655,6859,6535,169.56,225.44,26.433,376.414,126.484,302.185,62.061,53.633,389.955,12.1,113.009,97.096,9.886,132.1,10.1,26.304,29.126,394.615,20.649,319.522,58.813,14.537,245.942,36.754,9.603,72.23,81.241,70.449,40.874,74.128,15.404,89.701,57.11,64.032,41.057,75.728,9.256,58.086,248.562,433.037,38.609,154.692,71.87,30.0,47.953,26.003,97.455,21.979,60.642,88.134,-12.424723,9.329479,-9.484868,13.696951
