class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
diffuse,1001598,6601,15554,219.66,154.01,0.12,0.6,176.457,583.75,8.209,5.167,250.176,18.172,100.697,69.688,77.034,381.193,43.979,1.0,59.35,75.327,176.686,87.556,21.881,51.318,58.364,5.098,11.132,5.26,116.945,31.415,126.397,35.057,117.33,84.25,192.703,46.706,28.328,7.438,143.884,160.229,34.105,185.431,9.008,30.927,2.982,2.384,66.198,-116.36469,14.3965,9.489838,20.28057
diffuse,1001599,11235,15585,1735.75,388.77,0.14,0.67,468.886,552.531,52.495,58.294,2.148,43.425,133.251,26.253,121.387,193.482,36.641,2.05,180.076,125.718,149.128,61.108,25.178,82.0,24.811,19.443,172.228,595.288,122.801,17.377,113.858,106.267,62.163,151.49,236.759,631.088,231.772,10.657,139.122,113.333,8.789,106.877,54.053,15.251,20.821,2.384,37.805,-43.444267,43.93228,-10.039502,-1.6948419
diffuse,1001600,17268,15560,224.63,87.98,0.36,0.8,538.437,448.469,126.647,73.92,10.186,18.172,233.964,31.303,187.916,374.83,42.931,2.05,175.045,124.458,76.786,122.419,30.673,62.364,10.741,20.468,173.241,514.345,142.71,10.358,147.297,176.444,52.569,101.327,235.569,895.529,240.881,4.219,186.75,88.249,28.263,262.277,52.051,1.0,14.875,3.767,32.547,-39.034767,46.92198,-12.981367,-2.281863
diffuse,1001601,17594,15569,309.63,132.87,0.22,0.7,407.239,473.444,100.9,85.379,1.0,23.222,153.597,18.172,87.594,172.803,39.786,3.101,117.701,66.508,114.679,40.671,14.188,39.045,4.247,16.369,168.175,537.776,102.891,9.189,59.519,101.106,24.986,76.779,161.745,90.779,283.392,7.438,26.005,60.984,14.632,176.892,13.012,1.0,12.893,3.767,25.186,-30.325314,14.0020485,-4.2433023,6.3027625
diffuse,1001602,6209,15586,309.49,186.59,0.11,0.62,140.101,311.106,2.03,2.042,368.448,25.243,39.658,9.081,60.137,368.467,20.917,1.0,26.151,36.274,90.566,128.43,13.089,63.591,15.07,4.074,6.066,5.26,60.729,11.528,88.778,31.961,27.384,44.76,62.917,18.956,4.036,9.584,105.782,52.259,26.316,71.015,4.003,46.603,2.982,2.384,23.083,-114.44838,12.344826,8.706525,20.424917
diffuse,1001603,17480,15583,219.59,118.27,0.2,0.69,435.691,510.906,91.631,99.962,1.0,24.233,153.597,17.162,80.202,148.941,33.496,2.05,124.743,48.871,59.562,25.043,9.792,24.318,3.165,16.369,198.571,622.979,78.297,10.358,51.159,113.491,9.395,85.317,160.554,89.147,256.064,7.438,26.005,30.447,8.789,209.338,11.01,1.0,18.839,1.0,19.928,-29.847916,13.865929,-4.081923,6.368092
diffuse,1001604,22691,15602,263.65,108.41,0.28,0.75,332.946,438.062,89.571,47.877,427.01,96.961,82.385,8.071,404.402,101.218,35.593,3.101,60.356,241.617,156.017,376.076,18.584,70.955,12.906,34.812,194.518,580.377,101.72,10.358,92.958,53.633,36.978,59.702,197.466,157.706,158.897,10.657,96.256,31.537,51.632,380.108,28.027,1.0,4.964,3.767,28.341,-46.565937,-6.296633,-6.900583,15.60811
diffuse,1001605,1080,15617,193.3,69.3,0.51,0.83,162.231,600.4,95.751,48.919,1.0,16.152,94.593,16.152,55.913,94.855,26.158,2.05,69.411,72.807,176.686,25.043,28.475,29.227,7.494,8.172,143.859,277.908,101.72,12.698,113.858,77.37,23.786,30.885,120.07,631.088,143.714,7.438,117.689,62.074,12.684,180.308,24.023,1.0,18.839,2.384,9.413,29.830631,45.64092,-6.758079,-9.964503
diffuse,1001606,2852,15661,1064.05,307.59,0.14,0.72,244.427,644.106,59.704,43.71,2.148,28.273,74.246,13.121,103.434,113.944,33.496,3.101,156.937,126.977,100.9,95.971,21.881,69.727,16.153,11.246,159.057,241.697,149.737,11.528,193.276,78.402,36.978,68.24,142.694,712.706,210.517,6.365,134.359,66.437,20.474,272.523,66.065,2.425,12.893,2.384,17.825,30.712284,43.187294,-6.589155,-10.5527725
diffuse,1001607,17044,15638,270.97,125.46,0.22,0.68,492.597,448.469,133.857,77.045,3.297,22.212,100.697,15.142,100.266,218.935,30.352,2.05,115.689,67.768,104.345,64.715,19.683,23.091,6.412,19.443,145.885,420.623,94.693,11.528,122.218,136.195,11.794,92.788,170.08,737.191,180.152,5.292,79.586,38.081,12.684,147.862,35.034,1.0,10.911,2.384,19.928,-41.429153,46.266674,-12.001239,-1.9543622
diffuse,1001608,16540,15669,1507.06,432.56,0.1,0.62,405.658,259.075,91.631,84.337,2.148,31.303,126.129,15.142,82.314,98.037,28.255,2.05,111.665,56.43,73.341,26.245,16.386,29.227,20.482,16.369,119.543,548.426,86.495,11.528,59.519,117.619,27.384,86.385,179.605,363.382,316.793,8.511,49.819,51.168,12.684,260.569,22.021,3.85,30.732,5.151,29.393,-41.26619,27.498558,-8.67213,2.1952415
diffuse,1001609,3634,15757,4276.95,911.91,0.06,0.61,193.845,542.125,25.718,28.084,35.448,32.313,99.679,38.374,106.603,139.396,27.207,2.05,90.538,124.458,131.903,110.397,27.376,73.409,20.482,10.222,110.424,282.168,100.549,16.207,109.678,47.441,59.765,75.712,151.029,265.441,95.131,10.657,128.405,99.155,20.474,287.892,21.02,8.126,16.857,5.151,28.341,0.0029678345,4.8966465,-4.332057,-1.6347009
diffuse,1001610,1662,15670,342.25,174.96,0.14,0.56,249.169,704.463,85.452,34.335,1.0,18.172,76.281,7.061,85.482,98.037,19.869,2.05,87.52,77.846,73.341,91.162,16.386,35.364,6.412,21.492,121.569,237.437,113.431,20.886,189.096,98.01,4.598,51.163,95.066,733.926,149.787,7.438,96.256,34.809,18.526,125.662,37.036,1.0,18.839,2.384,17.825,31.135033,44.65027,-6.919727,-10.256754
diffuse,1001611,18332,15699,1975.31,369.7,0.18,0.8,449.918,488.013,82.362,81.212,1.0,32.313,209.549,51.506,69.642,153.713,34.545,3.101,131.785,91.704,38.893,16.628,21.881,48.864,30.223,21.492,188.439,663.45,92.351,10.358,101.318,101.106,110.134,235.808,222.471,100.574,240.881,7.438,89.112,82.796,10.737,291.308,15.014,1.0,60.464,2.384,27.289,-29.798264,17.237366,-4.70024,4.962838
diffuse,1001612,22813,15678,419.35,175.88,0.17,0.67,197.006,392.275,87.511,43.71,143.386,122.213,99.679,12.111,385.393,304.836,45.027,3.101,73.435,152.173,214.579,230.614,26.277,102.864,18.317,37.886,152.978,559.077,107.576,8.019,356.293,67.05,23.786,77.846,139.122,175.662,210.517,10.657,73.633,33.718,24.368,223.0,32.031,5.275,121.911,3.767,38.857,-44.494587,-3.3622932,-6.647526,14.627134
diffuse,1001613,16767,15688,201.89,128.16,0.15,0.62,419.884,438.062,109.139,80.17,6.741,22.212,138.337,17.162,75.978,107.581,34.545,2.05,146.876,89.184,28.559,53.895,16.386,62.364,6.412,17.394,170.202,497.305,118.116,11.528,63.699,104.202,20.188,100.26,170.08,818.809,222.663,5.292,76.014,58.802,12.684,91.508,54.053,1.0,14.875,5.151,52.527,-43.37439,45.775253,-11.191174,-1.6624627
diffuse,1001614,22680,15706,761.81,240.62,0.17,0.74,209.652,296.537,66.913,44.752,246.731,59.586,93.575,30.293,331.536,109.172,46.076,2.05,35.205,235.318,228.359,259.466,24.079,50.091,85.423,29.689,145.885,505.825,86.495,15.037,105.498,66.018,89.747,58.635,203.42,134.853,180.152,10.657,96.256,68.618,45.789,296.431,19.018,3.85,2.982,9.302,37.805,-47.7498,-6.3403587,-5.74645,15.202136
diffuse,1001615,19271,15694,245.6,167.05,0.11,0.58,187.522,188.312,56.614,52.044,6.741,66.657,119.008,105.041,127.723,148.941,33.496,3.101,92.55,162.251,63.007,112.801,35.069,57.455,51.87,44.034,96.239,531.386,94.693,8.019,264.335,76.338,207.276,248.615,190.322,103.838,201.407,8.511,158.173,122.058,12.684,151.277,15.014,1.0,24.786,17.604,39.908,-46.513145,6.694954,-3.8613467,12.120702
diffuse,1001616,45,15703,192.94,68.79,0.51,0.89,344.011,354.813,75.153,52.044,23.966,89.89,134.268,25.243,39.017,72.584,58.655,3.101,108.647,41.313,100.9,32.256,38.366,139.682,10.741,9.197,130.688,222.527,177.845,17.377,164.017,146.515,6.996,69.308,179.605,564.162,122.459,17.096,186.75,144.961,6.842,134.2,51.05,1.0,40.643,5.151,77.765,26.321445,44.30278,-7.0750785,-9.28543
diffuse,1001617,17009,15700,246.95,109.33,0.26,0.77,432.53,494.256,137.976,56.211,1.0,20.192,95.61,10.091,99.21,295.291,28.255,2.05,121.725,86.665,32.003,61.108,20.782,46.409,6.412,25.591,109.411,299.209,95.864,13.868,143.117,117.619,11.794,89.587,135.549,918.382,265.173,5.292,99.828,23.903,16.579,207.631,46.045,2.425,10.911,2.384,17.825,-39.914124,47.964485,-12.24332,-3.2649884
diffuse,1001618,693,15697,256.9,104.0,0.3,0.81,198.587,529.638,72.063,32.251,3.297,19.182,84.42,11.101,48.521,93.264,19.869,1.0,55.326,69.028,131.903,28.65,29.574,30.455,8.576,7.148,113.463,237.437,130.999,12.698,46.979,84.594,10.594,31.952,114.117,454.794,122.459,6.365,110.545,45.715,10.737,120.538,28.027,1.0,20.821,3.767,23.083,28.411709,45.985023,-6.300473,-9.345804
diffuse,1001619,14495,15733,1981.42,437.29,0.13,0.78,494.177,394.356,110.169,91.629,21.669,71.708,140.372,25.243,104.49,274.611,47.124,4.151,148.888,119.419,218.024,101.982,35.069,36.591,17.235,19.443,141.833,514.345,114.603,15.037,105.498,164.06,38.178,123.74,209.373,529.882,186.225,9.584,95.066,75.162,12.684,361.323,52.051,8.126,16.857,6.535,38.857,-37.422295,32.694817,-9.485407,0.13743702
diffuse,1001620,22406,15736,477.84,193.86,0.16,0.69,102.165,53.031,128.707,6.209,847.279,245.447,39.658,10.091,480.436,413.008,34.545,2.05,27.157,444.44,4.445,673.011,26.277,68.5,13.988,32.763,142.846,26.561,120.458,8.019,67.879,58.793,69.359,45.827,193.894,195.25,7.073,10.657,98.638,20.631,174.316,183.723,53.052,3.85,4.964,6.535,27.289,-71.402275,-22.066227,-4.760165,21.66059
diffuse,1001621,17701,15719,258.11,109.17,0.27,0.77,478.37,523.394,111.199,95.796,3.297,33.324,193.272,41.404,71.754,183.938,36.641,3.101,155.931,96.743,104.345,40.671,17.485,40.273,26.976,21.492,199.584,706.051,119.287,8.019,122.218,123.811,82.551,148.288,185.559,216.471,301.611,6.365,56.963,65.346,6.842,315.215,24.023,1.0,24.786,2.384,33.599,-28.773521,15.611435,-3.4697154,5.832018
diffuse,1001622,13886,15757,502.99,248.78,0.1,0.61,506.823,284.05,90.601,85.379,5.593,60.597,111.887,19.182,92.874,360.513,38.738,6.252,151.906,113.12,259.362,105.588,39.465,37.818,9.659,19.443,149.938,586.768,112.26,17.377,59.519,143.419,20.188,116.269,170.08,423.779,155.86,10.657,106.973,47.896,18.526,142.738,45.044,3.85,16.857,6.535,36.754,-39.582565,35.145462,-10.411648,0.59826654
