class,cell,x,y,area_um2,perimeter_um,cell_circularity,cell_solidity,ATG7,P2Rx7_Park7,GalMac3,CD31,CD44,Trem2,TMEM119,CD74,AQP4,S100B,CD3e,SMA,CD8,CD14,Neurofilament,GFAP,HLA-A,P2Ry12,CD68,H2A.x,PSD-95,Synaptophysin,CD40,CollagenIV,DAPI_1,CD11c,IBA1,PCNA,CD45,ApoE,MAP2,Claudin5,CD4,CD11b,Vimentin,A-Beta,iNOS,CD34,NeuN,CD163,HLA-DR,UMAP_1,UMAP_2,TSNE_1,TSNE_2
dense,232,1218,3325,190.74,63.53,0.59,0.9,458.328,572.729,74.844,43.241,10.928,54.914,210.501,20.349,52.835,97.418,51.271,3.81,91.635,40.176,85.493,1.0,19.436,68.833,16.202,15.614,50.081,306.769,244.572,9.075,38.153,74.634,72.271,67.18,175.702,98.399,213.672,14.845,127.822,120.184,1.0,259.746,58.056,20.529,44.546,6.143,41.155,9.470858,-22.273594,9.47497,-4.9829354
dense,233,19512,3401,320.0,137.39,0.21,0.74,111.583,1.0,62.185,37.961,115.171,106.714,62.921,26.459,652.863,204.55,97.263,5.215,73.508,252.086,299.209,238.857,25.197,213.133,20.546,26.053,87.914,360.453,264.576,5.614,31.961,80.129,13.08,10.454,104.345,119.458,93.345,20.171,68.861,84.027,28.226,340.283,128.598,1.0,3.562,6.143,28.987,-51.019325,-18.360363,-4.858624,18.597584
dense,234,1796,3424,1116.71,257.26,0.21,0.76,767.587,723.291,98.052,92.874,3.482,81.343,222.885,63.119,82.679,150.984,55.549,6.62,162.129,90.037,443.343,30.952,22.893,93.5,25.975,17.702,77.689,297.432,243.396,11.382,56.729,163.653,39.655,106.047,308.574,430.083,196.882,26.561,126.709,78.67,13.566,330.002,103.701,2.502,22.773,7.429,50.889,37.975212,5.0221863,6.101228,-14.993893
dense,235,14803,3485,2813.94,662.88,0.08,0.61,797.576,324.505,113.875,71.754,50.64,89.8,182.636,73.303,176.925,330.429,76.941,5.215,57.395,155.925,115.313,115.524,35.567,149.0,62.895,28.141,78.711,446.815,219.862,14.843,95.946,160.356,109.718,70.331,208.92,116.826,339.597,27.626,127.822,121.523,80.585,84.964,98.514,7.009,24.054,38.286,60.624,5.256752,-0.14474678,2.3880043,-3.9856439
dense,236,13607,3414,234.16,78.88,0.47,0.84,767.587,696.841,130.754,64.362,20.856,84.514,339.504,82.468,184.778,582.188,74.802,6.62,114.797,296.604,55.672,94.381,44.785,198.333,33.576,28.141,92.004,379.126,297.523,14.843,77.37,209.812,177.365,81.886,247.059,252.395,135.319,20.171,296.918,200.532,36.604,557.904,127.561,2.502,11.246,7.429,67.924,49.011353,0.080005646,4.556573,-19.716524
dense,237,8293,3417,242.83,111.34,0.25,0.69,152.818,3.035,62.185,30.569,38.23,82.4,34.025,30.532,134.514,73.314,63.036,5.215,34.233,75.791,100.403,115.524,21.74,162.567,12.945,17.702,26.563,264.755,191.622,4.461,48.473,58.149,36.031,8.353,40.369,102.348,96.143,19.106,65.523,73.314,28.226,119.235,91.252,4.005,4.842,6.143,47.239,-47.085083,-34.03665,1.7136306,17.857555
dense,238,6816,3449,308.92,126.84,0.24,0.72,550.169,485.24,147.633,50.633,27.061,60.2,101.106,30.532,136.085,520.587,53.41,5.215,97.677,34.834,35.791,99.667,14.827,107.067,19.46,20.834,58.261,351.117,212.802,6.768,44.345,91.119,23.952,45.12,108.036,58.913,188.487,20.171,52.174,71.975,5.189,93.532,83.991,1.0,17.65,4.857,55.756,29.182186,-17.978977,10.973098,-2.4883587
dense,239,9126,3475,771.19,172.2,0.33,0.83,261.527,1.0,90.667,22.121,121.376,107.771,242.494,69.229,268.028,515.231,70.524,6.62,42.289,389.203,25.851,240.619,71.287,162.567,75.925,26.053,39.856,61.687,235.159,10.229,184.7,151.564,135.086,22.009,135.102,543.277,26.185,24.431,499.388,140.271,59.642,338.569,140.009,2.502,3.562,57.571,69.141,-60.944153,-22.389874,-2.2900112,23.017448
dense,240,80,3522,1370.69,336.87,0.15,0.68,803.199,729.395,107.546,66.474,13.41,91.914,275.519,46.826,114.094,317.038,81.219,8.025,192.341,136.337,85.493,112.0,43.633,94.733,28.147,19.79,123.702,248.416,319.88,18.304,69.114,175.743,32.407,138.612,334.41,224.755,208.076,25.496,157.859,100.097,34.509,100.386,119.262,5.507,9.965,11.286,50.889,37.23842,-1.1106625,6.0351176,-16.28269
dense,241,2359,3494,407.98,137.0,0.27,0.64,557.666,621.56,114.93,64.362,12.169,53.857,173.348,42.752,123.519,140.271,44.853,6.62,151.051,54.422,115.313,41.524,19.436,113.233,19.46,14.571,115.522,339.446,249.279,9.075,27.833,115.297,37.239,64.028,176.932,76.024,320.008,19.106,82.21,67.957,11.472,76.396,87.103,1.0,12.527,12.571,38.721,17.586308,-19.753035,9.169518,-7.7947617
dense,242,14181,3474,354.9,127.94,0.27,0.74,780.707,550.348,123.37,65.418,68.014,90.857,131.035,39.697,257.033,461.665,74.802,5.215,122.854,141.679,155.075,149.0,22.893,171.2,28.147,23.966,148.243,407.136,235.159,10.229,81.498,162.554,27.576,83.987,160.938,520.901,322.807,25.496,134.497,70.635,19.849,132.943,142.084,1.0,33.019,8.714,46.022,48.783394,4.2488556,2.7645233,-19.434153
dense,243,17844,3499,607.46,229.46,0.14,0.67,720.73,249.224,99.107,82.314,8.446,78.171,165.092,38.679,172.212,199.193,84.428,5.215,140.981,77.572,130.224,32.714,18.284,195.867,22.717,25.009,130.86,628.876,241.042,10.229,21.64,155.96,26.368,80.836,197.847,69.443,339.597,20.171,58.849,89.383,19.849,232.329,101.626,1.0,24.054,6.143,43.588,-13.425804,-14.966564,5.0588083,7.2578826
dense,244,2010,3479,256.9,71.21,0.64,0.88,439.585,664.287,92.777,77.034,3.482,63.371,141.355,44.789,101.528,124.201,42.714,6.62,138.967,36.615,95.433,9.81,20.588,81.167,15.116,15.614,92.004,411.804,252.809,12.536,25.769,99.911,8.248,60.877,153.557,127.356,208.076,23.366,74.423,47.87,5.189,372.84,86.065,1.0,8.685,6.143,26.553,12.099459,-19.22871,8.914193,-5.2961707
dense,245,9365,3513,311.48,144.73,0.19,0.63,75.972,1.0,25.263,20.008,69.255,70.771,46.409,37.661,134.514,153.662,64.106,3.81,17.113,236.059,5.97,258.238,24.045,120.633,32.49,27.097,7.135,136.379,179.855,4.461,81.498,46.059,65.023,6.252,47.751,141.834,37.378,18.041,93.335,108.131,72.208,170.642,94.364,31.045,3.562,8.714,37.504,-57.92545,-31.855152,-0.42738435,20.455063
dense,246,8042,3498,257.4,107.86,0.28,0.75,465.826,208.532,128.644,60.137,45.676,91.914,69.114,34.606,231.901,600.936,71.593,5.215,55.381,114.968,10.94,159.571,37.872,151.467,21.632,27.097,35.766,351.117,189.269,30.993,52.601,96.614,31.2,40.918,109.266,144.466,98.941,37.211,124.484,106.792,36.604,264.887,101.626,10.014,12.527,7.429,46.022,-37.608994,-21.6352,0.18957739,12.614895
dense,247,8155,3498,205.16,69.39,0.54,0.86,385.231,121.043,105.436,31.625,45.676,94.029,53.633,28.495,235.042,367.925,50.201,5.215,49.339,134.556,45.731,149.0,22.893,166.267,20.546,26.053,56.216,276.425,199.859,10.229,60.857,88.921,16.704,25.161,67.436,162.893,87.748,20.171,114.472,94.74,19.849,393.403,101.626,4.005,4.842,6.143,50.889,-38.892647,-24.910706,1.737723,14.064895
dense,248,18868,3502,209.36,86.57,0.35,0.79,396.477,5.069,87.503,39.017,10.928,82.4,83.562,26.459,225.618,217.941,78.011,3.81,69.48,49.08,90.463,96.143,18.284,203.267,20.546,30.229,52.126,435.145,218.686,5.614,48.473,86.723,33.615,28.312,117.878,73.391,152.109,20.171,46.611,88.044,11.472,153.506,98.514,1.0,7.404,6.143,28.987,-31.277645,-25.176044,3.2023163,12.7431755
dense,249,15196,3516,260.66,87.14,0.43,0.82,756.341,70.177,66.404,71.754,17.133,89.8,219.789,48.862,198.915,327.751,86.567,5.215,40.275,123.872,244.537,78.524,25.197,147.767,36.834,26.053,31.676,271.757,189.269,10.229,100.074,159.257,104.886,67.18,205.229,449.826,194.084,26.561,171.208,108.131,9.377,294.017,93.327,1.0,8.685,12.571,48.456,10.229385,8.428776,-15.943399,0.14685176
dense,250,18770,3543,702.4,222.49,0.18,0.7,435.837,17.277,81.173,60.137,14.651,103.543,207.405,107.927,213.052,137.592,107.959,5.215,101.706,111.406,160.045,53.857,22.893,198.333,41.177,40.668,71.554,521.507,222.216,7.921,93.882,126.287,149.582,117.603,221.223,106.296,129.723,19.106,112.247,129.558,11.472,304.298,101.626,1.0,12.527,12.571,64.274,-26.308905,-21.758636,3.506558,10.687251
dense,251,15681,3565,1071.3,256.65,0.2,0.83,848.182,511.69,129.699,53.801,59.327,85.571,254.878,47.844,241.325,480.413,81.219,5.215,87.607,189.759,189.866,145.476,33.263,152.7,47.692,26.053,82.801,367.456,221.039,10.229,64.986,179.04,74.687,53.524,189.235,291.881,297.622,20.171,123.372,106.792,32.415,338.569,101.626,1.0,18.931,16.429,50.889,44.26447,-4.6415443,5.0550833,-18.924786
dense,252,5992,3539,464.34,149.42,0.26,0.7,593.278,491.344,90.667,81.258,9.687,76.057,152.708,32.569,73.255,110.81,41.645,6.62,100.699,33.053,30.821,23.905,18.284,115.7,15.116,23.966,90.982,453.818,225.746,10.229,19.576,107.604,16.704,71.382,167.09,83.921,292.025,22.301,67.748,58.583,13.566,206.626,77.766,1.0,12.527,4.857,37.504,5.144806,-22.994476,9.160961,-4.5758905
dense,253,839,3551,286.11,94.92,0.4,0.83,653.255,678.53,107.546,61.193,3.482,76.057,246.622,64.138,98.387,89.383,69.454,5.215,165.15,150.583,130.224,60.905,22.893,70.067,55.293,18.746,83.824,185.395,257.516,13.689,81.498,141.673,68.647,117.603,363.937,398.494,205.277,21.236,170.096,106.792,34.509,324.861,91.252,1.0,12.527,22.857,50.889,35.657288,7.4828815,2.7032204,-14.487701
dense,254,17586,3594,780.64,223.02,0.2,0.73,773.21,314.332,91.722,80.202,10.928,76.057,247.654,48.862,195.774,161.697,73.732,6.62,112.783,118.529,249.507,36.238,21.74,186.0,25.975,28.141,126.77,719.907,211.625,13.689,40.217,182.337,68.647,72.432,210.15,114.194,359.185,19.106,78.873,104.114,7.283,294.017,88.14,1.0,20.212,7.429,47.239,-11.3065605,-13.3325615,4.9316406,6.2032228
dense,255,17726,3555,264.08,75.07,0.59,0.9,664.501,328.574,94.887,65.418,24.579,75.0,138.259,34.606,161.217,252.759,74.802,5.215,121.847,81.134,219.687,20.381,17.131,192.167,18.374,22.922,124.725,603.201,245.749,11.382,34.025,151.564,17.912,57.726,160.938,97.083,250.05,16.975,62.186,65.279,13.566,371.127,103.701,1.0,21.492,6.143,37.504,-10.212788,-14.4149475,5.245153,6.6338325
dense,256,2367,3576,367.26,109.55,0.38,0.77,610.146,790.434,118.095,85.482,7.205,59.143,166.124,40.716,107.811,150.984,51.271,6.62,134.939,45.519,150.104,30.952,17.131,94.733,16.202,16.658,118.59,390.797,244.572,12.536,25.769,116.396,10.664,73.483,174.472,79.972,350.79,21.236,79.986,49.209,11.472,148.365,88.14,1.0,16.369,7.429,33.854,20.02385,-21.536533,9.986859,-8.225982
dense,257,20834,3587,270.97,147.87,0.16,0.58,98.463,1.0,177.17,123.499,27.061,121.514,4.096,35.624,1.0,9.035,121.864,252.506,100.699,25.93,1.0,1.0,304.042,168.733,33.576,19.79,38.833,1.0,389.304,265.17,172.316,472.475,26.368,144.915,13.303,257.66,1.0,195.901,100.01,114.827,302.585,191.204,148.308,1.0,15.088,26.714,58.19,-7.701538,56.86727,2.5693505,21.34703
dense,258,18372,3606,563.19,220.01,0.15,0.67,649.507,161.735,95.942,84.426,13.41,89.8,185.732,34.606,258.604,124.201,109.029,6.62,136.953,93.599,264.418,69.714,19.436,195.867,23.803,31.273,133.927,680.227,221.039,12.536,21.64,184.535,28.784,101.845,254.441,104.98,336.798,21.236,83.323,89.383,24.038,347.137,105.776,1.0,24.054,7.429,43.588,-14.943974,-15.736145,4.6446853,7.5492463
dense,259,20924,3600,320.79,99.44,0.41,0.83,158.441,1.0,128.644,109.771,3.482,191.286,3.064,55.991,1.0,1.0,167.857,433.759,96.67,2.781,1.0,1.0,234.907,150.233,63.98,20.834,81.779,1.0,288.11,239.791,236.302,724.149,125.422,177.479,13.303,182.636,1.0,203.356,184.558,180.445,271.17,114.094,138.972,1.0,17.65,37.0,123.898,-7.613266,57.017532,3.1401207,21.402176
dense,260,3580,3603,209.64,79.6,0.42,0.78,587.655,652.079,110.711,71.754,8.446,57.029,189.861,39.697,65.401,75.992,40.575,5.215,137.96,65.107,115.313,16.857,24.045,99.667,22.717,16.658,105.297,316.105,268.106,9.075,29.897,143.871,22.744,77.685,205.229,199.747,387.168,18.041,163.421,73.314,13.566,254.605,96.439,1.0,16.369,6.143,52.106,14.564079,-22.67189,9.537616,-7.260857
dense,261,119,3617,227.97,78.66,0.46,0.81,709.484,668.356,87.503,73.866,13.41,71.829,238.366,41.734,96.816,167.054,80.15,6.62,189.32,102.503,115.313,52.095,21.74,137.9,17.288,19.79,136.995,269.423,258.693,15.997,52.601,127.386,17.912,119.703,293.81,127.356,482.311,16.975,122.259,86.705,15.66,461.945,97.477,1.0,20.212,7.429,49.672,18.8073,-21.74598,12.566459,-7.8124447
dense,262,357,3676,1348.52,267.5,0.24,0.71,612.021,631.733,87.503,68.586,24.579,46.457,192.957,37.661,126.66,284.898,60.897,3.81,152.058,104.283,120.284,76.762,32.111,102.133,30.318,15.614,109.387,222.741,245.749,19.457,21.64,110.901,33.615,100.795,240.908,56.281,247.252,26.561,92.223,77.331,24.038,76.396,83.991,14.52,24.054,10.0,38.721,22.861975,-18.117672,10.182789,-10.956705
dense,263,19792,3652,432.14,181.21,0.17,0.67,152.818,1.0,70.624,35.849,276.501,80.286,63.954,22.385,575.896,389.351,89.776,3.81,58.402,355.369,120.284,332.238,21.74,199.567,28.147,39.624,84.846,414.138,269.283,4.461,42.281,74.634,33.615,15.707,162.169,72.075,93.345,15.91,101.122,104.114,78.491,376.268,117.187,16.023,3.562,6.143,33.854,-53.42714,-18.572958,-4.759876,19.85933
dense,264,17657,3653,230.82,75.28,0.51,0.85,658.878,393.682,110.711,85.482,10.928,76.057,146.515,41.734,120.377,234.011,92.985,5.215,117.819,79.353,194.836,25.667,17.131,177.367,20.546,26.053,139.04,670.89,221.039,11.382,42.281,164.752,19.12,59.826,196.617,72.075,328.403,16.975,54.399,86.705,13.566,252.892,100.589,1.0,20.212,6.143,46.022,-9.324818,-13.62384,5.0354996,6.1757126
dense,265,14672,3684,783.56,165.54,0.36,0.83,799.45,352.99,136.029,43.241,50.64,88.743,254.878,59.046,211.481,619.684,88.707,6.62,64.445,239.62,130.224,76.762,49.394,166.267,131.304,23.966,86.892,276.425,241.042,12.536,153.74,169.149,113.342,44.069,170.781,481.415,154.908,23.366,176.771,167.054,47.075,470.513,118.224,4.005,9.965,24.143,72.792,49.137497,2.537508,3.9462907,-19.801426
dense,266,8937,3683,719.74,208.68,0.21,0.76,259.653,45.762,78.008,43.241,39.471,102.486,67.05,34.606,156.505,196.515,52.34,6.62,47.325,155.925,30.821,154.286,27.502,161.333,17.288,22.922,32.698,257.752,206.919,7.921,31.961,76.832,23.952,15.707,69.897,144.466,110.134,22.301,76.648,75.992,24.038,237.47,118.224,1.0,3.562,7.429,46.022,-41.614082,-29.179237,2.244837,16.12768
dense,267,18944,3685,380.98,139.21,0.25,0.71,417.094,9.138,85.393,42.185,5.964,83.457,85.626,31.55,233.472,228.654,91.915,5.215,70.487,61.545,90.463,66.19,14.827,168.733,18.374,28.141,62.351,437.479,192.799,6.768,54.665,114.198,40.863,38.817,128.951,91.818,112.933,21.236,52.174,93.401,19.849,335.142,91.252,1.0,12.527,6.143,44.805,-31.088596,-24.052345,3.185868,12.58129
dense,268,12934,3688,421.27,117.83,0.38,0.82,851.931,682.599,122.315,66.474,121.376,106.714,307.511,61.083,222.476,836.625,68.384,8.025,129.903,225.374,45.731,201.857,43.633,195.867,36.834,29.185,97.117,276.425,284.58,11.382,98.01,219.703,101.262,74.533,183.084,452.458,152.109,26.561,278.006,134.914,26.132,345.424,152.458,2.502,6.123,10.0,60.624,52.11489,-0.6286545,4.161383,-20.437943
dense,269,1485,3703,279.64,99.04,0.36,0.8,642.009,786.365,107.546,61.193,207.005,67.6,168.188,33.587,110.953,220.619,67.315,5.215,152.058,77.572,229.627,124.333,26.349,95.967,14.03,21.878,108.364,327.776,256.339,14.843,34.025,108.703,14.288,85.038,210.15,89.186,412.353,20.171,89.998,74.653,30.321,160.36,89.178,2.502,16.369,6.143,39.938,23.962704,-18.95081,9.87059,-9.991705
dense,270,5666,3719,214.61,80.17,0.42,0.77,475.197,497.448,75.899,73.866,4.723,60.2,134.131,38.679,48.123,54.566,57.688,5.215,129.903,31.273,55.672,4.524,11.37,99.667,16.202,17.702,94.049,374.458,228.099,7.921,27.833,103.208,11.872,77.685,167.09,76.024,322.807,16.975,65.523,63.94,11.472,177.496,77.766,1.0,49.669,6.143,35.071,6.887413,-22.667885,9.007309,-5.1561804
dense,271,4085,3825,1854.29,401.49,0.14,0.69,597.026,680.564,103.326,59.081,7.205,73.943,203.277,51.917,98.387,201.871,46.993,5.215,133.931,100.722,130.224,50.333,24.045,100.9,28.147,16.658,101.207,323.107,236.336,10.229,69.114,147.168,48.111,77.685,205.229,219.49,395.563,18.041,125.597,73.314,15.66,126.089,98.514,1.0,41.985,11.286,47.239,12.183107,-6.8346815,4.6370363,-6.0018926
dense,272,18468,3756,233.45,91.05,0.35,0.78,557.666,98.662,78.008,68.586,18.374,78.171,142.387,36.642,200.486,73.314,100.472,5.215,111.776,49.08,184.896,64.429,14.827,216.833,31.404,36.492,142.107,624.208,209.272,12.536,40.217,143.871,28.784,72.432,211.381,104.98,264.042,19.106,54.399,97.418,13.566,323.148,94.364,7.009,17.65,6.143,37.504,-20.04586,-18.705421,4.1694274,9.039808
dense,273,8831,3759,195.92,85.41,0.34,0.7,353.368,64.073,81.173,47.465,36.989,97.2,61.889,33.587,172.212,188.48,43.784,5.215,56.388,118.529,40.761,145.476,22.893,167.5,16.202,21.878,31.676,306.769,188.092,10.229,29.897,102.109,16.704,17.808,68.666,129.988,104.538,22.301,75.536,69.296,32.415,198.058,107.85,1.0,3.562,6.143,43.588,-38.315742,-28.770042,3.0954268,14.446392
dense,274,4326,3793,428.73,156.66,0.22,0.74,516.432,574.764,109.656,48.521,8.446,67.6,220.821,47.844,107.811,185.802,49.132,6.62,116.811,159.487,145.134,30.952,28.654,103.367,23.803,16.658,76.666,239.079,248.102,13.689,93.882,140.574,74.687,88.189,215.071,398.494,191.286,20.171,176.771,77.331,13.566,235.756,110.963,1.0,15.088,11.286,47.239,34.024197,7.98289,2.264316,-13.81446
dense,275,16072,3794,208.01,72.23,0.5,0.85,718.856,515.76,111.766,74.922,32.025,65.486,386.977,145.606,233.472,381.316,95.124,3.81,139.974,273.455,140.164,71.476,39.024,192.167,46.607,34.404,97.117,414.138,266.929,14.843,161.996,202.119,201.525,90.29,234.756,628.83,196.882,23.366,224.607,145.627,36.604,67.828,118.224,8.511,15.088,12.571,89.827,49.12592,6.6800423,1.7331994,-19.042439
dense,276,8495,3823,221.01,95.93,0.3,0.76,443.334,230.912,103.326,58.025,24.579,110.943,84.594,34.606,139.226,199.193,53.41,5.215,83.579,70.449,50.701,103.19,25.197,140.367,15.116,25.009,48.036,390.797,177.502,9.075,29.897,102.109,14.288,38.817,92.042,101.032,210.874,23.366,61.073,80.009,17.755,206.626,113.037,1.0,22.773,6.143,47.239,-27.994997,-26.705406,4.670496,12.013521
dense,277,10883,3825,307.28,93.04,0.45,0.81,372.111,5.069,108.601,15.784,349.719,89.8,46.409,23.404,326.146,718.78,46.993,6.62,51.353,293.043,130.224,261.762,42.481,174.9,22.717,26.053,60.306,80.36,216.332,6.768,48.473,82.327,34.823,22.009,37.909,487.996,14.992,23.366,247.969,71.975,34.509,364.273,125.486,1.0,3.562,7.429,46.022,-62.535995,-22.219585,-5.288489,20.710796
dense,278,10429,3855,225.56,77.28,0.47,0.82,70.349,1.0,43.196,18.952,112.689,68.657,4.096,21.367,191.061,209.906,51.271,3.81,46.318,168.39,45.731,182.476,18.284,163.8,12.945,16.658,52.126,92.03,204.565,3.307,46.409,27.376,19.12,3.101,24.376,195.798,28.983,20.171,69.973,74.653,17.755,96.959,115.112,1.0,2.281,4.857,33.854,-58.27391,-32.3384,-0.61422896,20.583033
dense,279,17247,3885,767.28,185.03,0.28,0.8,737.598,521.864,108.601,87.594,20.856,77.114,231.142,60.064,170.642,225.976,98.333,5.215,145.009,191.54,319.09,46.81,36.72,190.933,48.778,23.966,118.59,563.521,246.926,10.229,64.986,210.911,73.479,67.18,260.592,270.822,350.79,20.171,140.059,113.488,21.943,294.017,108.888,1.0,16.369,12.571,76.442,1.8021317,-7.2710876,5.536257,3.030386
dense,280,18375,3890,544.5,181.3,0.21,0.73,685.118,167.839,90.667,69.642,8.446,94.029,241.462,61.083,184.778,97.418,104.751,6.62,170.185,180.856,135.194,45.048,36.72,219.3,50.95,27.097,138.017,488.829,257.516,9.075,145.483,221.901,102.47,101.845,338.101,641.992,233.261,20.171,172.321,156.34,24.038,374.554,143.121,1.0,20.212,11.286,84.96,11.624748,9.554932,-15.849835,-0.5215622
dense,281,7986,3906,908.99,247.62,0.19,0.67,645.758,629.699,113.875,56.969,161.088,98.257,108.331,36.642,158.075,349.177,57.688,5.215,111.776,109.626,75.552,223.0,25.197,167.5,24.889,22.922,76.666,362.787,210.449,11.382,48.473,154.861,51.735,45.12,188.005,174.739,227.664,21.236,123.372,89.383,32.415,38.698,108.888,1.0,18.931,13.857,67.924,30.213013,-13.323593,10.038606,-13.127927
dense,282,84,3902,285.89,88.87,0.45,0.79,649.507,682.599,85.393,79.146,7.205,57.029,207.405,32.569,70.113,231.332,64.106,5.215,194.355,98.941,105.373,46.81,20.588,114.467,16.202,17.702,136.995,262.421,251.633,13.689,44.345,125.188,13.08,108.148,274.126,58.913,437.538,14.845,112.247,73.314,15.66,282.022,92.29,1.0,36.862,6.143,52.106,21.426117,-20.533186,10.510875,-8.856781
dense,283,12567,4050,6079.57,807.27,0.12,0.82,833.188,454.721,131.809,61.193,250.44,121.514,130.003,60.064,139.226,496.483,75.872,9.43,119.833,262.77,219.687,163.095,67.83,183.533,118.274,14.571,26.563,288.096,193.975,9.075,69.114,207.614,92.807,50.372,267.974,306.36,28.983,23.366,148.959,126.879,24.038,357.419,118.224,1.0,4.842,22.857,260.18,10.96454,3.2870693,0.58188075,-4.2915397
dense,284,11995,3929,269.12,97.16,0.36,0.72,642.009,633.768,159.237,60.137,138.75,88.743,73.242,37.661,272.741,916.973,73.732,6.62,105.734,342.904,35.791,274.095,50.547,184.767,29.233,32.317,124.725,330.11,210.449,9.075,38.153,170.248,32.407,47.221,87.121,176.055,208.076,22.301,211.257,92.062,49.17,184.35,121.336,5.507,3.562,8.714,60.624,50.061134,-4.220907,5.6755633,-20.56305
dense,285,14000,3979,1554.04,228.0,0.38,0.84,750.719,568.66,110.711,69.642,213.21,80.286,281.711,72.284,238.184,531.3,73.732,5.215,94.656,248.524,95.433,163.095,55.156,162.567,91.127,23.966,102.229,432.811,258.693,13.689,81.498,244.98,124.214,86.088,336.871,205.012,308.815,22.301,184.558,189.819,65.925,139.798,108.888,4.005,20.212,51.143,100.778,47.719193,-3.4958248,5.377601,-19.179094
dense,286,14284,3956,229.82,113.45,0.22,0.63,831.313,617.491,121.26,82.314,25.82,84.514,292.031,49.881,206.769,504.517,69.454,6.62,121.847,184.417,130.224,97.905,20.588,188.467,31.404,22.922,122.68,388.463,222.216,9.075,95.946,168.05,80.727,69.281,192.926,434.032,219.269,21.236,187.895,144.288,7.283,170.642,135.86,4.005,15.088,8.714,78.876,49.080315,1.4715405,3.8482077,-19.185572
dense,287,2768,3984,614.42,148.28,0.35,0.72,677.621,696.841,103.326,65.418,5.964,57.029,248.686,58.028,104.67,279.542,59.828,5.215,114.797,122.091,160.045,22.143,34.415,81.167,97.642,16.658,88.937,351.117,232.806,13.689,48.473,155.96,90.391,94.492,287.659,277.403,247.252,18.041,186.783,132.236,15.66,196.345,82.953,1.0,12.527,8.714,54.54,37.2993,-1.8456268,4.684926,-16.104822
dense,288,6683,3979,443.58,133.9,0.31,0.8,619.518,643.941,115.985,79.146,45.676,62.314,222.885,61.083,150.222,365.247,67.315,6.62,129.903,130.995,145.134,131.381,67.83,135.433,48.778,31.273,95.072,390.797,255.163,9.075,50.537,148.267,69.855,68.23,261.823,166.842,264.042,19.106,247.969,118.845,11.472,235.756,86.065,1.0,11.246,6.143,201.773,38.63646,-5.0572777,5.817149,-17.027817
dense,289,17570,4032,876.58,294.01,0.13,0.72,754.467,574.764,123.37,82.314,38.23,69.714,186.764,46.826,173.783,282.22,96.194,5.215,147.023,141.679,165.015,64.429,25.197,214.367,27.061,26.053,131.882,647.549,244.572,11.382,60.857,191.129,56.567,68.23,221.223,268.19,314.412,16.975,86.66,101.436,13.566,228.902,120.299,1.0,13.808,16.429,52.106,1.9036293,-6.2025948,4.952357,3.6069026
dense,290,15763,4035,1363.02,235.54,0.31,0.85,874.422,275.674,74.844,89.706,14.651,106.714,202.245,74.321,92.104,142.949,90.846,8.025,110.769,230.717,60.642,46.81,30.958,160.1,55.293,18.746,20.428,362.787,199.859,7.921,126.907,250.475,136.294,51.423,360.246,385.332,73.756,27.626,127.822,180.445,32.415,425.961,93.327,2.502,6.123,20.286,204.207,11.396187,6.989231,-7.5095406,-5.6302733
dense,291,1226,4009,319.01,93.39,0.46,0.82,550.169,593.075,93.832,56.969,82.906,65.486,304.415,94.688,115.665,252.759,55.549,5.215,219.531,159.487,75.552,113.762,37.872,107.067,71.582,30.229,109.387,243.748,305.76,11.382,143.419,150.465,142.334,166.975,341.792,255.028,227.664,16.975,215.707,290.255,38.698,213.48,112.0,2.502,36.862,24.143,88.61,37.423115,4.225872,3.925122,-15.573552
dense,292,16210,4046,459.72,167.71,0.21,0.7,621.392,597.145,122.315,60.137,24.579,94.029,175.412,38.679,238.184,458.987,84.428,5.215,118.826,130.995,125.254,62.667,24.045,160.1,22.717,26.053,92.004,460.82,225.746,9.075,93.882,169.149,37.239,55.625,119.108,205.012,168.899,16.975,137.834,86.705,13.566,365.986,109.925,1.0,34.3,12.571,44.805,41.266197,-7.6060047,6.100391,-18.051987
dense,293,18206,4033,204.31,84.53,0.36,0.78,831.313,342.817,105.436,85.482,9.687,75.0,140.323,40.716,175.354,242.046,86.567,3.81,149.037,74.011,100.403,59.143,17.131,172.433,20.546,25.009,150.288,647.549,224.569,12.536,25.769,198.822,22.744,89.24,251.98,61.545,222.067,21.236,58.849,86.705,9.377,107.24,103.701,1.0,13.808,6.143,46.022,-10.570951,-15.1244545,5.995156,6.4226737
dense,294,1622,4044,240.48,74.14,0.55,0.88,540.797,623.595,92.777,90.762,19.615,68.657,413.81,58.028,70.113,169.732,72.663,6.62,183.277,143.46,254.478,23.905,32.111,131.733,24.889,18.746,112.454,341.78,301.053,14.843,27.833,138.376,89.183,82.937,330.719,136.569,308.815,18.041,163.421,140.271,11.472,448.237,99.551,1.0,34.3,8.714,55.756,21.169167,-16.512032,11.962008,-11.152862
dense,295,9122,4046,252.35,65.39,0.74,0.93,362.739,293.986,110.711,42.185,29.543,82.4,69.114,35.624,126.66,325.072,71.593,5.215,89.621,86.476,5.97,75.0,22.893,168.733,14.03,17.702,49.058,374.458,242.219,6.768,36.089,98.812,9.456,24.11,64.975,85.237,160.504,18.041,77.761,80.009,24.038,306.012,124.449,1.0,16.369,6.143,32.637,-29.793726,-25.831879,2.6921184,13.334049
