cell,x,y,area µm²,CD40,SMA,MAP2,CD8,CD31,Synaptophysin,AQP4,CD34,PCNA,IBA1,S100B,CD163,Claudin5,GFAP,PSD-95,Trem2,NeuN,HLA-DR,CD14,CD11b,CD3e,P2Rx7(Park7),DAPI_1,CD11c,CD4,GalMac3,ApoE,CD45,HLA-A,CD68,Vimentin,A-Beta,H2A.x,TMEM119,CD74,P2Ry12,CollagenIV,CD44,Neurofilament,ATG7,iNOS,UMAP_1,UMAP_2,TSNE_1,TSNE_2
5271,6783,19383,185.62,42.33,1.0,108.694,94.906,3.612,305.695,185.094,10.165,213.985,351.077,180.402,2.009,2.549,43.429,17.65,10.816,3.678,57.282,139.721,109.108,25.415,327.502,143.513,102.138,181.375,39.0,62.55,206.829,16.219,74.611,15.054,1.0,30.168,351.015,248.255,45.074,23.02,1.0,106.505,197.842,2.224,17.354872,17.049316,13.985765,-5.432925
5273,4066,13228,206.66,140.34,1.0,179.545,257.743,64.988,120.88,1.0,7.547,152.118,290.24,121.421,20.173,1.0,51.143,75.925,1.0,13.052,72.357,160.426,205.204,58.987,199.582,12.288,241.462,144.019,45.0,64.917,374.196,7.522,156.108,3.342,2.528,35.029,550.328,112.986,57.666,14.907,6.066,170.797,328.69,23.037,24.24561,-0.8307209,13.8263445,1.6801401
5274,10299,10450,173.68,160.415,1.0,52.013,186.814,44.094,120.88,165.784,2.309,95.322,433.26,88.244,4.027,2.549,93.571,136.281,48.987,3.678,80.397,109.699,119.118,51.866,171.561,214.064,96.978,221.933,38.0,58.999,246.332,19.48,71.982,20.91,1.0,93.365,420.288,294.824,91.246,18.384,21.264,2.649,146.64,51.195,7.7042675,14.088173,6.2160115,-7.078468
5275,12463,8930,151.08,187.574,1.0,145.536,283.717,159.012,105.895,2.287,10.165,176.459,341.471,98.074,4.027,8.744,61.429,177.906,15.178,11.713,124.619,158.355,201.2,55.935,191.054,60.263,181.604,260.356,29.0,56.632,355.484,22.741,169.253,1.0,5.583,67.843,528.453,251.582,59.765,20.702,3.026,113.099,376.478,48.746,-9.372822,-32.109188,0.79951185,11.149844
5276,8503,358,135.02,215.915,2.12,6.668,245.755,40.176,449.301,123.3,74.321,242.383,295.577,321.712,39.345,28.879,82.0,240.344,30.447,2.339,248.237,217.364,187.186,45.762,322.629,60.263,69.114,354.279,32.0,28.224,408.501,54.266,104.843,15.054,4.055,64.197,253.788,300.367,91.246,23.02,262.402,276.302,261.559,43.849,16.673096,-74.60419,-13.447111,-11.547706
5277,1182,3193,147.39,82.479,5.48,117.196,269.731,172.071,132.119,134.887,10.165,239.34,193.115,111.59,2.009,30.428,47.286,188.312,19.54,33.139,146.729,115.911,142.141,53.9,193.49,48.975,181.604,197.385,59.0,54.264,261.925,41.221,99.586,12.712,11.693,47.182,239.204,338.065,24.086,21.861,4.04,75.183,384.443,12.018,-5.0999107,-7.7818565,5.0692854,3.129756
5278,9904,5550,276.16,210.011,2.12,210.719,316.684,152.482,235.765,29.322,33.733,258.61,234.74,159.513,29.255,19.586,57.571,225.775,31.537,7.696,78.387,107.629,129.128,57.969,278.771,153.39,208.437,212.327,46.0,69.652,320.139,40.134,119.303,9.198,5.583,78.781,408.135,186.164,61.863,26.497,8.092,119.693,373.065,138.118,-7.7346992,-21.014751,3.9983861,7.2380147
5279,7105,15416,145.26,132.074,1.0,2.417,82.918,76.741,233.267,83.392,44.207,197.757,410.846,117.734,52.464,180.665,44.714,13.488,34.809,3.678,534.671,366.437,188.187,55.935,205.673,216.886,56.729,292.375,156.0,126.467,141.338,239.064,359.851,152.08,1.0,21.661,210.036,526.556,68.16,109.94,6.066,1.0,135.262,31.607,-11.702808,56.94969,-10.302414,-20.712643
5280,1010,7391,332.16,121.447,2.12,69.017,273.727,61.071,356.894,110.427,3.619,184.573,198.452,125.107,3.018,19.586,40.857,88.413,15.178,3.678,88.438,90.03,116.115,64.073,200.8,56.03,94.914,133.346,48.0,54.264,164.208,20.567,89.07,4.513,5.583,44.752,352.23,315.89,82.851,14.907,11.132,63.644,263.835,47.522,7.8956776,16.433952,7.99149,-7.1621547
5281,12123,1873,323.63,398.947,3.24,18.004,307.693,87.188,559.191,182.519,65.156,268.752,362.817,335.229,6.045,30.428,105.143,229.938,83.886,2.339,211.051,243.245,329.329,53.9,328.721,302.958,52.601,352.144,42.0,36.509,341.97,83.616,225.775,17.396,16.275,79.996,304.832,385.743,147.912,14.907,204.65,78.48,152.329,135.669,14.918104,-80.732056,-11.386325,-13.307053
5282,2721,3634,163.31,156.872,4.36,307.077,310.69,117.224,139.611,120.726,27.186,201.814,171.769,134.937,3.018,18.037,43.429,204.963,6.453,39.835,45.221,88.995,137.136,45.762,216.638,19.343,210.501,125.875,61.0,70.835,308.704,10.783,87.755,5.685,10.165,50.828,363.168,74.179,57.666,27.655,14.171,76.832,307.072,43.849,-26.367968,-20.067492,9.369447,12.454906
5284,14450,6717,159.18,213.553,3.24,6.668,176.824,191.659,188.312,186.381,234.056,310.335,180.308,418.786,9.073,374.27,274.857,136.281,48.987,19.748,131.654,135.58,100.099,90.523,178.871,247.928,209.469,279.567,367.0,61.366,139.259,170.58,110.101,265.682,8.638,47.182,201.529,33.154,82.851,223.515,63.817,52.104,442.472,308.29,-17.698973,10.272436,-16.075457,1.2760503
5286,1415,13653,181.93,67.128,1.0,73.268,321.679,59.765,207.044,83.392,14.093,320.477,351.077,63.668,7.055,2.549,12.571,32.219,52.259,71.975,85.423,146.968,153.152,86.454,183.744,242.284,133.099,216.596,29.0,48.346,253.609,15.132,196.857,5.685,4.055,60.551,387.474,314.781,166.8,9.113,15.185,149.366,154.605,145.463,12.820276,-1.7494507,7.406935,-1.0947598
