cell,x,y,area µm²,SMA,NeuN,HLA-A,CD4,CD44,S100B,GalMac3,P2Ry12,CD11b,Claudin5,CD34,iNOS,ApoE,CD11c,CD40,PCNA,CollagenIV,CD8,Neurofilament,CD3e,DAPI_1,CD68,ATG7,Vimentin,AQP4,CD14,CD45,TMEM119,CD31,GFAP,P2Rx7(Park7),HLA-DR,Synaptophysin,A-Beta,PSD-95,H2A.x,CD163,MAP2,Trem2,CD74,IBA1,UMAP_1,UMAP_2,TSNE_1,TSNE_2
2789,7366,3256,264.22,6.923,13.085,43.814,106.433,163.532,692.097,130.003,77.923,128.716,21.577,136.503,126.874,152.747,193.285,53.686,168.361,22.399,145.855,156.322,129.272,72.09,51.92,485.32,63.085,330.244,65.186,143.556,91.719,32.968,593.801,461.662,44.343,11.236,104.416,83.655,80.92,16.271,15.784,118.938,61.956,50.013,16.796886,-19.743246,-15.992958,2.4763315
2792,7026,6247,22.31,4.949,7.714,97.842,199.339,18.599,96.517,172.316,100.9,153.61,184.133,293.261,139.861,165.392,323.686,178.307,178.692,217.244,154.846,38.065,149.926,20.955,73.743,320.507,136.458,52.327,349.909,166.763,225.065,120.88,509.603,111.041,349.857,14.306,55.811,49.981,10.464,36.633,7.336,9.094,96.949,132.182,-25.451645,-15.72777,14.365453,2.1163237
2794,20155,4756,58.42,30.615,18.456,107.016,151.32,160.426,213.386,134.131,224.776,223.962,94.624,4.985,280.72,66.034,248.54,224.914,111.541,22.399,197.803,256.928,212.975,49.64,62.831,259.786,48.034,154.981,66.832,256.275,198.833,117.883,313.899,489.712,62.314,50.131,338.137,221.413,32.547,28.997,24.233,347.875,145.488,21.182,30.839447,-57.926052,-10.788121,20.86645
2795,10048,9693,93.38,14.82,11.742,60.124,180.549,675.972,212.262,203.277,143.857,118.975,31.865,2.328,172.828,338.817,164.553,204.65,192.122,20.147,112.888,1.0,119.489,55.876,39.796,238.1,110.119,578.117,397.638,94.933,62.208,21.979,417.44,64.651,47.514,28.636,99.245,164.269,29.393,39.178,34.793,172.125,91.305,166.779,-82.67732,45.547134,2.8973026,-23.371967
2796,4574,10218,44.06,10.872,15.77,44.834,104.345,23.775,320.141,424.13,85.915,108.152,32.894,3.657,104.896,62.421,206.546,182.36,161.129,20.147,131.869,64.541,168.406,30.933,28.885,334.964,36.746,148.722,134.31,104.878,66.58,62.938,464.09,238.343,52.8,103.357,115.792,102.022,27.289,16.271,9.448,115.469,51.797,34.156,-32.579296,10.812265,13.545667,-5.6949077
2797,7132,12797,245.46,14.82,86.935,55.028,118.959,21.705,5.495,144.451,148.852,91.917,53.471,46.168,197.803,29.904,153.502,173.241,121.872,15.641,197.803,8.06,29.263,29.685,30.097,232.317,106.356,37.305,63.54,50.729,81.882,107.893,272.937,58.178,45.4,143.276,155.09,129.574,33.599,22.634,47.465,168.656,102.593,50.013,-51.144577,5.9418755,11.692274,-13.167972
2799,18886,6928,364.28,20.743,30.54,66.241,133.574,35.163,439.256,144.451,165.835,178.504,65.817,148.459,213.787,38.937,171.184,111.437,114.64,14.515,160.84,43.36,193.408,62.112,54.345,303.158,80.017,163.744,38.853,145.767,144.183,112.888,394.683,514.525,49.629,105.404,235.755,137.737,30.444,18.817,115.051,212.594,125.169,50.013,39.542553,19.697983,-4.6665506,16.266054
2800,6084,4336,306.43,6.923,13.085,31.582,122.091,91.065,475.216,130.003,88.912,117.893,20.548,76.722,131.869,96.745,192.18,74.962,142.534,23.525,157.843,165.147,147.752,78.326,47.07,293.038,14.169,183.774,135.956,134.716,90.626,28.972,532.359,341.911,51.743,34.778,100.28,88.757,54.631,18.817,36.905,68.062,59.698,44.247,8.340261,-16.203579,-11.85091,3.8600821
2801,1026,12274,228.83,14.82,15.77,47.892,116.871,12.388,44.826,388.009,107.893,80.011,54.499,19.598,182.818,31.711,147.977,168.175,110.508,12.263,158.842,34.535,104.27,67.101,26.46,236.654,132.695,66.098,84.936,57.36,39.255,78.922,272.937,106.726,43.286,82.885,165.432,104.063,46.218,18.817,28.457,176.75,100.336,31.273,-54.43402,-6.0569572,14.79166,-10.15096
2803,8786,7831,122.52,1.0,17.113,1.0,126.266,1.0,266.201,133.099,73.927,113.563,1.0,6.314,32.968,37.13,206.546,107.384,132.203,19.02,66.934,11.59,114.053,67.101,33.734,356.65,12.288,29.793,65.186,112.614,87.347,3.997,359.411,211.373,40.114,191.383,2.034,13.245,72.507,17.544,55.913,1.0,3.258,44.247,-17.582178,11.675625,0.23828425,-5.354932
